entry	bit	line_id	Japanese_Kana	Japanese_Kanji	Turkish	French	Italian	German	Spanish	Korean
7	0	0	じどう　はんばいき　がある！\nほしい　のみもの　は……	自動販売機が　ある！\n欲しい　のみもの　は……	Bu bir Otomatik Satış Makinesi.\nHangi içeceği istersiniz?	C’est un Distributeur.\nQuelle boisson vous fait envie ?	È un Distributore.\nChe bibita vuoi?	Das ist ein Getränkeautomat.\nWas möchtest du trinken?	Es una Expendedora.\n¿Qué quieres tomar?	자동판매기가 있다!\n마시고 싶은 음료수는...
7	0	1	ガゴン！	ガゴン！	Tık!	Clang !	Clang!	Klong!	¡Clang!	덜컹!
7	0	2	[VAR 0109(0000)]が　でてきた！	[VAR 0109(0000)]が　でてきた！	Bir şişe [VAR 0109(0000)] yere düştü.	[VAR 1403(0000)][VAR 0109(0000)] pour vous !	È uscit[VAR 1100(0000,0101)]oa [VAR 1502(0000)][VAR 0109(0000)]!	Eine Flasche [VAR 0109(0000)] kam heraus.	¡Ha salido [VAR 1702(0000)][VAR 0109(0000)]!	[VAR 0109(0000)][VAR 1900(0003)] 나왔다!
7	0	3	あたりだ！　もういっぽん\n[VAR 0109(0000)]が　でてきた！	当たりだ！　もう一本\n[VAR 0109(0000)]が　でてきた！	Şansına bak! Bir şişe [VAR 0109(0000)] daha düştü!	Quelle chance !\n[VAR 1403(0000)][VAR 0109(0000)] gratuit[VAR 1100(0000,0100)]e en plus !	Wow!\nÈ uscit[VAR 1100(0000,0A0A)]o un altroa un'altra [VAR 0109(0000)]!	Du Glückspilz! Du erhältst eine Flasche gratis obendrauf!\nEine Flasche [VAR 0109(0000)] kam heraus.	¡Qué suerte! ¡También ha salido [VAR 1702(0000)]\n[VAR 0109(0000)]!	당첨이다! 하나 더\n[VAR 0109(0000)][VAR 1900(0003)] 나왔다!
7	0	4	おかねが　たりない！	お金が　たりない！	Yeterli paran yok!	Vous n’avez pas assez d’argent…	Non hai abbastanza soldi!	Du hast nicht genug Geld!	No tienes dinero suficiente.	돈이 부족하다!
7	0	5	……やっぱり　やめた！	……やっぱり　やめた！	Hiçbir şey almadın.	Vous changez d’avis.	Hai cambiato idea...	Du hast kein Getränk gekauft.	No has comprado nada.	...그만뒀다!
7	0	6	もういっぽん　かう？	もう一本　買う？	Bir tane daha almak ister misin?	Voulez-vous acheter autre chose ?	Vuoi comprare un’altra bibita?	Möchtest du eine weitere Flasche kaufen?	¿Quieres comprar alguna otra cosa?	하나 더 살까?
7	0	7	[~ 7]	[~ 7]	[VAR BDFF]	[~ 7]	[~ 7]	[~ 7]	[~ 7]	[~ 7]
7	0	8	おおあたりだ！　さらに　いっぽん\n[VAR 0109(0000)]が　でてきた！	大当たりだ！　さらに　一本\n[VAR 0109(0000)]が　でてきた！	Büyük ikramiye! Bir şişe [VAR 0109(0000)] daha düştü!	Incroyable !\n[VAR 1403(0000)][VAR 0109(0000)] gratuit[VAR 1100(0000,0100)]e en plus !	Incredibile! Un[VAR 1100(0000,0606)] altro'altra [VAR 0109(0000)]!	Du hast offenbar das ganz große Los gezogen!\nEine weitere Flasche [VAR 0109(0000)] kam heraus!	¡Menuda suerte! ¡Además ha salido [VAR 1702(0000)]\n[VAR 0109(0000)]!	대박이다! 하나 더\n[VAR 0109(0000)][VAR 1900(0003)] 나왔다!
7	0	9	おいしいみず　[VAR BD03(0000)][VAR 0202(0001)]円	おいしいみず　[VAR BD03(0000)][VAR 0202(0001)]円	Tatlı Su [VAR BD03(0000)]$[VAR 0202(0001)]	Eau Fraîche [VAR BD03(0000)][VAR 0202(0001)] $	Acqua Fresca [VAR BD03(0000)][VAR 0202(0001)] $	Tafelwasser [VAR BD03(0000)][VAR 0202(0001)] $	Agua Fresca [VAR BD03(0000)][VAR 0202(0001)] $	맛있는물 [VAR BD03(0000)][VAR 0202(0001)]원
7	0	10	サイコソーダ　[VAR BD03(0000)][VAR 0202(0001)]円	サイコソーダ　[VAR BD03(0000)][VAR 0202(0001)]円	Gazoz [VAR BD03(0000)]$[VAR 0202(0001)]	Soda Cool [VAR BD03(0000)][VAR 0202(0001)] $	Gassosa [VAR BD03(0000)][VAR 0202(0001)] $	Sprudel [VAR BD03(0000)][VAR 0202(0001)] $	Refresco [VAR BD03(0000)][VAR 0202(0001)] $	미네랄사이다 [VAR BD03(0000)][VAR 0202(0001)]원
7	0	11	ミックスオレ　[VAR BD03(0000)][VAR 0202(0001)]円	ミックスオレ　[VAR BD03(0000)][VAR 0202(0001)]円	Limonata [VAR BD03(0000)]$[VAR 0202(0001)]	Limonade [VAR BD03(0000)][VAR 0202(0001)] $	Lemonsucco [VAR BD03(0000)][VAR 0202(0001)] $	Limonade [VAR BD03(0000)][VAR 0202(0001)] $	Limonada [VAR BD03(0000)][VAR 0202(0001)] $	후르츠밀크 [VAR BD03(0000)][VAR 0202(0001)]원
7	0	12	やめる	やめる	İptal	Arrêter	Esci	Abbrechen	Cancelar	취소
7	0	13	これいじょう　もちきれない！	これ以上　持ちきれない！	Bu eşyadan daha fazlasını alamazsınız.	Vous ne pouvez pas en porter davantage !	Hai raggiunto il limite per questo oggetto!	Noch mehr kannst du davon nicht tragen!	No te caben más en la Bolsa.	이 이상은 가지고 다닐 수 없다!
8	0	0	[~ 0]	[~ 0]	[VAR BDFF]	[~ 0]	[~ 0]	[~ 0]	[~ 0]	[~ 0]
8	0	1	[~ 1]	[~ 1]	[VAR BDFF]	[~ 1]	[~ 1]	[~ 1]	[~ 1]	[~ 1]
8	0	2	[~ 2]	[~ 2]	[VAR BDFF]	[~ 2]	[~ 2]	[~ 2]	[~ 2]	[~ 2]
8	0	3	[~ 3]	[~ 3]	[VAR BDFF]	[~ 3]	[~ 3]	[~ 3]	[~ 3]	[~ 3]
8	0	4	[~ 4]	[~ 4]	[VAR BDFF]	[~ 4]	[~ 4]	[~ 4]	[~ 4]	[~ 4]
8	0	5	[~ 5]	[~ 5]	[VAR BDFF]	[~ 5]	[~ 5]	[~ 5]	[~ 5]	[~ 5]
8	0	6	[~ 6]	[~ 6]	[VAR BDFF]	[~ 6]	[~ 6]	[~ 6]	[~ 6]	[~ 6]
8	0	7	[~ 7]	[~ 7]	[VAR BDFF]	[~ 7]	[~ 7]	[~ 7]	[~ 7]	[~ 7]
8	0	8	[~ 8]	[~ 8]	[VAR BDFF]	[~ 8]	[~ 8]	[~ 8]	[~ 8]	[~ 8]
8	0	9	[~ 9]	[~ 9]	"[VAR BDFF]	"	[~ 9]	[~ 9]	[~ 9]	[~ 9]	[~ 9]
8	0	10	[~ 10]	[~ 10]	[VAR BDFF]\n	[~ 10]	[~ 10]	[~ 10]	[~ 10]	[~ 10]
8	0	11	[~ 11]	[~ 11]	[VAR BDFF]	[~ 11]	[~ 11]	[~ 11]	[~ 11]	[~ 11]
8	0	12	[~ 12]	[~ 12]	[VAR BDFF]	[~ 12]	[~ 12]	[~ 12]	[~ 12]	[~ 12]
8	0	13	[~ 13]	[~ 13]	[VAR BDFF]\n	[~ 13]	[~ 13]	[~ 13]	[~ 13]	[~ 13]
8	0	14	[~ 14]	[~ 14]	[VAR BDFF]	[~ 14]	[~ 14]	[~ 14]	[~ 14]	[~ 14]
8	0	15	[~ 15]	[~ 15]	[VAR BDFF]	[~ 15]	[~ 15]	[~ 15]	[~ 15]	[~ 15]
8	0	16	[~ 16]	[~ 16]	[VAR BDFF][VAR 8A5C]	[~ 16]	[~ 16]	[~ 16]	[~ 16]	[~ 16]
8	0	17	[~ 17]	[~ 17]	[VAR BDFF]	[~ 17]	[~ 17]	[~ 17]	[~ 17]	[~ 17]
8	0	18	[~ 18]	[~ 18]	[VAR BDFF]	[~ 18]	[~ 18]	[~ 18]	[~ 18]	[~ 18]
8	0	19	[~ 19]	[~ 19]	[VAR BDFF]	[~ 19]	[~ 19]	[~ 19]	[~ 19]	[~ 19]
8	0	20	[~ 20]	[~ 20]	[VAR BDFF]	[~ 20]	[~ 20]	[~ 20]	[~ 20]	[~ 20]
8	0	21	[~ 21]	[~ 21]	[VAR BDFF]	[~ 21]	[~ 21]	[~ 21]	[~ 21]	[~ 21]
8	0	22	[~ 22]	[~ 22]	[VAR BDFF]	[~ 22]	[~ 22]	[~ 22]	[~ 22]	[~ 22]
8	0	23	[~ 23]	[~ 23]	[VAR BDFF]	[~ 23]	[~ 23]	[~ 23]	[~ 23]	[~ 23]
8	0	24	[~ 24]	[~ 24]	[VAR BDFF]	[~ 24]	[~ 24]	[~ 24]	[~ 24]	[~ 24]
8	0	25	[~ 25]	[~ 25]	[VAR BDFF]	[~ 25]	[~ 25]	[~ 25]	[~ 25]	[~ 25]
8	0	26	[~ 26]	[~ 26]	[VAR BDFF]	[~ 26]	[~ 26]	[~ 26]	[~ 26]	[~ 26]
8	0	27	[~ 27]	[~ 27]	[VAR BDFF]	[~ 27]	[~ 27]	[~ 27]	[~ 27]	[~ 27]
8	0	28	[~ 28]	[~ 28]	[VAR BDFF]	[~ 28]	[~ 28]	[~ 28]	[~ 28]	[~ 28]
8	0	29	[~ 29]	[~ 29]	[VAR BDFF]	[~ 29]	[~ 29]	[~ 29]	[~ 29]	[~ 29]
8	0	30	[~ 30]	[~ 30]	[VAR BDFF]	[~ 30]	[~ 30]	[~ 30]	[~ 30]	[~ 30]
8	0	31	[~ 31]	[~ 31]	[VAR BDFF]	[~ 31]	[~ 31]	[~ 31]	[~ 31]	[~ 31]
9	0	0	[~ 0]	[~ 0]	[VAR BDFF]	[~ 0]	[~ 0]	[~ 0]	[~ 0]	[~ 0]
9	0	1	[~ 1]	[~ 1]	[VAR BDFF]	[~ 1]	[~ 1]	[~ 1]	[~ 1]	[~ 1]
9	0	2	[~ 2]	[~ 2]	[VAR BDFF]	[~ 2]	[~ 2]	[~ 2]	[~ 2]	[~ 2]
9	0	3	[~ 3]	[~ 3]	[VAR BDFF]	[~ 3]	[~ 3]	[~ 3]	[~ 3]	[~ 3]
9	0	4	[~ 4]	[~ 4]	[VAR BDFF]	[~ 4]	[~ 4]	[~ 4]	[~ 4]	[~ 4]
9	0	5	[~ 5]	[~ 5]	[VAR BDFF]	[~ 5]	[~ 5]	[~ 5]	[~ 5]	[~ 5]
9	0	6	[~ 6]	[~ 6]	[VAR BDFF]	[~ 6]	[~ 6]	[~ 6]	[~ 6]	[~ 6]
9	0	7	[~ 7]	[~ 7]	[VAR BDFF]	[~ 7]	[~ 7]	[~ 7]	[~ 7]	[~ 7]
9	0	8	[~ 8]	[~ 8]	[VAR BDFF]	[~ 8]	[~ 8]	[~ 8]	[~ 8]	[~ 8]
9	0	9	[~ 9]	[~ 9]	"[VAR BDFF]	"	[~ 9]	[~ 9]	[~ 9]	[~ 9]	[~ 9]
9	0	10	[~ 10]	[~ 10]	[VAR BDFF]\n	[~ 10]	[~ 10]	[~ 10]	[~ 10]	[~ 10]
9	0	11	[~ 11]	[~ 11]	[VAR BDFF]	[~ 11]	[~ 11]	[~ 11]	[~ 11]	[~ 11]
10	0	0	[~ 0]	[~ 0]	[VAR BDFF]	[~ 0]	[~ 0]	[~ 0]	[~ 0]	[~ 0]
10	0	1	[~ 1]	[~ 1]	[VAR BDFF]	[~ 1]	[~ 1]	[~ 1]	[~ 1]	[~ 1]
10	0	2	[~ 2]	[~ 2]	[VAR BDFF]	[~ 2]	[~ 2]	[~ 2]	[~ 2]	[~ 2]
10	0	3	[~ 3]	[~ 3]	[VAR BDFF]	[~ 3]	[~ 3]	[~ 3]	[~ 3]	[~ 3]
10	0	4	[~ 4]	[~ 4]	[VAR BDFF]	[~ 4]	[~ 4]	[~ 4]	[~ 4]	[~ 4]
10	0	5	[~ 5]	[~ 5]	[VAR BDFF]	[~ 5]	[~ 5]	[~ 5]	[~ 5]	[~ 5]
10	0	6	[~ 6]	[~ 6]	[VAR BDFF]	[~ 6]	[~ 6]	[~ 6]	[~ 6]	[~ 6]
10	0	7	[~ 7]	[~ 7]	[VAR BDFF]	[~ 7]	[~ 7]	[~ 7]	[~ 7]	[~ 7]
10	0	8	[~ 8]	[~ 8]	[VAR BDFF]	[~ 8]	[~ 8]	[~ 8]	[~ 8]	[~ 8]
11	0	0	れんらくせんを　ごようぼう　ですか？\c\nもうしわけ　ございません\nげんざい　うんこうを　きゅうし　しております	連絡船を　ご要望ですか？\c\n……申し訳ございません\n現在　運行を　休止しております	Affedersiniz?\nBir gemi mi arıyorsunuz?\c\nÜzgünüm. Feribot servisi şu anda kullanılamıyor...	Bonjour, M[VAR 1100(00FF,0B07)]onsieurademoiselle.\nJ’imagine que vous voulez emprunter le ferry.\c\nJe suis désolée, mais il n’est pas\nen service actuellement.	Come dici? Stai cercando una nave?\c\nSpiacente, il servizio traghetto non è disponibile\nal momento...	Möchtest du auf die Fähre?\c\nTut mir leid, die steht momentan nicht zur Verfügung...	Disculpa, ¿estás buscando el ferry?\c\nLo siento, pero me temo que el servicio todavía no está\nen funcionamiento...	연락선을 찾으십니까?\c\n죄송합니다만\n현재 운행을 중지하고 있습니다
11	0	1	れんらくせんを　ごりよう　ですね！\nチケットは　おもち　でしょうか？	連絡船を　ご利用ですね！\nチケットは　お持ちでしょうか？	Merhaba. Feribot için mi buradasınız?\nBiletinizi görebilir miyim?	Bonjour, M[VAR 1100(00FF,0B07)]onsieurademoiselle.\nVous voulez emprunter le ferry ?\c\nPuis-je voir votre Passe Bateau, s’il vous plaît ?	Ciao, sei qui per prendere il traghetto?\nHai il biglietto?	Hallo! Du möchtest bestimmt auf die Fähre!\nZeigst du mir bitte dein Ticket?	Buenas, ¿vienes para coger el ferry?\n¿Puedo ver tu ticket?	연락선을 이용하시려는 거군요!\n티켓은 가지고 계신가요?
11	0	2	[VAR 0100(0000)]は\nチケットを　もっていない！	[VAR 0100(0000)]は\nチケットを　持っていない！	[VAR 0100(0000)] adlı Eğitmenin bileti yok!	Vous n’avez pas de Passe Bateau !	[VAR 0100(0000)] non ha il biglietto...	[VAR 0100(0000)] hat kein Ticket...	[VAR 0100(0000)] no tiene ningún ticket.	[VAR 0100(0000)][VAR 1900(0001)]\n티켓이 없다!
11	0	3	……もうしわけ　ありません！\c\nふねに　のれるのは\nチケットを　おもちのかた　だけです	……申し訳　ありません！\c\n船に　乗れるのは\nチケットを　お持ちの方　だけです	Çok üzgünüm.\c\nFeribot'a binmek için biletinizin olması gerekiyor.	Je suis désolée, M[VAR 1100(00FF,0B07)]onsieurademoiselle.\c\nSeuls les passagers munis d’un Passe Bateau\nen règle peuvent embarquer à bord du ferry.	Per imbarcarti devi avere un biglietto.	Das tut mir schrecklich leid...\c\nNur Gäste mit einem gültigen Ticket\ndürfen auf die Fähre.	Cuánto lo lamento... Necesitas un ticket para poder\nsubir a bordo del ferry.	...죄송합니다!\c\n배에는 티켓을 가진 분들만\n탑승하실 수 있습니다
11	0	4	[VAR 0100(0000)]は\nふねのチケットを　みせた！	[VAR 0100(0000)]は\nふねのチケットを　みせた！	[VAR 0100(0000)] Feribot Biletini gösterdi.	[VAR 0100(0000)] montre son Passe Bateau.	[VAR 0100(0000)] mostra il biglietto.	[VAR 0100(0000)] zückt das Ticket...	[VAR 0100(0000)] ha enseñado el ticket.	[VAR 0100(0000)][VAR 1900(0001)]\n승선티켓을 보여줬다!
11	0	5	はい！　けっこう　です！\c\nいきさきは　どちらでしょう？	はい！　結構です！\c\n行き先は　どちらでしょう？	Mükemmel! Tek ihtiyacın olan bu!\c\nPeki nereye gitmek istersin?	Parfait ! Tout est en ordre !\c\nOù souhaitez-vous aller ?	Perfetto, è tutto in regola!\nDove vorresti andare?	Perfekt! Damit kannst du an Bord!\c\nUnd wo soll die Reise hingehen?	Perfecto. Todo está en regla. ¿Adónde te gustaría ir?	네! 확인했습니다!\n어디로 가시겠어요?
11	0	6	バトルリゾート	バトルリゾート	Savaş Tesisi	Atoll de Combat	Al Resort Lotta	Kampfresort	Resort Batalla	배틀리조트
11	0	7	カイナシティ	カイナシティ	Kayrakliman Şehri	Poivressel	A Porto Selcepoli	Graphitport City	Ciudad Portual	잿빛도시
11	0	8	ミナモシティ	ミナモシティ	Zambakköy Şehri	Nénucrique	A Porto Alghepoli	Seegrasulb City	Ciudad Calagua	해안시티
11	0	9	やめる	やめる	Hiçbir yerde	Nulle part	Quasi quasi resto qui...	Abbrechen	Me quedo aquí	취소
11	0	10	バトルリゾート　ですね？	バトルリゾート　ですね？	Savaş Tesisine mi?	Cap sur l’Atoll de Combat ?	Allora si salpa per il Resort Lotta!\nSei pront[VAR 1100(00FF,0101)]oa?	Zum Kampfresort also?	Muy bien, rumbo al Resort Batalla.	배틀리조트 말씀이시군요?
11	0	11	ミナモ　ですね？	ミナモシティ　ですね？	Zambakköy Şehri'ne mi?	Cap sur Nénucrique ?	Allora si salpa per Porto Alghepoli!\nSei pront[VAR 1100(00FF,0101)]oa?	Nach Seegrasulb City also?	Muy bien, rumbo a Ciudad Calagua.	해안시티 말씀이시군요?
11	0	12	カイナ　ですね？	カイナシティ　ですね？	Kayrakliman Şehri'ne mi?	Cap sur Poivressel ?	Allora si salpa per Porto Selcepoli!\nSei pront[VAR 1100(00FF,0101)]oa?	Nach Graphitport City also?	Muy bien, rumbo a Ciudad Portual.	잿빛도시 말씀이시군요?
11	0	13	また　ごりよう　ください！	また　ご利用ください！	Lütfen başka bir zaman bizimle yelken açın!	N’hésitez pas à utiliser nos services à nouveau,\nvous serez toujours l[VAR 1100(00FF,0B0A)]e bienvenua bienvenue à bord.	Allora... arrivederci!	Schau mal wieder vorbei!	Estaremos a tu disposición cuando desees navegar\ncon nosotros.	또 이용해 주십시오!
11	0	14	れんらくせんに　のって　おまちください	連絡船に　乗って　お待ちください	Lütfen feribota binin ve kalkışı bekleyin.	Veuillez monter à bord, on ne devrait pas tarder à lever\nl’ancre.	Sali pure sul traghetto,\nstiamo per levare l’ancora.	Bitte komm an Bord! Wir legen bald ab.	Sube a bordo y espera a que zarpemos.	연락선에서 잠시 기다려 주십시오
11	0	15	[~ 15]	[~ 15]	[VAR BDFF]	[~ 15]	[~ 15]	[~ 15]	[~ 15]	[~ 15]
12	0	0	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき	むかしの　ふりむき
12	0	1	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった  \nかれいな　ふりむき　 8 ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　8ふれーむ
12	0	2	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった  \nかれいな　ふりむき　 12 ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ	サンゴ　で　うまれかわった\nかれいな　ふりむき　12ふれーむ
13	0	0	[~ 0]	[~ 0]	[VAR BDFF]	[~ 0]	[~ 0]	[~ 0]	[~ 0]	[~ 0]
13	0	1	[~ 1]	[~ 1]	[VAR BDFF]	[~ 1]	[~ 1]	[~ 1]	[~ 1]	[~ 1]
13	0	2	[~ 2]	[~ 2]	[VAR BDFF]	[~ 2]	[~ 2]	[~ 2]	[~ 2]	[~ 2]
13	0	3	[~ 3]	[~ 3]	[VAR BDFF]	[~ 3]	[~ 3]	[~ 3]	[~ 3]	[~ 3]
13	0	4	[~ 4]	[~ 4]	[VAR BDFF]	[~ 4]	[~ 4]	[~ 4]	[~ 4]	[~ 4]
13	0	5	[~ 5]	[~ 5]	[VAR BDFF]	[~ 5]	[~ 5]	[~ 5]	[~ 5]	[~ 5]
13	0	6	[~ 6]	[~ 6]	[VAR BDFF]	[~ 6]	[~ 6]	[~ 6]	[~ 6]	[~ 6]
13	0	7	[~ 7]	[~ 7]	[VAR BDFF]	[~ 7]	[~ 7]	[~ 7]	[~ 7]	[~ 7]
13	0	8	[~ 8]	[~ 8]	[VAR BDFF]	[~ 8]	[~ 8]	[~ 8]	[~ 8]	[~ 8]
13	0	9	[~ 9]	[~ 9]	"[VAR BDFF]	"	[~ 9]	[~ 9]	[~ 9]	[~ 9]	[~ 9]
13	0	10	[~ 10]	[~ 10]	[VAR BDFF]\n	[~ 10]	[~ 10]	[~ 10]	[~ 10]	[~ 10]
13	0	11	[~ 11]	[~ 11]	[VAR BDFF]	[~ 11]	[~ 11]	[~ 11]	[~ 11]	[~ 11]
13	0	12	[~ 12]	[~ 12]	[VAR BDFF]	[~ 12]	[~ 12]	[~ 12]	[~ 12]	[~ 12]
13	0	13	[~ 13]	[~ 13]	[VAR BDFF]\n	[~ 13]	[~ 13]	[~ 13]	[~ 13]	[~ 13]
13	0	14	[~ 14]	[~ 14]	[VAR BDFF]	[~ 14]	[~ 14]	[~ 14]	[~ 14]	[~ 14]
13	0	15	[~ 15]	[~ 15]	[VAR BDFF]	[~ 15]	[~ 15]	[~ 15]	[~ 15]	[~ 15]
13	0	16	[~ 16]	[~ 16]	[VAR BDFF][VAR 8A5C]	[~ 16]	[~ 16]	[~ 16]	[~ 16]	[~ 16]
