apply,archive,member,bclyt,section,pane,source_text,translation,capacity_bytes
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,19,f,"芝9,999m",Ç9999m,16
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,26,n,ラジオNIKKEI杯２歳ステークス,NIKKEI 2 Yaş Koşusu,50
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,32,x,Record Time,Rekor Süre,24
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,387,a,Jan.,Oca.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,389,c,Feb.,Şub.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,391,e,Mar.,Mar.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,393,g,Apr.,Nis.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,395,i,May,May,8
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,397,k,Jun.,Haz.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,399,m,Jul.,Tem.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,401,o,Aug.,Ağu.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,403,q,Sep.,Eyl.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,405,s,Oct.,Eki.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,407,u,Nov.,Kas.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,409,w,Dec.,Ara.,10
1,0/0/4,node_0000_slot_00.bin,blyt/common_dialog_layout.bclyt,25,7,StreetPass Management,StreetPass Yönetimi,386
1,0/1/0,node_0001_slot_00.bin,blyt/title.bclyt,22,c,Press  to return to HOME menu,HOME menüsüne dön: ,62
1,0/1/0,node_0001_slot_00.bin,blyt/title.bclyt,25,m,©2016 GAME FREAK inc.,©2016 GAME FREAK inc.,44
1,0/1/1,node_0000_slot_00.bin,blyt/bottom.bclyt,139,3n,©2013　GAME FREAK inc.,©2013　GAME FREAK inc.,66
1,0/1/3,node_0002_slot_00.bin,blyt/LowerInterface.bclyt,49,1n,Super Unity!,Süper Uyum!,26
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,23,i,Avg,Ort,8
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,28,s,VS,VS,6
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,33,o,S,S,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,38,14,M,M,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,43,w,H,H,4
1,0/1/3,node_0004_slot_00.bin,blyt/RadarBack.bclyt,48,10,VH,VH,6
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,46,a,2y/o,2yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,65,e,3y/o,3yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,84,p,4y/o,4yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,103,x,5y/o,5yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,122,15,6y/o,6yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,141,1d,7y/o,7yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,160,1l,8y/o,8yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,179,1t,9y/o,9yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,198,21,2y/o,2yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,217,29,3y/o,3yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,236,2h,4y/o,4yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,255,2p,5y/o,5yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,274,2x,6y/o,6yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,293,35,7y/o,7yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,312,3d,8y/o,8yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,331,3l,9y/o,9yaş,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,343,7p,Number,Numara,14
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,345,7h,Popularity,Popülerlik,22
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,347,7j,Name,Ad,10
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,349,7l,Gender/Age,Cins./Yaş,22
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,351,88,Speed/Stamina,Hız/Dayan.,28
1,0/2/1,node_0000_slot_00.bin,blyt/RaceBriefing_Upper.bclyt,353,7n,Style,Stil,12
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,20,8,Fillies' Championship,Dişi Tay Şamp.,44
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,22,n,Fillies' Championship,Dişi Tay Şamp.,44
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,24,p,Fillies' Championship,Dişi Tay Şamp.,50
1,0/2/1,node_0001_slot_00.bin,blyt/RaceBriefing_Lower.bclyt,26,a,Bush Warbler Racecourse,Kamışbülbülü Hip.,48
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,36,3e,Level,Sv.,12
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,50,1z,Exp pt.,DP,16
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,56,24,Skill pt.,BP,20
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,61,t,Speed,Hız,12
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,68,y,Stamina,Dayan.,16
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,75,22,Skill,Bec.,12
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,82,3i,Skill,Bec.,12
1,0/2/2,node_0000_slot_00.bin,blyt/HorseGrow_Upper.bclyt,95,1c,99y/o,99yaş,12
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,108,b,x,x,4
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,110,7p,Skill,Bec.,12
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,112,7z,None,Yok,10
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,203,7n,x,x,4
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,205,7r,Boost,Artış,12
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,207,81,None,Yok,10
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,298,7,x,x,4
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,300,7t,Stamina,Dayan.,16
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,302,7x,None,Yok,10
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,393,p,x,x,4
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,395,7v,Experience,Deneyim,22
1,0/2/2,node_0001_slot_00.bin,blyt/HorseGrow_Lower.bclyt,397,83,None,Yok,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,29,4p,4th,4.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,44,51,5th,5.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,59,0,6th,6.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,74,i,7th,7.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,89,g,8th,8.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,104,e,9th,9.,8
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,119,c,10th,10.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,134,2v,11th,11.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,149,a,12th,12.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,164,8,13th,13.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,179,6,14th,14.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,194,4,15th,15.,10
1,0/2/8,node_0000_slot_00.bin,blyt/btmscrn.bclyt,209,2,16th,16.,10
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,15,5g,ラジオNIKKEI杯２歳ステークス,NIKKEI 2 Yaş Koşusu,130
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,19,74,Record Time,Rekor Süre,34
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,42,5e,1st,1.,8
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,57,5k,2nd,2.,8
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,72,5m,3rd,3.,8
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,87,69,Time,Süre,10
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,89,6b,Order,Sıra,12
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,91,6d,Number,Numara,14
1,0/2/8,node_0000_slot_00.bin,blyt/upscrn.bclyt,93,6f,Name,Ad,10
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,38,1u,Level,Sv.,12
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,49,c,Speed,Hız,12
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,56,h,Stamina,Dayan.,16
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,63,m,Peak Time,Zirve,20
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,70,2n,Characteristics,Özellikler,32
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,72,r,International Star,Dünya Yıldızı,38
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,77,2l,Skill,Bec.,12
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,84,2j,Skill,Bec.,12
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,97,9,99 y/o,99yaş,14
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,122,x,"May, week4",May 4.hf,22
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,124,z,Too Long RaceName,Çok Uzun Yarış Adı,50
1,0/2/9,node_0000_slot_00.bin,blyt/HorseStatusNew_Upper.bclyt,126,11,"9,999m",9.999m,14
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,35,g,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,45,w,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,55,15,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,65,1e,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,75,1n,Spring Equinox Cup,Bahar Ekinoksu K.,44
1,0/2/9,node_0001_slot_00.bin,blyt/HorseStatusNew_Lower.bclyt,81,1r,No G1 races have been won,Kazanılmış G1 yok,52
1,0/3/1,node_0000_slot_00.bin,blyt/GameOver_Lower.bclyt,10,4,Uh-oh!,Eyvah!,14
1,0/3/1,node_0000_slot_00.bin,blyt/GameOver_Lower.bclyt,12,6,You've been taken off this horse...,Artık bu ata binemeyeceksin...,72
1,0/3/1,node_0000_slot_00.bin,blyt/GameOver_Lower.bclyt,14,8,Please try again with a new horse.,Yeni bir atla tekrar dene.,70
1,0/3/6,node_0000_slot_00.bin,blyt/Shop_Lower.bclyt,26,1p,$10K,$10K,10
