apply,archive,member,bclyt,section,pane,source_text,translation,capacity_bytes
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,15,b,12月4週,Ara 4h,12
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,17,d,レース名■レース名■■■,Yarış■Adı■■■,26
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,19,f,"芝9,999m",Ç9999m,16
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,26,n,ラジオNIKKEI杯２歳ステークス,NIKKEI 2 Yaş Koşusu,50
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,28,p,アホウドリ競馬場,Albatros Hip.,18
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,30,r,芝９９９９ｍ,Ç9999m,14
1,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,32,x,Record Time,Rekor Süre,24
,0/0/1,node_0000_slot_00.bin,blyt/calendar_upper.bclyt,34,z,００：００：０,,16
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,387,a,Jan.,Oca.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,389,c,Feb.,Şub.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,391,e,Mar.,Mar.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,393,g,Apr.,Nis.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,395,i,May,May,8
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,397,k,Jun.,Haz.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,399,m,Jul.,Tem.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,401,o,Aug.,Ağu.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,403,q,Sep.,Eyl.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,405,s,Oct.,Eki.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,407,u,Nov.,Kas.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,409,w,Dec.,Ara.,10
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,416,11,"Ｇ
Ⅰ","G
1",8
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,418,13,"Ｇ
Ⅱ","G
2",8
1,0/0/1,node_0001_slot_00.bin,blyt/calendar_lower.bclyt,420,15,"Ｇ
Ⅲ","G
3",8
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,22,0,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,24,3,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,26,1r,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,28,1t,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,39,6,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,41,8,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,43,1v,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,45,1x,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,56,b,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,58,d,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,60,1z,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,62,21,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,73,g,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,75,i,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,77,23,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,79,25,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,90,l,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,92,n,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,94,27,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,96,29,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,107,q,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,109,s,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,111,2b,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,113,2d,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,119,y,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,121,10,‰‰‰‰‰‰,,22
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,123,2f,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,125,2h,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,131,16,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,133,18,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,135,2j,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,137,2l,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,143,1e,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,145,1g,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,147,2n,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,149,2p,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,155,1m,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,157,1o,‰‰‰‰‰‰,,14
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,159,2r,8888.88.88.,,24
,0/0/2,node_0000_slot_00.bin,blyt/CECConfig_Upper.bclyt,161,2t,8888.88.88.,,24
1,0/0/4,node_0000_slot_00.bin,blyt/common_dialog_layout.bclyt,25,7,StreetPass Management,StreetPass Yönetimi,386
,0/0/4,node_0000_slot_00.bin,blyt/common_dialog_layout.bclyt,35,10,‰‰‰‰,,12
,0/0/4,node_0000_slot_00.bin,blyt/common_dialog_layout.bclyt,45,12,‰‰‰‰,,12
,0/0/4,node_0000_slot_00.bin,blyt/common_dialog_layout.bclyt,55,14,‰‰‰‰,,12
1,0/0/7,node_0000_slot_00.bin,blyt/CommonPanel.bclyt,10,v,ガチャ名‰‰‰‰,Çekiliş‰‰‰‰,34
1,0/0/7,node_0000_slot_00.bin,blyt/CommonPanel.bclyt,12,x,8/9個,8/9,10
,0/0/8,node_0000_slot_00.bin,blyt/CharaDataMake_Upper.bclyt,13,6,‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰,,106
,0/0/8,node_0000_slot_00.bin,blyt/CharaDataMake_Upper.bclyt,15,8,‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰‰,,106
