index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,38,&,0,20,22,1,1,0,10,6,000000
1,39,',0,42,56,6,8,0,8,6,000000
2,40,(,0,22,0,6,11,0,9,6,000000
3,41,),0,29,0,6,11,0,9,6,000000
4,42,*,0,18,24,6,10,0,8,6,000000
5,43,+,0,99,0,6,8,0,6,6,000000
6,44,",",0,8,120,6,4,0,2,6,000000
7,45,-,0,70,41,6,6,0,4,6,000000
8,46,.,0,19,108,6,4,0,2,6,000000
9,47,/,0,36,12,6,10,0,8,6,000000
10,48,0,0,25,24,6,10,0,8,6,000000
11,49,1,0,50,0,6,10,0,8,6,000000
12,50,2,0,7,45,6,10,0,8,6,000000
13,51,3,0,14,35,6,10,0,8,6,000000
14,52,4,0,43,11,6,10,0,8,6,000000
15,53,5,0,0,56,6,10,0,8,6,000000
16,54,6,0,32,23,6,10,0,8,6,000000
17,55,7,0,21,35,6,10,0,8,6,000000
18,56,8,0,57,0,6,10,0,8,6,000000
19,57,9,0,14,46,6,10,0,8,6,000000
20,58,:,0,0,100,6,8,0,6,6,000000
21,59,;,0,21,79,6,8,0,6,6,000000
22,60,<,0,56,44,6,8,0,6,6,000000
23,61,=,0,14,99,6,7,0,5,6,000000
24,62,>,0,63,39,6,8,0,6,6,000000
25,63,?,0,50,11,6,10,0,8,6,000000
26,64,@,0,39,23,6,10,0,8,6,000000
27,65,A,0,7,56,6,10,0,8,6,000000
28,66,B,0,28,35,6,10,0,8,6,000000
29,67,C,0,64,0,6,10,0,8,6,000000
30,68,D,0,0,67,6,10,0,8,6,000000
31,69,E,0,21,46,6,10,0,8,6,000000
32,70,F,0,57,11,6,10,0,8,6,000000
33,71,G,0,46,22,6,10,0,8,6,000000
34,72,H,0,35,34,6,10,0,8,6,000000
35,73,I,0,14,57,6,10,0,8,6,000000
36,74,J,0,71,0,6,10,0,8,6,000000
37,75,K,0,7,67,6,10,0,8,6,000000
38,76,L,0,28,46,6,10,0,8,6,000000
39,77,M,0,64,11,6,10,0,8,6,000000
40,78,N,0,53,22,6,10,0,8,6,000000
41,79,O,0,42,34,6,10,0,8,6,000000
42,80,P,0,0,78,6,10,0,8,6,000000
43,81,Q,0,21,57,6,10,0,8,6,000000
44,82,R,0,78,0,6,10,0,8,6,000000
45,83,S,0,35,45,6,10,0,8,6,000000
46,84,T,0,14,68,6,10,0,8,6,000000
47,85,U,0,71,11,6,10,0,8,6,000000
48,86,V,0,60,22,6,10,0,8,6,000000
