index,label,English,French,German,Italian,Spanish,Turkish
0,re_friend_00,"I want to be friends
with {TAG_1}.","J'aimerais bien devenir ami{TAG_1}
avec {TAG_2}{TAG_3}{TAG_4}.","Ich wäre so gern mit
{TAG_1}{TAG_2} {TAG_3}befreundet...","Vòglio fare amicizia
con {TAG_1}.","Me gustaría ser amig{TAG_1}
de {TAG_2}{TAG_3}{TAG_4}.",{TAG_1} ile arkadaş olmak istiyorum.
1,re_friend_01,"What should I do to get along
well with {TAG_1}?","De quelle manière devraije lui parler
pour devenir son ami{TAG_1} ?","Weißt du wie ich mich am besten
geben soll, wenn ich mit {TAG_1} rede?","Cosa dovrei dire per andare
d'accordo con {TAG_1}?",¿Qué puedo hacer para caerle bien?,{TAG_1} ile iyi anlaşmak için ne yapmalıyım?
2,re_friend_02,"What should I talk about
to get along with {TAG_1}?","Quel genre de sujets devraije aborder
pour devenir son ami{TAG_1} ?","Ich würde mich so gern mit {TAG_1}
unterhalten! Nur worüber!","Cosa dovrei dire per rompere
il ghiaccio con {TAG_1}?",¿De qué puedo hablar para caerle bien?,{TAG_1} ile iyi anlaşmak için ne konuşmalıyım?
3,re_friend_03,"Thanks for the advice! I'll go and
talk to {TAG_1}.","Merci pour vos conseils ! Je vai aller
lui parler de ce pas !","Danke für den Tipp! Ich gehe sofort
los und rede mit {TAG_1}!","Grazie del consiglio! Vado subito
a parlar{TAG_1}.","¡Gracias por ayudarme!
Voy a hablar con {TAG_1}.",Tavsiye için sağ ol! Gidip {TAG_1} ile konuşacağım.
4,re_friend_04,"We're friends now, thanks to you!","Merci beaucoup ! Grâce à vous,
j'ai pu devenir son ami{TAG_1} !","Dank dir konnten wir uns miteinander
anfreunden! Vielen Dank!","Abbiamo fatto amicizia!
Grazie dell'aiuto!","¡Muchas gracias! Si no fuera por ti,
no podría ser su amig{TAG_1}.",Sayende artık arkadaşız!
5,re_friend_05,We're not quite friends yet...,"Je n'ai pas pu devenir son ami{TAG_1}
pour le moment...","Richtig Freundschaft geschlossen
haben wir leider nicht...","Forse è un po' troppo presto
per cercare di fare amicizia...","De momento no me he podido hacer
{TAG_1}...",Henüz tam arkadaş olamadık...
10,re_friend_wanted_00,"I heard that {TAG_1}
wants to be friends.","{TAG_1}{TAG_2}{TAG_3} m'a dit qu'{TAG_4}
voulai être mon ami{TAG_5}.","Ich habe gehört, dass {TAG_1}{TAG_2}{TAG_3}
mit mir befreundet sein will!","Ho saputo che {TAG_1}
vuole fare amicizia con me.","Creo que {TAG_1}{TAG_2}
{TAG_3}quiere ser {TAG_4}.",{TAG_1} arkadaş olmak istiyormuş diye duydum.
11,re_friend_wanted_y_00,I should go and find out.,Je vai aller lui parler.,"Vielleicht sollte ich einmal
mit {TAG_1} reden.",Allora andrò a vedere...,"Vale, voy a hablar con {TAG_1}.",Gidip bir bakmalıyım.
12,re_friend_wanted_y_s_00,"We became friends because we
really hit it off.","On s'entend vraiment bien.
Je veux bienh être son ami{TAG_1}.","Wir haben uns wunderbar verstanden
und sind jetzt miteinander befreundet!","È stata una chiacchierata piacevole.
Abbiamo fatto subito amicizia!","Hémos hecho muy buenas migas,
así que me he hecho {TAG_1}.",Çok iyi anlaştığımız için arkadaş olduk.
13,re_friend_wanted_y_f_00,"We didn't really click so we didn't
become friends this time.","On ne s'entend pas très bien. Je ne
deviendrai pas son ami{TAG_1} cette fois-ci.","Irgendwie haben wir uns nicht so recht
miteinander anfreunden können.","Non abbiamo molte cose in comune...
Per questa volta lasciamo perdere.","Parece que no tenemos mucho en común.
Hoy no me he podido hacer {TAG_1}.","Pek kaynaşamadık, o yüzden
bu sefer arkadaş olamadık."
