file,index,label,TR_Turkish,QA_Note
Arena.csv,0,EndButton,Geri,
Arena.csv,1,ExitButton,Çık,
Arena.csv,2,CommonBestTimeColon01,:,
Arena.csv,3,CommonBestTimeColon02,",",
Arena.csv,4,CommonTimeBeforeStartMin,--,
Arena.csv,5,CommonTimeBeforeStartSec,--,
Arena.csv,6,CommonTimeBeforeStartMsec,--,
Arena.csv,7,CommonBestTimeRound,Tur ⟦MSBT:0E00020001000000⟧,
Arena.csv,8,TitleGameStartButton,Başla,
Arena.csv,9,TitleRankingButton,Rekorlar,
Arena.csv,10,RankingUpText,Rekorlar,
Arena.csv,11,RankingUpDeleteText,⟦MSBT:0E00010002000000⟧ Rekorları sil,
Arena.csv,12,RankingLoPageText,"⟦MSBT:0E000000020002005A00⟧En iyi sürelerini ⟦MSBT:0E00000003000400FE9A10FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile
⟦MSBT:0E00000003000400FE9A10FF⟧kıyasla⟦MSBT:0E00000003000400000000FF⟧! Rakiplerinin sürelerini
geçip ⟦MSBT:0E00000003000400FE9A10FF⟧StreetPass zaferleri⟦MSBT:0E00000003000400000000FF⟧
kazan!⟦MSBT:0E000000020002006400⟧",
Arena.csv,13,RankingLoExPageText,"⟦MSBT:0E000000020002005A00⟧En iyi sürelerini ⟦MSBT:0E00000003000400FE9A10FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile
⟦MSBT:0E00000003000400FE9A10FF⟧kıyasla⟦MSBT:0E00000003000400000000FF⟧! Rakiplerinin sürelerini
geçip ⟦MSBT:0E00000003000400FE9A10FF⟧StreetPass zaferleri⟦MSBT:0E00000003000400000000FF⟧
kazan!⟦MSBT:0E000000020002006400⟧",
Arena.csv,14,RankingLoHeaderText,⟦MSBT:0E000000020002005500⟧StreetPass zaferleri:⟦MSBT:0E000000020002006400⟧,
Arena.csv,15,RankingLoCountText,,
Arena.csv,16,RankingLoPageNumSlash,/,
Arena.csv,17,RankingLoUnknown,???,
Arena.csv,18,RankingLoDeleteDialogText1,"Rekorları silip
⟦MSBT:0E00000003000400FF4B32FF⟧Arena'yı sıfırla⟦MSBT:0E00000003000400000000FF⟧?
⟦MSBT:0E000000020002005A00⟧(StreetPass verileri korunur.)⟦MSBT:0E000000020002006400⟧",
Arena.csv,19,RankingLoExDeleteDialogText1,"Rekorları silip
⟦MSBT:0E00000003000400FF4B32FF⟧Gerçek Arena'yı sıfırla⟦MSBT:0E00000003000400000000FF⟧?
⟦MSBT:0E000000020002005A00⟧(StreetPass verileri korunur.)⟦MSBT:0E000000020002006400⟧",
Arena.csv,20,RankingLoDeleteDialogText2,"Silinen rekorlar
geri alınamaz. ⟦MSBT:0E00000003000400FF4B32FF⟧Emin misin⟦MSBT:0E00000003000400000000FF⟧?",
Arena.csv,21,RankingLoDeleteDialogYes,⟦MSBT:0E00000003000400FF6400FF⟧Sil⟦MSBT:0E00000003000400000000FF⟧,
Arena.csv,22,RankingLoDeleteDialogNo,İptal,
Arena.csv,23,GameClearLoText,Rekorlar,
Arena.csv,24,GameOverLoRetryButton,Tekrar,
Arena.csv,25,GameOverLoEndButton,Çık,
Arena.csv,26,GameOverUpMessage01,Bir dahaki sefere...,
Arena.csv,27,GameOverUpMessage02,Pes etme!,
Arena.csv,28,GameOverUpMessage03,Neredeyse!,
Arena.csv,29,TimeHiddenMin,??,
Arena.csv,30,TimeHiddenSec,??,
Arena.csv,31,TimeHiddenMsec,??,
Arena.csv,32,BossRestText,⟦MSBT:0E000000020002004B00⟧Kalan:⟦MSBT:0E000000020002006400⟧,
Arena.csv,33,BossName01,Meka Whispy,
Arena.csv,34,BossName02,Holo Savunma,
Arena.csv,35,BossName03,Susie,
Arena.csv,36,BossName04,Ara Patron Karması 1,
Arena.csv,37,BossName05,Meka Knight,
Arena.csv,38,BossName06,Dedede Klonu,
Arena.csv,39,BossName07,Dişli Üssü,
Arena.csv,40,BossName08,Ara Patron Karması 2,
Arena.csv,41,BossName09,Meka Knight+,
Arena.csv,42,BossName10,Başkan Haltmann,
Arena.csv,43,BossName11,Yıldız Rüyası,
Arena.csv,44,BossNameEx01,Meka Whispy 2.0,
Arena.csv,45,BossNameEx02,Holo Savunma 2.0,
Arena.csv,46,BossNameEx03,Susie 2.0,
Arena.csv,47,BossNameEx04,Ara Patron Karması 1,
Arena.csv,48,BossNameEx05,Seri Meka Knight,
Arena.csv,49,BossNameEx06,Dedede Klonu 2.0,
Arena.csv,50,BossNameEx07,"Dişli Üssü
Çekirdek Kabula",
Arena.csv,51,BossNameEx08,Ara Patron Karması 2,
Arena.csv,52,BossNameEx09,Bşk. Haltmann 2.0,
Arena.csv,53,BossNameEx10,"Kara Madde Klonu
Sectonia Klonu",
Arena.csv,54,BossNameEx11,⟦MSBT:0E000000020002005A00⟧Galacta Knight Dönüyor⟦MSBT:0E000000020002006400⟧,
Arena.csv,55,BossNameEx12,???,
