source,Turkish,note
Yoshi,Yoshi,Özel ad
Poochy,Poochy,Özel ad
Kamek,Kamek,Özel ad
Craft Island,El İşi Adası,Ana bölge adı
Power Badge,Güç Rozeti,Oyun sistemi
Wonder Wool,Harika Yün,Koleksiyon
yarn ball,yün yumağı,Temel mekanik
Ground Pound,Yere Vuruşu,Hareket
Mellow Mode,Rahat Mod,Oyun modu
Craft Mode,El İşi Modu,Tasarım modu
Poochy Dash,Poochy Koşusu,Poochy modu
Poochy Hut,Poochy Kulübesi,Mekân
Gold Rush,Altın Hücumu,Poochy modu/duyuru
Missions,Görevler,Arayüz
World,Dünya,Arayüz
Special,Özel,Dünya yaması
Clear!,Tamamlandı!,Tamamlanma grafiği
Boss Challenge,Boss Mücadelesi,Mod/grafik
