index,label,English,French,German,Italian,Spanish,Turkish
0,hd_bear,bear hats,cagoules d'ours,Bären-Köpfe,copricapi da orso,gorros de oso,ayı şapkası
1,hd_hibiscus,hibiscus flower hair clips,barrettes hibiscus,Hibiskus-Haarspangen,fermagli ibisco,pasadores de hibisco,ebegümeci çiçekli saç tokası
2,hd_straw_hat,straw hats,chapeaux de paille,Strohhüte,cappelli di paglia,sombreros de paja,hasır şapka
3,hd_hat,chino bucket hats,bobs,Chino-Hüte,cappelli di chino,sombreros de pesca,kanvas balıkçı şapkası
4,hd_goggle,goggles,masques de plongée,Taucherbrillen,occhiali protettivi,gafas de buceo,koruyucu gözlük
5,hd_mini_tengallon,mini ten-gallon hats,mini-chapeaux cow-girl,Mini-Cowboyhüte,mini cappelli da cowboy,minisombreros tejanos,mini kovboy şapkası
6,hd_sunglasses,sunglasses,lunettes de soleil,Sonnenbrillen,occhiali da sole,gafas de sol,güneş gözlüğü
7,hd_cat_plain,plain cat ears,oreilles de chat unies,Uni-Katzenohren,orecchie da gatto 1,orejas de gato 1,düz kedi kulakları
8,hd_big_ribbon,big ribbons,gros nœud,Maxischleifen,fiocchi grandi,lazos grandes,büyük fiyonk
9,hd_colorful_hat,colourful hats,casquettes multicolores,Farbenfroh-Mützen,cappelli colorati,gorras multicolor,rengârenk şapka
10,hd_knit,plain woolly hats,bonnets de laine,Einfarb-Wollmützen,berretti di lana,gorros lisos de lana,düz yün bere
11,hd_santa,Santa hats,bonnets de père Noël,Weihnachtsmannmützen,cappelli di Babbo Natale,gorros de Papá Noel,Noel Baba şapkası
12,hd_weddingveil,veils,voiles de mariée,Schleier,veli nuziali,velos,duvak
13,hd_headband,aerials,antennes,Antennen,antenne,antenas,anten
14,hd_hannya_omen,scary masks,masques effrayants,Furchtmasken,maschere da demone,máscaras de demonio,korkunç maske
15,hd_monster,dinosaur hats,têtes de dinosaure,Dino-Köpfe,copricapi da dinosauro,gorros de dinosaurio,dinozor şapkası
16,hd_police,police officers' caps,casquettes de policier,Polizistenmützen,berretti da poliziotto,gorras de policía ♂,polis şapkası
17,hd_police_female,ladies' police caps,chapeaux de policière,Polizistinnenmützen,berretti da poliziotta,gorras de policía ♀,kadın polis şapkası
18,hd_penguin,penguin hats,têtes de manchot,Pinguin-Köpfe,copricapi da pinguino,gorros de pingüino,penguen şapkası
19,hd_head_dress,fascinators,chapeaux à voilette,Kopfputze,cappelli da cerimonia,tocados de fiesta,tüllü kokteyl şapkası
20,hd_western_kabuto,medieval helmets,casques médiévaux,Ritterhelme,elmi medievali,yelmos,Orta Çağ miğferi
21,hd_chief,chefs' hats,toques de chef,Chefkoch-Mützen,cappelli da chef,gorros de cocinero,aşçı şapkası
22,hd_wing_tiara,feather tiaras,tiares à plumes,Feder-Diademe,diademi con piume,diademas con plumas,tüylü taç
23,hd_princess_tiara,princess tiaras,tiares de princesse,Prinzessin-Diademe,diademi da principessa,diademas de princesa,prenses tacı
24,hd_mummy,bandages,bandages de momie,Verbände,bende,vendas,mumya sargıları
25,hd_ninjya,ninja masks,cagoules de ninja,Ninja-Masken,maschere ninja,capuchas de ninja,ninja maskesi
26,hd_baseball,baseball caps,casquettes de base-ball,Baseball-Kappen,cappellini da baseball,gorras de béisbol,beyzbol şapkası
27,hd_kurukuru,curly locks wigs,perruques à anglaises,Lockenperücken,parrucche con boccoli,pelucas de época,bukleli peruk
28,hd_wing_hat,feather hats,chapeaux à plumes,Federhüte,cappellini con piume,gorros con plumas,tüylü şapka
29,hd_crown,kings' crowns,couronnes,Königskronen,corone regali,coronas,kral tacı
30,hd_guard,,,Wachmann-Mützen,,,güvenlik görevlisi şapkası
31,hd_post,,,Briefträger-Mützen,cappelli da postino,,postacı şapkası
32,hd_dwarf,elves' hats,bonnets d'elfe,Elfenmützen,cappelli da elfo,gorros de duende,elf şapkası
33,hd_fireman,firefighters' helmets,casques de pompier,Feuerwehr-Helme,elmetti da pompiere,cascos de bombero,itfaiyeci kaskı
34,hd_bandanna_towel,towel bandanas,serviettes nouées,Handtuch-Bandanas,bandane di spugna,toallas,havlu bandana
35,hd_pirate,pirate hats,chapeaux de pirate,Piratenhüte,cappelli da pirata,gorros de pirata,korsan şapkası
36,hd_fur_hat,faux-fur headbands,serre-têtes laineux,Pelzimitat-Schleifen,cerchietti sintetici,diademas de felpa,suni kürk saç bandı
37,hd_lace_headband,lace headdresses,serre-têtes en dentelle,Spitzen-Haarreife,cerchietti di pizzo,cintas de encaje,dantelli başlık
38,hd_spaceman,space helmets,casques d'astronaute,Raumfahrerhelme,caschi da astronauta,cascos espaciales,uzay kaskı
39,hd_creature,future antennae,antennes futuristes,SciFi-Antennen,antenne futuristiche,antenas futuristas,gelecek antenleri
40,hd_bandanna,bandanas,bandanas,Kopftücher,bandane,pañuelos,bandana
41,hd_vikings,Viking helmets,casques de Viking,Wikingerhelme,elmi da vichingo,cascos vikingos,Viking miğferi
42,hd_wing_ornament,Native American feathers,plumes d'indienne,Indianerfedern,fermagli con piuma,pasadores de pluma,Yerli Amerikan tüyü
43,hd_thin_border,thin stripe woolly caps,bonnets à rayures fines,Schmalstreifen-Mützen,berretti di lana a righine,gorros a rayas finas,ince çizgili yün bere
44,hd_thick_border,thick stripe woolly caps,bonnets grosses rayures,Breitstreifen-Mützen,berretti di lana a righe,gorros a rayas,kalın çizgili yün bere
45,hd_broccoli,broccoli hats,bonnets brocoli,Brokkoli-Toupets,copricapi broccolo,gorros de brócoli,brokoli şapkası
46,hd_mushroom,mushroom hats,chapeaux champignon,Pilz-Köpfe,copricapi fungo,gorros de seta,mantar şapkası
47,hd_strawberry,strawberry hats,cagoules fraise,Erdbeer-Köpfe,copricapi fragola,gorros de fresa,çilek şapkası
48,hd_pumpkin,pumpkin hats,masques de citrouille,Kürbismasken,copricapi zucca,máscaras de calabaza,balkabağı maskesi
49,hd_kasa,conical hats,chapeaux chinois,Reisstrohhüte,cappelli di paglia a cono,gorros cónicos,konik hasır şapka
51,hd_luxurious_crown,royal crowns,couronnes royales,Prachtkronen,corone sfarzose,coronas reales,kraliyet tacı
52,hd_paper_crown,paper crowns,couronnes en papier,Papierkronen,corone di carta,coronas de papel,kâğıt taç
53,hd_tyonmage,samurai wigs,perruques de samouraï,Samurai-Toupets,parrucche da samurai,pelucas de samurái,samuray peruğu
54,hd_ochimusya,ronin wigs,perruques de ronin,Ronin-Toupets,parrucche da ronin,pelucas de ronin,ronin peruğu
