file,id,offset,original,translation
00/00_000010.xs,text000000,0,ルーク,Luke
00/00_000010.xs,text000001,7,この街がモンテドールなんですね…,Demek burası Monte d'Or…
00/00_000010.xs,text000002,40,レイトン,Layton
00/00_000010.xs,text000003,49,"ああ、小さな宿から始まって、たった
１８年でこんな大きな町になったんだ。","Evet. Küçük bir handan başladı ve yalnızca
18 yılda böylesine büyük bir şehre dönüştü."
00/00_000010.xs,text000004,121,すごいですね,İnanılmaz!
00/00_000010.xs,text000005,134,"だから、
この町を『奇跡の町』と呼ぶ人もいる","Bu yüzden, bu şehre ""Mucizeler
Şehri"" diyenler de var."
00/00_000010.xs,text000006,178,奇跡の町ですか…,"Mucizeler Şehri, öyle mi…"
00/00_000011.xs,text000000,0,ルーク,Luke
00/00_000011.xs,text000001,7,それにしても、町の光が美しいですね,Yine de şehrin ışıkları ne kadar güzel.
00/00_000011.xs,text000002,42,レイトン,Layton
00/00_000011.xs,text000003,51,"ああ。
一見すると美しくて平和な町に見えるが…","Evet. İlk bakışta güzel ve huzurlu
bir yer gibi görünüyor ama…"
00/00_000011.xs,text000004,97,"手紙にあった、この町で起こる
恐ろしい事件ってどんなことなんでしょうか？","Mektupta bahsedilen, bu şehirde
yaşanacak korkunç olay ne olabilir acaba?"
00/00_000011.xs,text000005,169,"さあね、今回の一件の依頼主である、
シャロア夫人の屋敷へ行ってみないことには、
なんとも言えないね","Bilemiyorum. Bu işin müşterisi olan
Madam Sharoa'nın malikanesine
gidip görmeden bir şey söylemek zor."
00/00_000011.xs,text000006,266,"このストリートを抜けたら、
夫人の屋敷が見えてくるはずです。","Bu caddeden çıkınca,
madamın malikânesi görünür."
00/00_000020.xs,text000000,0,ルーク,Luke
00/00_000020.xs,text000001,7,"<T>Look at this place, Professor! It's all so
bright and colourful. Like being at the
funfair!","<T>Şuraya bakın, Profesör! Her
yer ışıl ışıl ve rengârenk. Sanki
lunaparka gelmiş gibiyiz!"
00/00_000020.xs,text000002,102,レイトン,Layton
00/00_000020.xs,text000003,111,"<T><M2/1/1/45>A place to forget the worries of everyday
life. Anything is possible in the City of
Miracles. Or so they say.","<T><M2/1/1/45>Günlük hayatın dertlerini unutturacak
bir yer. Mucizeler Şehri'nde her şey
mümkündür. En azından öyle derler."
00/00_000020.xs,text000004,235,"<T><M1/2/1>I just don't see how bad things could be
happening here. Everyone looks so cheerful!","<T><M1/2/1>Burada kötü bir şeylerin nasıl olabileceğini hiç
anlayamıyorum. Herkes çok neşeli görünüyor!"
00/00_000020.xs,text000005,331,"<T><M4/2/1/45>Indeed, it's hard to believe that something is
afoot in the midst of these celebrations. I do
hope Angela is wrong.","<T><M4/2/1/45>Gerçekten de, bu kutlamaların
ortasında bir terslik olduğuna inanmak
zor. Umarım Angela yanılıyordur."
00/00_000020.xs,text000006,461,"<T><M5/1/1/45>Well, we won't get far just standing around.
We had better make a start with our
investigation.","<T><M5/1/1/45>Pekâlâ, burada dikilip durarak
bir yere varamayız. En iyisi
soruşturmamıza başlayalım."
00/00_000020.xs,text000007,571,"<T>All right! <W><M7/1/1/20>Then I'm going to start by asking
those people over there!","<T>Tamam! <W><M7/1/1/20>O zaman önce şuradaki
insanlara sorarak başlayacağım!"
00/00_000020.xs,text000008,658,"<T><M9/1/1>Just a moment, Luke. Let's acquaint
ourselves with some new methods. We don't
want to grow complacent.","<T><M9/1/1>Bir dakika, Luke. Yeni
yöntemlere aşina olalım.
Rehavete kapılmak istemeyiz."
00/00_000020.xs,text000009,772,"<T><M1/2/1>Oh, sorry! I'm listening.","<T><M1/2/1>Ah, özür dilerim! Dinliyorum."
00/00_000020.xs,text000010,809,"<T><M6/1/1/45>You can touch the magnifying glass in the
corner of the Touch Screen to switch to
Investigation Mode.","<T><M6/1/1/45>Dokunmatik Ekran'ın köşesindeki
büyütece dokunarak İnceleme
Modu'na geçebilirsin."
00/00_000020.xs,text000011,925,"<T>In this mode, the magnifying glass will
appear on the top screen, like so.","<T>Bu modda büyüteç üst
ekranda böyle görünür."
00/00_000020.xs,text000012,1003,"<T><M2/1/1>You can move it around by sliding the stylus
on the Touch Screen.","<T><M2/1/1>Kalemi Dokunmatik Ekran üzerinde
kaydırarak büyüteci hareket ettirebilirsin."
00/00_000020.xs,text000013,1080,"<T>You'll notice that when you move the
magnifying glass over certain areas, it turns
orange.","<T>Büyüteci belirli bölgelerin üzerine
getirdiğinde renginin turuncuya
döndüğünü fark edeceksin."
00/00_000020.xs,text000014,1174,"<T><M6/1/1>This means you can interact with the
environment in some way. Just touch the
Touch Screen to investigate.","<T><M6/1/1>Bu, çevreyle bir şekilde etkileşime
girebileceğin anlamına gelir. İncelemek
için Dokunmatik Ekran'a dokunman yeterli."
00/00_000020.xs,text000015,1291,"<T><M4/1/1/45>You needn't do anything fancy. A brief
touch on the screen should do the trick.
<W>Are you following so far?","<T><M4/1/1/45>Özel bir şey yapmana gerek yok.
Ekrana kısa bir dokunuş yeter.
<W>Buraya kadar takip edebildin mi?"
00/00_000020.xs,text000016,1414,"<T><M2/1/1>I think so. Just slide the stylus on the
Touch Screen to look around, <M1/1/1>and give it
a quick tap to investigate?","<T><M2/1/1>Sanırım. Etrafa bakmak için kalemi
Dokunmatik Ekranda kaydırıp <M1/1/1>incelemek
istediğimiz yere kısaca dokunacağız, öyle mi?"
00/00_000020.xs,text000017,1543,"<T><M6/1/1/45>Precisely. Well then, I'll let you get on with
it. Be sure to check anything that looks out
of the ordinary.","<T><M6/1/1/45>Aynen öyle. O halde devam
et. Sıra dışı görünen her
şeyi mutlaka kontrol et."
00/00_000030.xs,text000000,0,コマーニ有,Bungle
00/00_000030.xs,text000001,11,<T>H-h-heeeeeelp!,<T>I-i-imdaaaat!
00/00_000030.xs,text000002,29,ルーク,Luke
00/00_000030.xs,text000003,36,"<T><M7/2/5/15>Look at all the balloons that clown has!
<W>Umm, he's all wrapped up in the strings.
Is that normal?","<T><M7/2/5/15>Şu palyaçonun balonlarına
bakın! <W>Şey… iplerine tamamen
dolanmış. Bu normal mı?"
00/00_000030.xs,text000004,151,レイトン,Layton
00/00_000030.xs,text000005,160,"<T><M5/2/1>At a glance, I'd have to say no. Let's get
him down from there, shall we?","<T><M5/2/1>İlk bakışta hayır derim. Haydi
onu oradan indirelim, olur mu?"
00/00_000030.xs,text000006,245,<T>Huffff! <W>Gnghhh. <W30>Gnngghhhhhhhhhh!,<T>Hifff! <W>Gnnngh… <W30>Gnnnghhhhhhhhh!
00/00_000030.xs,text000007,289,"<T><M3/2/2/15>Are you all right, sir? It doesn't look very
comfortable up there!","<T><M3/2/2/15>İyi misiniz, efendim? Orası
pek rahat görünmüyor!"
