file,source_sha256,id,offset,original,translation
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000000,0,ルーク,ルーク
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000001,7,この街がモンテドールなんですね…,Demek burasi Monte d'Or…
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000002,40,レイトン,レイトン
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000003,49,"ああ、小さな宿から始まって、たった
１８年でこんな大きな町になったんだ。","Evet. Kucuk bir handan basladi ve yalnizca
18 yilda boyle buyuk bir kasabaya donustu."
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000004,121,すごいですね,Inanilmaz!
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000005,134,"だから、
この町を『奇跡の町』と呼ぶ人もいる","Bu yuzden,
bu kasabaya “Mucizeler Sehri” diyenler de var."
00/00_000010.xs,494d8b9a4dce198e77b478a1dcabd64837544cf11d75ffe19f9548a9b501ad7f,text000006,178,奇跡の町ですか…,"Mucizeler Sehri, ha…"
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000000,0,ルーク,ルーク
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000001,7,それにしても、町の光が美しいですね,Yine de sehrin isiklari ne kadar guzel.
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000002,42,レイトン,レイトン
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000003,51,"ああ。
一見すると美しくて平和な町に見えるが…","Evet.
Ilk bakista guzel ve huzurlu bir yer gibi gorunuyor ama…"
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000004,97,"手紙にあった、この町で起こる
恐ろしい事件ってどんなことなんでしょうか？","Mektupta bahsedilen, bu sehirde yasanacak
korkunc olay ne olabilir acaba?"
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000005,169,"さあね、今回の一件の依頼主である、
シャロア夫人の屋敷へ行ってみないことには、
なんとも言えないね","Bilemiyorum. Bu isin musterisi olan
Madam Sharoa'nin malikanesine gidip gormeden
bir sey soylemek zor."
00/00_000011.xs,8d877c6484969240a9e4992674f114355d987bd1986423ccf0a9b32f892e12d6,text000006,266,"このストリートを抜けたら、
夫人の屋敷が見えてくるはずです。","Bu caddeden cikinca,
madamin malikanesi gorunur."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000000,0,ルーク,ルーク
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000001,7,"<T>Look at this place, Professor! It's all so
bright and colourful. Like being at the
funfair!","<T>Suraya bakin, Profesor! Her yer
isil isil ve rengarenk. Sanki
lunaparka gelmis gibiyiz!"
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000002,102,レイトン,レイトン
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000003,111,"<T><M2/1/1/45>A place to forget the worries of everyday
life. Anything is possible in the City of
Miracles. Or so they say.","<T><M2/1/1/45>Gunluk hayatin dertlerini unutturacak bir yer.
Mucizeler Sehri'nde her sey mumkundur.
En azindan oyle derler."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000004,235,"<T><M1/2/1>I just don't see how bad things could be
happening here. Everyone looks so cheerful!","<T><M1/2/1>Burada kotu bir seylerin nasil
olabilecegini hic anlayamiyorum. Herkes cok neseli gorunuyor!"
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000005,331,"<T><M4/2/1/45>Indeed, it's hard to believe that something is
afoot in the midst of these celebrations. I do
hope Angela is wrong.","<T><M4/2/1/45>Gercekten de, bu kutlamalarin ortasinda
bir terslik olduguna inanmak zor. Umarim
Angela yaniliyordur."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000006,461,"<T><M5/1/1/45>Well, we won't get far just standing around.
We had better make a start with our
investigation.","<T><M5/1/1/45>Pekala, burada dikilip durarak bir yere varamayiz.
En iyisi sorusturmamiza
baslayalim."
00/00_000020.xs,82a3d0d70c979ed0ec2494646ec0a8ac6dc3699e176ce5aae91fc76e2e1c5300,text000007,571,"<T>All right! <W><M7/1/1/20>Then I'm going to start by asking
those people over there!","<T>Tamam! <W><M7/1/1/20>O zaman once suradaki
insanlara sorarak baslayacagim!"
