file,id,metin,not
00/00_000010.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000010.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000011.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000011.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000020.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000020.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000030.xs,text000000,コマーニ有,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000030.xs,text000002,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000030.xs,text000004,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000030.xs,text000011,コマーニ無,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000040.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000040.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000050.xs,text000002,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000050.xs,text000005,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000060.xs,text000003,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000060.xs,text000005,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000060.xs,text000009,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000065.xs,text000000,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000070.xs,text000000,レイトン,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000070.xs,text000002,レミ,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000070.xs,text000004,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
00/00_000080.xs,text000000,ルーク,Muhtemel konuşmacı adı/UI etiketi veya dahili kimlik; otomatik çevrilmedi.
