"MSBT","Rows","TR_Texts","TR_Labels","Missing_Files","Label_Set_Differs"
"challenge/application.msbt","54","54","54","",""
"demo/01_op.msbt","35","35","35","",""
"demo/02_insert.msbt","25","25","25","",""
"demo/03_tutorial_piko.msbt","13","13","13","",""
"demo/04_tutorial_guru.msbt","12","12","12","",""
"demo/05_tutorial_touch.msbt","14","14","14","",""
"demo/06_Jimmy.msbt","37","37","37","",""
"demo/07_Mona.msbt","38","38","38","",""
"demo/08_DribbleSpitz.msbt","38","38","38","",""
"demo/09_Fivewatt.msbt","35","35","35","",""
"demo/10_AshleyRed.msbt","38","38","38","",""
"demo/11_Crygor.msbt","50","50","50","",""
"demo/12_Eighteenvolt.msbt","24","24","24","",""
"demo/13_Penny.msbt","37","37","37","",""
"demo/14_KatAna.msbt","43","43","43","",""
"demo/15_Ninevolt.msbt","37","37","37","",""
"demo/16_CricketMantis.msbt","42","42","42","",""
"demo/17_Orbulon.msbt","35","35","35","",""
"demo/18_insertLulu01.msbt","5","5","5","",""
"demo/19_insertWario01.msbt","4","4","4","",""
"demo/20_insertLulu02.msbt","6","6","6","",""
"demo/21_insertWario02.msbt","7","7","7","",""
"demo/22_insertLulu03.msbt","5","5","5","",""
"demo/23_insertWario03.msbt","3","3","3","",""
"demo/24_ultra01.msbt","40","40","40","",""
"demo/25_ultra02.msbt","50","50","50","",""
"demo/26_ultra03.msbt","17","17","17","",""
"demo/27_ed.msbt","121","121","121","",""
"demo/28_Lulu.msbt","8","8","8","",""
"doc/graphic_text.msbt","0","0","0","",""
"doc/wordlist.msbt","93","93","93","",""
"menu/chara_namelist.msbt","49","49","49","",""
"menu/common.msbt","27","27","27","",""
"menu/dialog.msbt","56","56","56","",""
"menu/menu.msbt","120","120","120","",""
"menu/mission.msbt","316","316","316","",""
"menu/petit_commentary.msbt","317","317","317","",""
"menu/petit_operation.msbt","316","316","316","",""
"menu/stage_commentary.msbt","73","73","73","",""
"menu/toy_commentary.msbt","334","334","334","",""
"menu/tutorial.msbt","65","65","65","",""
"petit/application.msbt","408","408","408","",""
"petit/commentary.msbt","312","312","312","",""
"petit/instruction.msbt","389","389","389","",""
"petit/sort_title.msbt","317","317","317","",""
"petit/title.msbt","316","316","316","",""
"toy/application.msbt","612","612","612","",""
"toy/character_card.msbt","303","303","303","",""
"toy/nintendo_collection.msbt","154","154","154","",""
"toy/staff_credit.msbt","360","360","360","",""
"toy/title.msbt","227","227","227","",""
