entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Love, a far-off {{TAG:0005:0001:}}","No te olvida, {{TAG:0005:0001:}}","{{TAG:0005:0001:}}, plus là","Dal passato, {{TAG:0005:0001:}}","Schönen Gruß, {{TAG:0005:0001:}}",Uzaktaki {{TAG:0005:0001:}} sevgilerle
1,002,"Sweet deal, eh? {{TAG:0005:0001:}}",¿Hay trato? {{TAG:0005:0001:}},À toi de voir ! {{TAG:0005:0001:}},{{TAG:0005:0001:}},"Schöne Grüße, {{TAG:0005:0001:}}",Anlaştık mı? {{TAG:0005:0001:}}
2,003,Missing you! {{TAG:0005:0001:}},La nostálgica {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, déboussolée",Mi manchi! {{TAG:0005:0001:}},{{TAG:000E:0003:}}{{TAG:0005:0001:}},Seni özleyen {{TAG:0005:0001:}}
3,004,"Sincerely, {{TAG:0005:0001:}}","Te quiere, {{TAG:0005:0001:}}","{{TAG:0005:0001:}}, pas gênée","Con affetto, {{TAG:0005:0001:}}",Deine {{TAG:0005:0001:}},"Sevgiler, {{TAG:0005:0001:}}"
4,005,"Take care, {{TAG:0005:0001:}}!","Cuídate, ¿eh? {{TAG:0005:0001:}}",Choisis bien ! {{TAG:0005:0001:}},Stammi bene! {{TAG:0005:0001:}},"Mach's gut, {{TAG:0005:0001:}}!",Kendine iyi bak! {{TAG:0005:0001:}}
5,006,"Love, the old {{TAG:0005:0001:}}",¡No me olvides! {{TAG:0005:0001:}},{{TAG:0005:0001:}} du passé,Dalla vecchia {{TAG:0005:0001:}},Dein Vergangenheits-Ich,Eski {{TAG:0005:0001:}} sevgilerle
6,007,From past you,Tu yo del pasado,"{{TAG:0005:0001:}}, procrastinatrice",Saluti dal passato.,Dein altes Ich,Geçmişteki sen
7,008,From your past self,Tu yo más joven,Me déçois pas ! {{TAG:0005:0001:}},Da te nel passato.,Dein früheres Ich,Geçmişteki senden
8,009,"Sincerely, young {{TAG:0005:0001:}}","Desde el pasado, {{TAG:0005:0001:}}","{{TAG:0005:0001:}}, syllogomane",Da una giovane {{TAG:0005:0001:}},"Gruß, die junge {{TAG:0005:0001:}}",Genç {{TAG:0005:0001:}}
9,010,Eat your vegetables!,¡Come más verdura!,Et couche-toi plus tôt !!,E mangia quelle verdure!,Die junge {{TAG:0005:0001:}},Sebzelerini ye!
10,011,From your younger self,Tu yo de hace un rato,"{{TAG:0005:0001:}}, optimiste","Da te, solo più giovane.",Dein jüngeres Ich,Genç hâlinden
11,012,"Sincerely, Past You",La jovenzuela {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, attentionnée",Un saluto dal passato.,"Gruß, dein früheres Ich",Geçmişteki senden
12,013,Take care! Past {{TAG:0005:0001:}},¡Te debo una! {{TAG:0005:0001:}},Prends les sous ! {{TAG:0005:0001:}},Stammi bene! {{TAG:0005:0001:}},Mach's gut! {{TAG:000E:0003:}}{{TAG:0005:0001:}},Kendine iyi bak! Geçmişteki {{TAG:0005:0001:}}
13,014,"Your old pal, {{TAG:0005:0001:}}","Tu vieja amiga, {{TAG:0005:0001:}}",T'as assuré ! {{TAG:0005:0001:}},Dalla tua vecchia amica.,Deine Freundin {{TAG:0005:0001:}},Eski dostun {{TAG:0005:0001:}}
14,015,Keep it secret! {{TAG:0005:0001:}},¡No digas ni mu! {{TAG:0005:0001:}},Motus ! {{TAG:0005:0001:}},Acqua in bocca! {{TAG:0005:0001:}},Danke! {{TAG:000E:0003:}}{{TAG:0005:0001:}},Aramızda kalsın! {{TAG:0005:0001:}}
