index,label,English,French,German,Italian,Spanish,Turkish
0,DefaultLyrics_00,Have you ever loved somebody?,As-tu déjà vraiment aimé ?,Hast du schon mal geliebt,Hai mai davvero amato?,¿Alguna vez has amado?,Hiç birini sevdin mi?
1,DefaultLyrics_01,Did you ever dare?,As-tu essayé ?,Mit so viel Elan?,Ci hai mai provato?,¿Amado de verdad?,Hiç cesaret edebildin mi?
2,DefaultLyrics_02,Did you want someone to just,Pas une boisson au cola,"Warst du schon mal allein,",Hai mai davvero amato?,¿Has dado tu mano,Birinin çıkıp da
3,DefaultLyrics_03,tell you that they care?,Ou même une pizza,völlig ohne Plan?,Sai che non è errato,y te has dejado llevar?,sana değer verdiğini söylemesini istedin mi?
4,DefaultLyrics_04,Sha la la la la! Chin up! ,Cha ba da ba da ba da ba da !,"Dann weißt du, was ich mein,",Sha la la la la la,Sha la la la la,Şa la la la la! Başını dik tut!
5,DefaultLyrics_05,There's no need to cry,Pour aimer il faut danser,"Ich erzähl dir, wie es ist.",Non serve piangere,Deja de llorar ya,Ağlamana gerek yok
6,DefaultLyrics_06,Loosen up and smile!,Le jazz la polka,"Wir sind die Größten hier,",Canta con me e sorridi,Entonces verás,Rahatla ve gülümse!
7,DefaultLyrics_07,It takes dedication,Et les pizzas ne dansent pas,Und zwar nur wir zwei.,Ho la sensazione,que nuestras sonrisas son,Biraz emek ister
8,DefaultLyrics_08,but if you open your heart,Danse danse avec moi,"So ist es nun einmal,",che se apri il tuo cuore,el remedio,ama kalbini açarsan
9,DefaultLyrics_09,it might change your life!,Tu ne le regretteras pas,Und alles andre einerlei!,il domani sarà migliore!,que te curará,hayatın değişebilir!
