index,label,English,French,German,Italian,Spanish,Turkish
0,DefaultLyrics_00,Oh! Woe is me!,Ô destin cruel,Oh! Großer Schmerz!,Oh! Destino,Cruel destino,Ah! Vah bana!
1,DefaultLyrics_01,There's nothing left,Qu'as-tu donc fait ?,"Nichts bleibt zurück,",che vivo io,Acaso yo,Hiçbir şey kalmadı
2,DefaultLyrics_02,except sorrow and tears,Dans quel pétrin,nur Not und Pein!,Un gran malor,te merezco,keder ve gözyaşından başka
3,DefaultLyrics_03,I cry alone,Me voilà,"Ich wein allein,",nel mio cuor,Y lloro,tek başıma ağlıyorum
4,DefaultLyrics_04,How can this really be my destiny?,Le temps s'écoule mes larmes coulent,soll nun das mein Schicksal sein?,solo lacrime di dolor,Lloro hasta más no poder,Bu gerçekten kaderim olabilir mi?
5,DefaultLyrics_05,You come back,Es-tu là,"Du kamst zurück,",Ma lo sai,Pero tú,Sen geri dönersin
6,DefaultLyrics_06,and comfort me,Pour moi,jetzt bist du hier!,che verrai,miras,ve beni teselli edersin
7,DefaultLyrics_07,we make up and finally,Prendras-tu ma main,"Warum ist einerlei,",che mi amerai,y te acercas a mí,barışırız ve sonunda
8,DefaultLyrics_08,I hold your hand and know,Pour me sauver,ich weiß: Wir zwei,Noi due,para soplar,elini tutup anlarım
9,DefaultLyrics_09,our love can make,De cet insecte,sind jetzt frei!,insieme,ese bicho,aşkımızın yaratabileceğini
10,DefaultLyrics_10,a much better tomorrow,Qui s'est posé sur mon bras,Unser Glück ist nun greifbar nah!,cambieremo il mondo,que tengo en la nuca,çok daha güzel bir yarını
