Index,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Portuguese,EU_Russian,EU_Spanish,JP_Japanese,US_English,US_French,US_Portuguese,US_Spanish,Turkish,Source_Max_Lines,Source_Safe_Line_Units,Turkish_Lines,Turkish_Max_Line_Units,Fit_Status,Placeholder_Check,PUA_Glyph_Check,Translation_Note,Fit_Note
0,StgFace_16,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
1,StgFace_Title_PressA, Beginnen,Press ,Appuyez sur ,Drücke ,Premi ,Prima ,Нажми ,Pulsa ,を押してください,Press ,Appuyez sur ,Aperte ,Oprime ,Bas ,1,12.8,1,5.3,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
2,StgFace_Title_Nintendo,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
3,StgFace_Title_ButtonA,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
4,StgFace_Title_ButtonB,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
5,StgFace_Title_ButtonC,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
6,"StgFace_Explain_Select
",,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
7,StgFace_Explain_Decide,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
8,StgFace_Explain_Return,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
9,StgFace_Next2,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
10,StgFace_Return, Terug, Back, Retour, Zurück, Indietro, Anterior, Назад, Atrás,もどる, Back, Retour, Voltar, Atrás, Geri,1,9.85,1,5.85,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
11,StgFace_Yes,Ja,Yes,Oui,Ja,Sì,Sim,Да,Sí,はい,Yes,Oui,Sim,Sí,Evet,1,3.0,1,4.0,REVIEW,OK,OK,Standart onay düğmesi. “Evet” doğal Türkçe karşılık; kaynak dillerden uzun olduğu için gerçek cihazda düğme genişliği görsel olarak doğrulanmalı.,Exceeds the empirical line/width envelope; shorten or test carefully.
12,StgFace_No,Nee,No,Non,Nein,No,Não,Нет,No,いいえ,No,Non,Não,No,Hayır,1,3.55,1,4.55,REVIEW,OK,OK,Standart ret düğmesi. “Hayır” anlamı koruyan doğal karşılık; kaynak dillerden uzun olduğu için gerçek cihazda düğme genişliği görsel olarak doğrulanmalı.,Exceeds the empirical line/width envelope; shorten or test carefully.
13,StgFace_Decide,Oké,Confirm,OK,Okay,OK,Confirmar,Подтвердить,Aceptar,決定,OK,OK,OK,Aceptar,Onayla,1,8.75,1,5.75,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
