"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Challenge_NoMix","?","?","?","?","?","?","?","(?)","(?)","なし"
"MatchUp_Title01","Rakip Bul","Find Opponent","Find Opponent","Attendre un adversaire","Attendre un adversaire","Gegner finden","Trova avversario","Buscar","Buscar","ぼしゅうする"
"MatchUp_Title02","Mücadeleye Katıl","Join Battle","Join Battle","Chercher un adversaire","Chercher un adversaire","Kampf beitreten","Unisciti","Unirse","Unirse","さんかする"
"MatchUp_Matching","Rakip aranıyor...","Searching for opponent...","Searching for opponent...","Recherche d'adversaire...","Recherche d'adversaire...","Suche nach Gegner...","Ricerca avversario...","Buscando a un rival...","Buscando a un rival...","ぼしゅうちゅう…"
"MatchUp_Wait","Rakip bekleniyor...","Waiting for opponent...","Waiting for opponent...","En attente de l'adversaire...","En attente de l'adversaire...","Warte auf den Gegner...","In attesa dell'avversario...","Esperando al rival...","Esperando al rival...","たいせんあいての そうさを\nまっています…。"
"MatchUp_None","----","----","----","----","----","----","----","----","----","----"
"MatchUp_NGname","???","???","???","???","???","???","???","(?)","(?)","？？？？"
"MatchUp_Life","Can Sayısı","Set Lives","Set Lives","Nombre de vies","Nombre de vies","Leben einstellen","Imposta vite","Vidas","Vidas","ライフのせってい"
"MatchUp_Go","<MSBT:0001:0008:000014000000FFFFFFFF> Onayla","<MSBT:0001:0008:000014000000FFFFFFFF> Confirm","<MSBT:0001:0008:000014000000FFFFFFFF> Confirm","<MSBT:0001:0008:000014000000FFFFFFFF> Confirmer","<MSBT:0001:0008:000014000000FFFFFFFF> Confirmer","<MSBT:0001:0008:000014000000FFFFFFFF> Fertig!","<MSBT:0001:0008:000014000000FFFFFFFF> Conferma","<MSBT:0001:0008:000014000000FFFFFFFF> Confirmar","<MSBT:0001:0008:000014000000FFFFFFFF> Confirmar","<MSBT:0001:0008:000014000000FFFFFFFF> けってい"
"MatchUp_Piko","Bas","Mash","Mash","Pouce-pouce","Pouce-pouce","Knöpfe","Pigiatutto","Botones","Botones","ピコピコ"
"MatchUp_Guru","Döndür","Twist","Twist","Gyro-gyro","Gyro-gyro","Gyro","Giratutto","Giro","Giro","ぐるぐる"
"MatchUp_Touch","Dokun","Touch","Touch","Touche-touche","Touche-touche","Touch","Toccatutto","Táctil","Táctil","タッチ"
"MatchUp_Mix","Sonsuz","Endless","Endless","Ultra","Ultra","Ultra","Ultra","Ultra","Ultra","ウルトラ"
"AllMix_HighScore","Rekor","High Score","High Score","Record","Record","Rekorde","Record","Récords","Récords","ハイスコア"
"AllMix_Piko","Bas","Mash","Mash","Pouce-pouce","Pouce-pouce","Knöpfe","Pigiatutto","Botones","Botones","ピコピコ"
"AllMix_Guru","Döndür","Twist","Twist","Gyro-gyro","Gyro-gyro","Gyro","Giratutto","Giro","Giro","ぐるぐる"
"AllMix_Touch","Dokun","Touch","Touch","Touche-touche","Touche-touche","Touch","Toccatutto","Táctil","Táctil","タッチ"
"AllMix_Mix","Ultra","Ultra","Ultra","Ultra","Ultra","Ultra","Ultra","Ultra","Ultra","ウルトラ"
