id,offset_hex,body_words,prefix_words,editable_words,text_ratio,crc32,source,translation,notes
0,0x346,18,0,18,1.000,45C4DC22,Request Apprentice,Görev Çırağı,
1,0x36C,14,0,14,1.000,B90DB780,Request Novice,Görev Acemisi,
2,0x38A,15,0,15,1.000,E410B60F,Request Veteran,Görev Kıdemlisi,
3,0x3AA,14,0,14,1.000,073C5309,Request Expert,Görev Uzmanı,
4,0x3C8,11,0,11,1.000,010520EA,Request Pro,Görev Usta,
5,0x3E0,14,0,14,1.000,071A91A8,Request Master,Görev Üstadı,
6,0x3FE,16,0,16,1.000,3E40BD9E,Request Champion,Görev Şampiyonu,
7,0x420,12,0,12,1.000,B4E26453,Request Hero,Görev Ası,
8,0x43A,18,0,18,1.000,D720A874,Goddess' Go-Getter,Tanrıça Gözdesi,
9,0x460,16,0,16,1.000,3D9E0565,Beginner Crafter,Üretim Acemisi,
10,0x482,18,0,18,1.000,F968C04B,Apprentice Crafter,Üretim Çırağı,
11,0x4A8,14,0,14,1.000,41477763,Novice Crafter,Üretim Toyu,
12,0x4C6,12,0,12,1.000,EAD38677,Fine Crafter,İyi Üretici,
13,0x4E0,15,0,15,1.000,17A4774E,Veteran Crafter,Kıdemli Üretici,
14,0x500,13,0,13,1.000,0B086030,Great Crafter,Büyük Üretici,
15,0x51C,14,0,14,1.000,2D282538,Expert Crafter,Üretim Uzmanı,
16,0x53A,12,0,12,1.000,4C740ED8,Hero Crafter,Üretim Ası,
17,0x554,19,0,19,1.000,0F25746D,World-Class Crafter,Dünya Çapı Usta,
18,0x57C,17,0,17,1.000,50D4E092,Legendary Crafter,Efsane Üretici,
19,0x5A0,13,0,13,1.000,0963233D,Beginner Cook,Aşçı Acemisi,
20,0x5BC,11,0,11,1.000,5AA42DD8,Novice Cook,Toy Aşçı,
21,0x5D4,15,0,15,1.000,55A073F5,Apprentice Cook,Aşçı Çırağı,
22,0x5F4,16,0,16,1.000,1729B25A,Experienced Cook,Deneyimli Aşçı,
23,0x616,9,0,9,1.000,596C28F6,Sous Chef,Şef Yrd.,
24,0x62A,9,0,9,1.000,79350AA8,Head Chef,Baş Aşçı,
25,0x63E,14,0,14,1.000,7F55ABE5,Executive Chef,Yönetici Şef,
26,0x65C,10,0,10,1.000,1BD91109,Elite Chef,Seçkin Şef,
27,0x672,11,0,11,1.000,36E7378B,Master Chef,Usta Şef,
28,0x68A,14,0,14,1.000,75CDB27E,Legendary Chef,Efsane Şef,
29,0x6A8,18,0,18,1.000,AB3E48AB,Beginner Fisherman,Balıkçı Acemisi,
30,0x6CE,16,0,16,1.000,D069E808,Novice Fisherman,Toy Balıkçı,
31,0x6F0,21,0,21,1.000,CA573869,Experienced Fisherman,Deneyimli Balıkçı,
32,0x71C,16,0,16,1.000,053CC06E,Expert Fisherman,Balık Uzmanı,
33,0x73E,14,0,14,1.000,A2B5FD6C,Fishing Maniac,Balık Tutkunu,
34,0x75C,18,0,18,1.000,844E5DA1,Fishing Technician,Balık Teknisyeni,
35,0x782,12,0,12,1.000,D3EF7A07,Fishing Idol,Balık İdolü,
36,0x79C,19,0,19,1.000,ED3AC669,Professor Fisherman,Balıkçı Profesör,
37,0x7C4,15,0,15,1.000,CCF7E635,Elite Fisherman,Seçkin Balıkçı,
38,0x7E4,19,0,19,1.000,2633CE94,Legendary Fisherman,Efsane Balıkçı,
39,0x80C,24,0,24,1.000,5CF6EA7D,Beginner Critter Catcher,Böcek Avı Acemisi,
40,0x83E,22,0,22,1.000,8BDDF6E4,Novice Critter Catcher,Böcek Avı Toyu,
41,0x86C,23,0,23,1.000,F2B46A34,Skilled Critter Catcher,Becerikli Böcekçi,
42,0x89C,21,0,21,1.000,25D0AEAD,Great Critter Catcher,Büyük Böcekçi,
43,0x8C8,20,0,20,1.000,E9BB1F84,Star Critter Catcher,Yıldız Böcekçi,
44,0x8F2,21,0,21,1.000,A5796008,Super Critter Catcher,Süper Böcekçi,
45,0x91E,22,0,22,1.000,714018E4,Expert Critter Catcher,Uzman Böcekçi,
46,0x94C,23,0,23,1.000,45D66F80,Supreme Critter Catcher,Üstün Böcekçi,
47,0x97C,21,0,21,1.000,C6BBE337,Elite Critter Catcher,Seçkin Böcekçi,
48,0x9A8,22,0,22,1.000,EB664FE1,Critter Catcher Legend,Böcek Avı Efsanesi,
49,0x9D6,7,1,6,0.714,EBF2C0CC,Title{#2390},Unvan{#2390},
50,0xA0E,36,1,35,0.917,448DBA27,Number of times you've made{BR}honey.{#2390},Kaç kez{BR}bal yaptın.{#2390},
51,0xA58,44,1,43,0.932,FA319494,Number of fish you've raised{BR}in your pond.{#2390},Gölette yetiştirdiğin{BR}balık sayısı.{#2390},
52,0xAB2,74,1,73,0.946,F13E0CA3,"Number of times you've used{BR}the slides, zip lines, and{BR}bouncy mushrooms.{#2390}","Kaydırak, halat ve{BR}zıplayan mantarları{BR}kullanma sayın.{#2390}",
