index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,BoxFull1,"Unable to create
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.","Impossible de créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten konnten
nicht erstellt werden.","Impossibile creare
dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","No se han podido crear
datos de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","これいじょう⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
とうろく できません。","Unable to create 
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.","Impossible de créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","No se han podido crear
datos de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧verisi
oluşturulamadı.",
1,BoxFull2,"Please free up a ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
slot in ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
Management ⟦MSBT:0E00000003000400000000FF⟧within System
Settings.","⟦MSBT:0E000000020002005500⟧Accédez à la⟦MSBT:0E00000003000400FF4B32FF⟧ gestion StreetPass⟦MSBT:0E00000003000400000000FF⟧
depuis les paramètres de la
console et désactivez ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
pour l'un des logiciels.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005C00⟧Rufe die ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass-Verwaltung⟦MSBT:0E00000003000400000000FF⟧
in den Systemeinstellungen auf,
um ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ für eine andere
Software zu deaktivieren.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Vai alla ⟦MSBT:0E00000003000400FF4B32FF⟧Gestione StreetPass⟦MSBT:0E00000003000400000000FF⟧,
nelle Impostazioni della console,
e disattiva ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
per un altro software.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Necesitas espacio. Desactiva
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para otro programa con
la opción ⟦MSBT:0E00000003000400FF4B32FF⟧Gestión de StreetPass⟦MSBT:0E00000003000400000000FF⟧ 
de la configuración de la consola.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000000001400080010007B3093305F3044305B30633066304430⟧本体設定の
⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000000000A00040006004B3093308A30⟧管理⟦MSBT:0E00000003000400000000FF⟧で
ほかのソフトの⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
やめてください。","Please free up a ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
slot in ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
Management ⟦MSBT:0E00000003000400000000FF⟧within System
Settings.","⟦MSBT:0E000000020002005500⟧Accédez à ⟦MSBT:0E00000003000400FF4B32FF⟧Gestion de StreetPass⟦MSBT:0E00000003000400000000FF⟧
depuis les paramètres de la
console et désactivez ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
pour l'un des logiciels.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Necesitas espacio. Desactiva
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para otro programa con
la opción ⟦MSBT:0E00000003000400FF4B32FF⟧Gestión de StreetPass⟦MSBT:0E00000003000400000000FF⟧ 
de la configuración de la consola.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧Sistem Ayarları'ndaki
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass Yönetimi⟦MSBT:0E00000003000400000000FF⟧nden
başka bir yazılımın ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'ini
kapatıp yer aç.⟦MSBT:0E000000020002006400⟧",
2,CreateEnd,"Finished creating
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.","Les données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
ont été créées.",⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten erstellt.⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002006400⟧I dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧sono stati creati.⟦MSBT:0E000000020002006400⟧","Se han creado los datos
de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","このソフトの⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
とうろく しました。","Finished creating
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.","Les données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
ont été créées.","Se han creado los datos
de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧verisi
oluşturuldu.",
3,CreateEnd2,"⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will stay
active even if this
software is closed.","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ restera activé
même une fois le logiciel fermé.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧bleibt auch
nach dem Schließen der
Software aktiv.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧rimarrà
attiva anche quando
il gioco è chiuso.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧seguirá activo
aunque se cierre el programa.","このソフトを しゅうりょうしても
⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧は
じどうてきに おこなわれます。","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will stay
active even if this
software is closed.","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ restera activé
même une fois le logiciel fermé.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧seguirá activo
aunque se cierre el programa.","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, oyun kapatılsa da
etkin kalır.⟦MSBT:0E000000020002006400⟧",
4,CreateNotifyMii1,"When ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧is enabled,
⟦MSBT:0E00000003000400FF4B32FF⟧players ⟦MSBT:0E00000003000400000000FF⟧who you meet via
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will bring you
items and stickers!","Si ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧est activé, les
⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧que vous croisez via
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧vous donneront
des objets et des vignettes !","⟦MSBT:0E000000020002005A00⟧Ist ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧aktiviert, werden
⟦MSBT:0E00000003000400FF4B32FF⟧Mii-Charaktere⟦MSBT:0E00000003000400000000FF⟧, die du über
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ triffst, dir Items
und Sticker schenken.⟦MSBT:0E000000020002006400⟧","Se attivi ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, i
⟦MSBT:0E00000003000400FF4B32FF⟧giocatori ⟦MSBT:0E00000003000400000000FF⟧che incontri tramite
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧ti regaleranno
oggetti e adesivi!","⟦MSBT:0E000000020002005A00⟧Si tienes ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ activado,
los ⟦MSBT:0E00000003000400FF4B32FF⟧personajes Mii ⟦MSBT:0E00000003000400000000FF⟧con los que
te cruces a través de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
te darán objetos y pegatinas.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を とうろく すると
すれちがった⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧が やってきて
アイテムや ステッカーを
もらうことが できます。","When ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧is enabled,
⟦MSBT:0E00000003000400FF4B32FF⟧players ⟦MSBT:0E00000003000400000000FF⟧that you meet via
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will bring
you items and stickers!","Si ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧est activé, les
⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧que vous croisez via
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧vous donneront
des objets et des vignettes!","⟦MSBT:0E000000020002005A00⟧Si tienes ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ activado,
los ⟦MSBT:0E00000003000400FF4B32FF⟧personajes Mii ⟦MSBT:0E00000003000400000000FF⟧con los que
te topes a través de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
te darán objetos y calcomanías.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧etkinse,
⟦MSBT:0E00000003000400FE9A10FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'le karşılaştığın
⟦MSBT:0E00000003000400FF4B32FF⟧Mii karakterleri⟦MSBT:0E00000003000400000000FF⟧ sana
eşya ve çıkartma getirir!",
5,CreateSelect,"Would you like to create
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data for this title?","Voulez-vous créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧pour ce jeu ?","⟦MSBT:0E000000020002006400⟧Möchtest du für dieses Spiel
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten erstellen?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Vuoi creare dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
per questo software?⟦MSBT:0E000000020002006400⟧","¿Quieres crear datos de
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para este juego?","このソフトの⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
とうろく しますか？","Would you like to create
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data for this title?","Voulez-vous créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧pour ce jeu?","¿Quieres crear datos de
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para este juego?","StreetPass verisi
oluşturulsun mu?",
6,DeleteEnd,"⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧has been
deactivated for this title.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ est maintenant
désactivé pour ce logiciel.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ wurde für
diese Software deaktiviert.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ è stata
disattivata per questo
software.","Se ha desactivado
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego.","このソフトの⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
やめました。","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧has been
deactivated for this title.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ est maintenant
désactivé pour ce logiciel.","Se ha desactivado
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego.","Bu oyunda
StreetPass kapatıldı.",
7,DeleteSelect,"Deactivate ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧for this title?","Voulez-vous désactiver
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ pour ce logiciel ?","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ für diese
Software deaktivieren?","Vuoi disattivare ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass 
⟦MSBT:0E00000003000400000000FF⟧per questo software?","¿Quieres desactivar
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego?","このソフトの⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を
やめますか？","Deactivate ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧for this title?","Voulez-vous désactiver
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ pour ce logiciel?","¿Quieres desactivar
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego?","Bu oyun için ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧devre dışı bırakılsın mı?",
8,ErrorNotAgreeEula,"In order to use ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧,
you must agree to the most
recent Nintendo 3DS Service
User Agreement.","⟦MSBT:0E000000020002005A00⟧Pour utiliser ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, vous
devez accepter la version la plus
récente du contrat d'utilisation
des services Nintendo 3DS.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Bitte akzeptiere die aktuelle
Version des Vertrags zur Nutzung
der Nintendo 3DS-Services, um
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ nutzen zu können.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005800⟧Per utilizzare ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧devi
accettare la versione più recente
dell'Accordo per l'utilizzo
dei servizi Nintendo 3DS.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Para usar ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, antes debes
aceptar los términos del Contrato
de Uso y la Política de Privacidad
de los Servicios de Nintendo 3DS.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧を ⟦MSBT:0E00000000000A00040006008A3088304630⟧利用するには、
⟦MSBT:0E00000000000C00040008005530443057309330⟧最新の⟦MSBT:0E00000000000A00040006008A3088304630⟧利用⟦MSBT:0E00000000000A00040006004D3084304F30⟧規約に
⟦MSBT:0E00000000000A0004000600693046304430⟧同意する ⟦MSBT:0E00000000000C00040008007230643088304630⟧必要があります。","In order to use ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧,
you must agree to the most
recent Nintendo 3DS Service
User Agreement.","⟦MSBT:0E000000020002005A00⟧Pour utiliser ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, vous
devez accepter la version la plus
récente du contrat d'utilisation
des services Nintendo 3DS.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Para usar ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, antes
debes aceptar los términos
del Contrato de Uso de los
Servicios de Nintendo 3DS.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'i kullanmak için,
Nintendo 3DS Hizmetleri
Kullanıcı Sözleşmesi'nin en güncel
sürümünü kabul etmelisin.⟦MSBT:0E000000020002006400⟧",
9,ErrorParentalControl,"⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ is currently
restricted by ⟦MSBT:0E00000003000400FF4B32FF⟧Parental
Controls ⟦MSBT:0E00000003000400000000FF⟧and cannot be used.","Les paramètres de ⟦MSBT:0E00000003000400FF4B32FF⟧contrôle
parental ⟦MSBT:0E00000003000400000000FF⟧ne vous permettent
pas d'utiliser ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
avec ce logiciel.","⟦MSBT:0E000000020002005B00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧unterliegt den
⟦MSBT:0E00000003000400FF4B32FF⟧Altersbeschränkungen ⟦MSBT:0E00000003000400000000FF⟧und
kann nicht verwendet werden.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ è limitata dal
⟦MSBT:0E00000003000400FF4B32FF⟧filtro famiglia ⟦MSBT:0E00000003000400000000FF⟧e non può
essere usata.","No se puede utilizar
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧porque
la función está restringida
por el ⟦MSBT:0E00000003000400FF4B32FF⟧control parental⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E000000020002005E00⟧⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00000000000800020004007B304B30⟧他のユーザーとのすれちがい⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E00000003000400000000FF⟧が
⟦MSBT:0E00000000000C00060008007B30543057308330⟧保護者により ⟦MSBT:0E00000000000C00040008005B30443052309330⟧制限されているため
⟦MSBT:0E00000003000400FF4B32FF⟧すれちがい⟦MSBT:0E000000020002005E00⟧⟦MSBT:0E00000000000C00040008006430463057309330⟧通信⟦MSBT:0E000000020002005E00⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005E00⟧を ⟦MSBT:0E00000000000A00040006008A3088304630⟧利用できません。⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ is currently
restricted by ⟦MSBT:0E00000003000400FF4B32FF⟧Parental
Controls ⟦MSBT:0E00000003000400000000FF⟧and cannot be used.","Les paramètres de ⟦MSBT:0E00000003000400FF4B32FF⟧contrôle
parental ⟦MSBT:0E00000003000400000000FF⟧ne vous permettent
pas d'utiliser ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
avec ce logiciel.","No se puede utilizar
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧porque
la función está restringida
por el ⟦MSBT:0E00000003000400FF4B32FF⟧control parental⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ şu anda
⟦MSBT:0E00000003000400FF4B32FF⟧Ebeveyn Denetimleri⟦MSBT:0E00000003000400000000FF⟧yle
kısıtlandığı için
kullanılamaz.",
