index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,0x0000,Mario,Mario,Mario,Mario,de Mario,マリオ,Mario,Mario,de Mario,Mario,
1,0x0001,Luigi,Luigi,Luigi,Luigi,de Luigi,ルイージ,Luigi,Luigi,de Luigi,Luigi,
2,0x0002,Peach,Peach,Peach,Peach,de Peach,ピーチ,Peach,Peach,de Peach,Peach,
3,0x0003,Yoshi,Yoshi,Yoshi,Yoshi,de Yoshi,ヨッシー,Yoshi,Yoshi,de Yoshi,Yoshi,
4,0x0004,Rosalina,Harmonie,Rosalina,Rosalinda,de Estela,ロゼッタ,Rosalina,Rosalina,de Rosalina,Rosalina,
5,0x0005,Bowser,Bowser,Bowser,Bowser,de Bowser,クッパ,Bowser,Bowser,de Bowser,Bowser,
6,0x0006,Bowser Jr.,Bowser Jr.,Bowser Jr.,Bowser Junior,de Bowsy,クッパJr.,Bowser Jr.,Bowser Jr.,de Bowser Jr.,Bowser Jr.,
7,0x0007,Wario,Wario,Wario,Wario,de Wario,ワリオ,Wario,Wario,de Wario,Wario,
8,0x0008,Donkey Kong,Donkey Kong,Donkey Kong,Donkey Kong,de Donkey Kong,ドンキーコング,Donkey Kong,Donkey Kong,de Donkey Kong,Donkey Kong,
9,0x0009,Diddy Kong,Diddy Kong,Diddy Kong,Diddy Kong,de Diddy Kong,ディディーコング,Diddy Kong,Diddy Kong,de Diddy Kong,Diddy Kong,
10,0x000A,Toad,Toad,Toad,Toad,de Toad,キノピオ,Toad,Toad,de Toad,Toad,
11,0x0100,Link,Link,Link,Link,de Link,リンク,Link,Link,de Link,Link,
12,0x0101,Zelda,Zelda,Zelda,Zelda,de Zelda,ゼルダ,Zelda,Zelda,de Zelda,Zelda,
13,0x0102,Ganon,Ganon,Ganon,Ganon,de Ganon,ガノン,Ganon,Ganon,de Ganon,Ganon,
14,0x0180,Villager,Villageois,Bewohner,Abitante,del aldeano,むらびと,Villager,Habitant,del aldeano,Köylü,
15,0x0580,Fox,Fox,Fox,Fox,de Fox,フォックス,Fox,Fox,de Fox,Fox,
16,0x0581,Falco,Falco,Falco,Falco,de Falco,ファルコ,Falco,Falco,de Falco,Falco,
17,0x05C0,Samus,Samus,Samus,Samus,de Samus,サムス,Samus,Samus,de Samus,Samus,
18,0x0600,Captain Falcon,Captain Falcon,Captain Falcon,Captain Falcon,de Captain Falcon,キャプテン・ファルコン,Captain Falcon,Capitaine Falcon,de Capitán Falcon,Captain Falcon,
19,0x0640,Olimar,Olimar,Olimar,Olimar,de Olimar,オリマー,Olimar,Olimar,de Olimar,Olimar,
20,0x06C0,Little Mac,Little Mac,Little Mac,Little Mac,de Little Mac,リトル・マック,Little Mac,Little Mac,de Little Mac,Little Mac,
21,0x0700,Wii Fit Trainer,Entraîneuse Wii Fit,Wii Fit-Trainerin,Trainer di Wii Fit,de la entrenadora de Wii Fit,Wii Fit トレーナー,Wii Fit Trainer,Entraîneuse Wii Fit,de la entrenadora de Wii Fit,Wii Fit Eğitmeni,
22,0x0740,Pit,Pit,Pit,Pit,de Pit,ピット,Pit,Pit,de Pit,Pit,
