index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,FileDeleteDialogMainText1,Delete ⟦MSBT:0E00000003000400FE9A10FF⟧File ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?,Effacer le ⟦MSBT:0E00000003000400FE9A10FF⟧fichier ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧ ?,⟦MSBT:0E00000003000400FE9A10FF⟧Datei ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧ löschen?,Eliminare il ⟦MSBT:0E00000003000400FE9A10FF⟧file ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?,"¿Quieres borrar
el ⟦MSBT:0E00000003000400FE9A10FF⟧archivo ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?",⟦MSBT:0E00000003000400FE9A10FF⟧ファイル⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧を けしますか？,Delete ⟦MSBT:0E00000003000400FE9A10FF⟧File ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?,Effacer le ⟦MSBT:0E00000003000400FE9A10FF⟧fichier ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?,"¿Quieres borrar
el ⟦MSBT:0E00000003000400FE9A10FF⟧archivo ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧?",⟦MSBT:0E00000003000400FE9A10FF⟧Dosya ⟦MSBT:0E00020000000000⟧⟦MSBT:0E00000003000400000000FF⟧ silinsin mi?,
1,FileDeleteDialogYesBtn1,Yes,Oui,Löschen,Sì,Sí,けす,Yes,Oui,Sí,Evet,
2,FileDeleteDialogNoBtn1,No,Non,Nicht löschen,No,No,けさない,No,Non,No,Hayır,
3,FileDeleteDialogMainText2,⟦MSBT:0E00000003000400FE9A10FF⟧Are you totally sure?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧Confirmer ?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧Bist du dir sicher?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FE9A10FF⟧Vuoi davvero continuare?⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FE9A10FF⟧¿Seguro?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧ほんとうに けしますよ？⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧Are you totally sure?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧Confirmer?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧¿Seguro?⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FE9A10FF⟧Kesinlikle emin misin?⟦MSBT:0E00000003000400000000FF⟧,
4,FileDeleteDialogYesBtn2,"Yes, delete it.","⟦MSBT:0E000000020002005A00⟧Oui, je veux l'effacer.⟦MSBT:0E000000020002006400⟧",Löschen,"Sì, elimina il file.","Sí, quiero borrarlo.",ほんとうに けす,"Yes, delete it.","⟦MSBT:0E000000020002005A00⟧Oui, je veux l'effacer.⟦MSBT:0E000000020002006400⟧","Sí, quiero borrarlo.","Evet, sil.",
5,FileDeleteDialogNoBtn2,"No, don't.","⟦MSBT:0E000000020002005A00⟧Finalement, non.⟦MSBT:0E000000020002006400⟧",Nicht löschen,"No, non eliminarlo.","No, mejor no.",やっぱり けさない,"No, don't.","⟦MSBT:0E000000020002005A00⟧Finalement, non.⟦MSBT:0E000000020002006400⟧","No, mejor no.","Hayır, silme.",
6,FileDeleteDialogMainText3,⟦MSBT:0E000000020002005500⟧This action can't be undone.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Cette opération est définitive.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Löschvorgang ist endgültig!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Non puoi annullare l'operazione.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧No podrás recuperar los datos.⟦MSBT:0E000000020002006400⟧,けしたデータは もどりません,⟦MSBT:0E000000020002005500⟧This action can't be undone.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Cette opération est définitive.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧No podrás recuperar los datos.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Bu işlem geri alınamaz.⟦MSBT:0E000000020002006400⟧,
7,FileDeleteDialogWarningText3,No regrets?,Pas de regrets ?,⟦MSBT:0E000000020002005500⟧Du bereust nichts?⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Non te ne pentirai?⟦MSBT:0E000000020002006400⟧,¿Lo tienes claro?,こうかい しませんね？,No regrets?,Pas de regrets?,¿Te queda claro?,Emin misin?,
8,FileDeleteDialogYesBtn3,⟦MSBT:0E00000003000400FF4600FF⟧No regrets!⟦MSBT:0E00000003000400000000FF⟧,"⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FF4600FF⟧Non, je veux l'effacer !⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF4600FF⟧Keine Reue! Löschen!⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FF4600FF⟧Certo che no!⟦MSBT:0E00000003000400000000FF⟧,"Sí, ⟦MSBT:0E00000003000400FF4600FF⟧¡quiero borrarlo!⟦MSBT:0E00000003000400000000FF⟧",⟦MSBT:0E00000003000400FF4600FF⟧こうかい しない！⟦MSBT:0E00000003000400000000FF⟧,⟦MSBT:0E00000003000400FF4600FF⟧No regrets!⟦MSBT:0E00000003000400000000FF⟧,"⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FF4600FF⟧Non, je veux l'effacer!⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧","Sí, ⟦MSBT:0E00000003000400FF4600FF⟧¡quiero borrarlo!⟦MSBT:0E00000003000400000000FF⟧",⟦MSBT:0E00000003000400FF4600FF⟧Pişman değilim!⟦MSBT:0E00000003000400000000FF⟧,
9,FileDeleteDialogNoBtn3,Don't delete!,⟦MSBT:0E000000020002005500⟧J'ai changé d'avis !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Nicht löschen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧In realtà sì! Non farlo!⟦MSBT:0E000000020002006400⟧,¡Mejor no!,やっぱり けさない,Don't delete!,⟦MSBT:0E000000020002005500⟧J'ai changé d'idée!⟦MSBT:0E000000020002006400⟧,¡Mejor no!,Silme!,
