index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,WMapHelpLvIn,Enter,Entrer,⟦MSBT:0E000000020002006400⟧Los⟦MSBT:0E000000020002006400⟧,Entra,Entrar,はいる,Enter,Entrer,Entrar,Gir,
1,LvMapHeaderIcCubeNumSlash,/,/,/,/,/,/,/,/,/,/,
2,LvMapStagePanelBossText,Boss,Boss,BOSS,Boss,Jefe,BOSS,Boss,Boss,Jefe,Patron,
3,LvMapToWorldText,World Map,⟦MSBT:0E000000020002005200⟧Carte du monde⟦MSBT:0E000000020002006400⟧,Weltkarte, ⟦MSBT:0E000000020002004600⟧Mappa del mondo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Mapa del mundo⟦MSBT:0E000000020002006400⟧,ワールドマップへ,World Map,⟦MSBT:0E000000020002005200⟧Carte du monde⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Mapa del mundo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Dünya Haritası⟦MSBT:0E000000020002006400⟧,
4,LvMapDialogBossStageOpen,"The ⟦MSBT:0E00000003000400FE9A10FF⟧Code Cubes ⟦MSBT:0E00000003000400000000FF⟧disabled
the barrier blocking the
⟦MSBT:0E00000003000400FE9A10FF⟧road to the boss⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005A00⟧Les ⟦MSBT:0E00000003000400FE9A10FF⟧Cubacodes⟦MSBT:0E00000003000400000000FF⟧ ont désactivé
le pare-feu qui empêchait
⟦MSBT:0E00000003000400FE9A10FF⟧l'accès à la porte du boss⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","Die ⟦MSBT:0E00000003000400FE9A10FF⟧Roboblocks⟦MSBT:0E00000003000400000000FF⟧ haben die
Firewall, die den ⟦MSBT:0E00000003000400FE9A10FF⟧Weg zum
Boss⟦MSBT:0E00000003000400000000FF⟧ blockiert, deaktiviert.","⟦MSBT:0E000000020002005A00⟧I ⟦MSBT:0E00000003000400FE9A10FF⟧cubi codice ⟦MSBT:0E00000003000400000000FF⟧hanno disattivato
la barriera che bloccava la
⟦MSBT:0E00000003000400FE9A10FF⟧strada verso il boss⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡Los ⟦MSBT:0E00000003000400FE9A10FF⟧cibercubos ⟦MSBT:0E00000003000400000000FF⟧han
desactivado la ⟦MSBT:0E00000003000400FE9A10FF⟧barrera
digital ⟦MSBT:0E00000003000400000000FF⟧que rodeaba al ⟦MSBT:0E00000003000400FE9A10FF⟧jefe⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧ICキューブ⟦MSBT:0E00000003000400000000FF⟧の⟦MSBT:0E00000000000A000200060061304B308930⟧力で
⟦MSBT:0E00000003000400FE9A10FF⟧ボスへの⟦MSBT:0E00000000000800020004007F306130⟧道⟦MSBT:0E00000003000400000000FF⟧の セキュリティが
かいじょ された！","The ⟦MSBT:0E00000003000400FE9A10FF⟧Code Cubes ⟦MSBT:0E00000003000400000000FF⟧disabled
the firewall blocking
the ⟦MSBT:0E00000003000400FE9A10FF⟧road to the boss⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005A00⟧Les ⟦MSBT:0E00000003000400FE9A10FF⟧Cubacodes⟦MSBT:0E00000003000400000000FF⟧ ont désactivé
le pare-feu qui empêchait
⟦MSBT:0E00000003000400FE9A10FF⟧l'accès à la porte du boss⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡Los ⟦MSBT:0E00000003000400FE9A10FF⟧cibercubos ⟦MSBT:0E00000003000400000000FF⟧han
desactivado la ⟦MSBT:0E00000003000400FE9A10FF⟧barrera
digital ⟦MSBT:0E00000003000400000000FF⟧que rodeaba al ⟦MSBT:0E00000003000400FE9A10FF⟧jefe⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FE9A10FF⟧Kod Küpleri⟦MSBT:0E00000003000400000000FF⟧,
⟦MSBT:0E00000003000400FE9A10FF⟧patrona giden yolu⟦MSBT:0E00000003000400000000FF⟧ kapatan
bariyeri devre dışı bıraktı!⟦MSBT:0E000000020002006400⟧",
5,LvMapDialogExStageOpen,"You've collected
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧Code Cubes and
unlocked an ⟦MSBT:0E00000003000400FE9A10FF⟧EX Stage⟦MSBT:0E00000003000400000000FF⟧!","Bravo, vous avez ramassé
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ Cubacodes ! L'⟦MSBT:0E00000003000400FE9A10FF⟧étape EX⟦MSBT:0E00000003000400000000FF⟧
est débloquée.","Du hast ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧Roboblocks
gesammelt und so ein
⟦MSBT:0E00000003000400FE9A10FF⟧EX-Level⟦MSBT:0E00000003000400000000FF⟧ freigeschaltet.","Hai raccolto ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧
⟦MSBT:0E00000003000400000000FF⟧cubi codice e sbloccato
un ⟦MSBT:0E00000003000400FE9A10FF⟧livello EX⟦MSBT:0E00000003000400000000FF⟧!","¡Has conseguido ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧
⟦MSBT:0E00000003000400000000FF⟧cibercubos y has
desbloqueado la ⟦MSBT:0E00000003000400FE9A10FF⟧fase EX⟦MSBT:0E00000003000400000000FF⟧!","ICキューブ ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧コ⟦MSBT:0E00000003000400000000FF⟧で
⟦MSBT:0E00000003000400FE9A10FF⟧エクストラステージ⟦MSBT:0E00000003000400000000FF⟧が あらわれた！","You've collected
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧Code Cubes and
unlocked an ⟦MSBT:0E00000003000400FE9A10FF⟧EX Stage⟦MSBT:0E00000003000400000000FF⟧!","Bravo, vous avez ramassé
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ Cubacodes! L'⟦MSBT:0E00000003000400FE9A10FF⟧étape EX⟦MSBT:0E00000003000400000000FF⟧
est débloquée.","¡Has conseguido ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧
⟦MSBT:0E00000003000400000000FF⟧cibercubos y has
desbloqueado la ⟦MSBT:0E00000003000400FE9A10FF⟧fase EX⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧Kod Küpü topladın ve
bir ⟦MSBT:0E00000003000400FE9A10FF⟧EX Bölüm⟦MSBT:0E00000003000400000000FF⟧ açtın!",
6,LvMapDialogCanNotEnterBossStage,"-ACCESS DENIED-
⟦MSBT:0E00000003000400FE9A10FF⟧More Code Cubes required.⟦MSBT:0E00000003000400000000FF⟧
Search ⟦MSBT:0E00000003000400FE9A10FF⟧this area⟦MSBT:0E00000003000400000000FF⟧ for more!","⟦MSBT:0E000000020002005F00⟧- ACCÈS REFUSÉ -
Fouillez⟦MSBT:0E00000003000400FE9A10FF⟧ cette zone ⟦MSBT:0E00000003000400000000FF⟧pour
trouver ⟦MSBT:0E00000003000400FE9A10FF⟧plus de Cubacodes ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","- ZUGRIFF VERWEIGERT -
⟦MSBT:0E00000003000400FE9A10FF⟧Zu wenig Roboblocks! ⟦MSBT:0E00000003000400000000FF⟧Finde
in ⟦MSBT:0E00000003000400FE9A10FF⟧dieser Welt⟦MSBT:0E00000003000400000000FF⟧ noch mehr!","ACCESSO NEGATO
⟦MSBT:0E00000003000400FE9A10FF⟧Servono più cubi codice.⟦MSBT:0E00000003000400000000FF⟧
Cercali in ⟦MSBT:0E00000003000400FE9A10FF⟧questa area⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005A00⟧-ACCESO DENEGADO-
⟦MSBT:0E00000003000400FE9A10FF⟧Se requieren más cibercubos.⟦MSBT:0E00000003000400000000FF⟧
¡Sigue buscando en ⟦MSBT:0E00000003000400FE9A10FF⟧esta área⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FE9A10FF⟧ICキューブが たりない！⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FE9A10FF⟧このエリア⟦MSBT:0E00000003000400000000FF⟧を ぼうけんして
あつめよう！","-ACCESS DENIED-
⟦MSBT:0E00000003000400FE9A10FF⟧More Code Cubes required⟦MSBT:0E00000003000400000000FF⟧.
Search ⟦MSBT:0E00000003000400FE9A10FF⟧this area⟦MSBT:0E00000003000400000000FF⟧ for more!","⟦MSBT:0E000000020002005F00⟧- ACCÈS REFUSÉ -
Fouillez⟦MSBT:0E00000003000400FE9A10FF⟧ cette zone ⟦MSBT:0E00000003000400000000FF⟧pour
trouver ⟦MSBT:0E00000003000400FE9A10FF⟧plus de Cubacodes⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧-ACCESO DENEGADO-
⟦MSBT:0E00000003000400FE9A10FF⟧Se requieren más cibercubos.⟦MSBT:0E00000003000400000000FF⟧
¡Sigue buscando en ⟦MSBT:0E00000003000400FE9A10FF⟧esta área⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","-ERİŞİM REDDEDİLDİ-
⟦MSBT:0E00000003000400FE9A10FF⟧Daha fazla Kod Küpü gerek.⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FE9A10FF⟧Bu bölgede⟦MSBT:0E00000003000400000000FF⟧ biraz daha ara!",
7,LvMapDialogNewAreaOpen,"You've destroyed the
enemy base and unlocked
the path to the ⟦MSBT:0E00000003000400FE9A10FF⟧next area⟦MSBT:0E00000003000400000000FF⟧!","Vous avez détruit une
base ennemie et débloqué
l'accès à la ⟦MSBT:0E00000003000400FE9A10FF⟧zone suivante ⟦MSBT:0E00000003000400000000FF⟧!","Du hast die gegnerische
Basis zerstört und den Weg
zur ⟦MSBT:0E00000003000400FE9A10FF⟧nächsten Welt⟦MSBT:0E00000003000400000000FF⟧ geräumt.","⟦MSBT:0E000000020002005F00⟧Hai danneggiato la base
nemica e sbloccato la strada
verso la ⟦MSBT:0E00000003000400FE9A10FF⟧prossima area⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧¡Has destruido la base
enemiga y has desbloqueado
la ruta hacia la ⟦MSBT:0E00000003000400FE9A10FF⟧siguiente área⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","てきの きょ⟦MSBT:0E000000000008000200040066309330⟧点を はかいして
⟦MSBT:0E00000003000400FE9A10FF⟧あらたな エリア⟦MSBT:0E00000003000400000000FF⟧へ
すすめるように なった！","You've destroyed the
enemy base and unlocked
the path to the ⟦MSBT:0E00000003000400FE9A10FF⟧next area⟦MSBT:0E00000003000400000000FF⟧!","Vous avez détruit une
base ennemie et débloqué
l'accès à la ⟦MSBT:0E00000003000400FE9A10FF⟧zone suivante⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002005A00⟧¡Has destruido la base
enemiga y has desbloqueado
la ruta hacia la ⟦MSBT:0E00000003000400FE9A10FF⟧siguiente área⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Düşman üssünü yok ettin ve
⟦MSBT:0E00000003000400FE9A10FF⟧sonraki bölgeye⟦MSBT:0E00000003000400000000FF⟧ giden
yolu açtın!⟦MSBT:0E000000020002006400⟧",
8,LvMapIcCubeCompleteText,"You've collected all of the
⟦MSBT:0E00000003000400FE9A10FF⟧Code Cubes ⟦MSBT:0E00000003000400000000FF⟧on the planet!","Vous avez ramassé tous
les ⟦MSBT:0E00000003000400FE9A10FF⟧Cubacodes⟦MSBT:0E00000003000400000000FF⟧ !","Du hast alle ⟦MSBT:0E00000003000400FE9A10FF⟧Roboblocks
⟦MSBT:0E00000003000400000000FF⟧des Planeten gesammelt!","Hai raccolto tutti i
⟦MSBT:0E00000003000400FE9A10FF⟧cubi codice ⟦MSBT:0E00000003000400000000FF⟧sul pianeta!","¡Has conseguido todos los
⟦MSBT:0E00000003000400FE9A10FF⟧cibercubos ⟦MSBT:0E00000003000400000000FF⟧del planeta!","せかいに ちらばる
⟦MSBT:0E00000003000400FE9A10FF⟧ICキューブ⟦MSBT:0E00000003000400000000FF⟧を すべて あつめた！","You've collected all of the
⟦MSBT:0E00000003000400FE9A10FF⟧Code Cubes ⟦MSBT:0E00000003000400000000FF⟧on the planet!","Vous avez ramassé tous
les ⟦MSBT:0E00000003000400FE9A10FF⟧Cubacodes⟦MSBT:0E00000003000400000000FF⟧!","¡Has conseguido todos los
⟦MSBT:0E00000003000400FE9A10FF⟧cibercubos ⟦MSBT:0E00000003000400000000FF⟧del planeta!","Gezegendeki tüm
⟦MSBT:0E00000003000400FE9A10FF⟧Kod Küplerini⟦MSBT:0E00000003000400000000FF⟧ topladın!",
9,WMapAbilityRoomOpenDialogText,"The ⟦MSBT:0E00000003000400FE9A10FF⟧Copy Ability Room
⟦MSBT:0E00000003000400000000FF⟧has been unlocked!
Look for it in Area 6!","⟦MSBT:0E000000020002005F00⟧L'⟦MSBT:0E00000003000400FE9A10FF⟧aire d'entraînement ⟦MSBT:0E00000003000400000000FF⟧est
ouverte ! Pour y accéder,
rendez-vous dans la zone 6.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Du hast den ⟦MSBT:0E00000003000400FE9A10FF⟧Spezial-Power- 
Testraum⟦MSBT:0E00000003000400000000FF⟧ freigeschaltet!  Du
findest ihn in Welt 6.⟦MSBT:0E000000020002006400⟧","Hai sbloccato la ⟦MSBT:0E00000003000400FE9A10FF⟧stanza
delle abilità⟦MSBT:0E00000003000400000000FF⟧! Cercala
nell'area 6!","Has desbloqueado la
⟦MSBT:0E00000003000400FE9A10FF⟧zona de pruebas⟦MSBT:0E00000003000400000000FF⟧.
¡Búscala en el área 6!","クリアした ごほうびに、
⟦MSBT:0E00000003000400FE9A10FF⟧のうりょくおためしべや⟦MSBT:0E00000003000400000000FF⟧ オープン！
エリア6へ ⟦MSBT:0E00000000000600020002004430⟧行ってみよう！","The ⟦MSBT:0E00000003000400FE9A10FF⟧Ability Testing Area
⟦MSBT:0E00000003000400000000FF⟧has been unlocked!
Look for it in Area 6!","⟦MSBT:0E000000020002005F00⟧L'⟦MSBT:0E00000003000400FE9A10FF⟧aire d'entraînement ⟦MSBT:0E00000003000400000000FF⟧est
ouverte! Pour y accéder,
rendez-vous dans la zone 6.⟦MSBT:0E000000020002006400⟧","Has desbloqueado la
⟦MSBT:0E00000003000400FE9A10FF⟧sala de habilidades⟦MSBT:0E00000003000400000000FF⟧.
¡Búscala en el área 6!","⟦MSBT:0E00000003000400FE9A10FF⟧Kopya Yeteneği Odası
⟦MSBT:0E00000003000400000000FF⟧açıldı!
Bölge 6'da ara!",
