index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,HeaderText,Sticker Room,Vignettes,Sticker,Adesivi,Pegatinas,ステッカールーム,Sticker Room,Vignettes,Calcomanías,Çıkartma Odası,
1,RotateText,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Rotate ,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner,⟦MSBT:0E00010004000000⟧ / ⟦MSBT:0E00010005000000⟧ Drehen,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Ruota,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧かいてん,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧Rotate ,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Döndür ,
2,ResetText,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Rotate ⟦MSBT:0E00010002000000⟧ Remove,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner ⟦MSBT:0E00010002000000⟧Retirer,⟦MSBT:0E00010004000000⟧ / ⟦MSBT:0E00010005000000⟧ Drehen ⟦MSBT:0E00010002000000⟧ Entfernen,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Ruota ⟦MSBT:0E00010002000000⟧ Rimuovi,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar ⟦MSBT:0E00010002000000⟧ Quitar,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧かいてん  ⟦MSBT:0E00010002000000⟧はがす,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧Rotate ⟦MSBT:0E00010002000000⟧Remove,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner ⟦MSBT:0E00010002000000⟧Retirer,⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar ⟦MSBT:0E00010002000000⟧ Quitar,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Döndür ⟦MSBT:0E00010002000000⟧ Kaldır,
3,ChangeText,⟦MSBT:0E00010003000000⟧ Change Robobot ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Rotate,⟦MSBT:0E00010003000000⟧Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner,⟦MSBT:0E00010003000000⟧ Robobot wechseln ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Drehen,⟦MSBT:0E00010003000000⟧ Cambia Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Ruota,⟦MSBT:0E00010003000000⟧ Cambiar Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar,⟦MSBT:0E00010003000000⟧ロボボチェンジ  ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧かいてん,⟦MSBT:0E00010003000000⟧Change Robobot ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧Rotate,⟦MSBT:0E00010003000000⟧Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner,⟦MSBT:0E00010003000000⟧ Cambiar Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar,⟦MSBT:0E00010003000000⟧ Robobot Değiştir ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Döndür,
4,ChangeAndResetText,⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Rotate ⟦MSBT:0E00010002000000⟧ Remove,⟦MSBT:0E00010003000000⟧Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner ⟦MSBT:0E00010002000000⟧Retirer,⟦MSBT:0E000000020002005C00⟧⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Drehen ⟦MSBT:0E00010002000000⟧ Entfernen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Ruota ⟦MSBT:0E00010002000000⟧ Rimuovi,⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar ⟦MSBT:0E00010002000000⟧ Quitar,⟦MSBT:0E00010003000000⟧ロボボチェンジ  ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧かいてん  ⟦MSBT:0E00010002000000⟧はがす,⟦MSBT:0E00010003000000⟧Robobot ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧Rotate ⟦MSBT:0E00010002000000⟧Remove,⟦MSBT:0E00010003000000⟧Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧Tourner ⟦MSBT:0E00010002000000⟧Retirer,⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ Girar ⟦MSBT:0E00010002000000⟧ Quitar,⟦MSBT:0E00010003000000⟧ Robobot ⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧ Döndür ⟦MSBT:0E00010002000000⟧ Kaldır,
5,GameCoinBtnText,Play Coins,⟦MSBT:0E000000020002005000⟧Pièces de jeu⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Spielmünzen⟦MSBT:0E000000020002006400⟧,Monete,Monedas,ゲームコイン,Play Coins,⟦MSBT:0E000000020002005000⟧Pièces de jeu⟦MSBT:0E000000020002006400⟧,Monedas,Jetonlar,
6,ResetBtnText,⟦MSBT:0E000000020002005F00⟧Remove all⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Tout retirer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004C00⟧Alle entfernen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Rimuovi tutti⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Quitar todo⟦MSBT:0E000000020002006400⟧,すべてはがす,⟦MSBT:0E000000020002005F00⟧Remove all⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Tout retirer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Quitar todo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004100⟧Hepsini kaldır⟦MSBT:0E000000020002006400⟧,
7,StickModeText,Which side?,De quel côté ?,Welche Seite?,Su quale lato?,Elige un lado.,どちらに はりますか？,Which side?,De quel côté?,Elige un lado.,Hangi taraf?,
8,ViewModePanelText,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧Stick,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧Poser,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005500⟧Kleben⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005A00⟧Incolla⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00010000000000⟧ Pegar,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧はる,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧Stick,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧Poser,⟦MSBT:0E00010000000000⟧ Pegar,⟦MSBT:0E00010000000000⟧⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002004B00⟧Koy⟦MSBT:0E000000020002006400⟧,
9,BackBtnText,Quit,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,もどる,Back,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,Salir,Çık,
