index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,TitleNewGameBtn,New Game,Nouvelle partie,Neues Abenteuer,Nuova partita,Partida nueva,はじめから,New Adventure,Nouvelle aventure,Partida nueva,Yeni Oyun,
1,TitleStartBtn,Start,Commencer,Start,Inizia,Empezar,スタート,Start,Commencer,Empezar,Başla,
2,TitleContinueBtn,Continue,Continuer,Fortsetzen,Continua,Continuar,つづきから,Continue,Continuer,Continuar,Devam,
3,TitleBestTimeBtn,Best Time,Records,Bestzeit,Tempi record,Ver récords,ベストタイム,Best Time,Records,Ver récords,En İyi Süre,
4,TitleBackBtn,Back,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003F00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,もどる,Back,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,Geri,
5,TitleEndBtn,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,おわる,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
6,TutorialTitleTextP1,Meta Knightmare is Back!,Meta Knight est de retour !,Albtraumeta-Knights Rückkehr,Meta Knight è tornato!,¡Meta Knight ha vuelto!,かえってきた メタナイトでゴー！,Meta Knightmare Is Back!,Meta Knight est de retour!,¡Meta Knight ha vuelto!,Meta Knight Geri Döndü!,
7,TutorialMainTextP1,"⟦MSBT:0E000000020002005F00⟧Play as Meta Knight in this
⟦MSBT:0E00000003000400FE9A10FF⟧time attack ⟦MSBT:0E00000003000400000000FF⟧mode. You'll
find fewer ⟦MSBT:0E00000003000400FE9A10FF⟧recovery items⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Incarnez Meta Knight dans ce
mode contre la montre où les
⟦MSBT:0E00000003000400FE9A10FF⟧objets de soins ⟦MSBT:0E00000003000400000000FF⟧sont rares !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Spiele in diesem ⟦MSBT:0E00000003000400FE9A10FF⟧Zeit⟦MSBT:0E00000003000400000000FF⟧-
Modus als Meta-Knight.
Es gibt weniger ⟦MSBT:0E00000003000400FE9A10FF⟧Heil-Items⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Vesti i panni di Meta Knight e
lotta ⟦MSBT:0E00000003000400FE9A10FF⟧contro il tempo⟦MSBT:0E00000003000400000000FF⟧. Troverai
meno ⟦MSBT:0E00000003000400FE9A10FF⟧oggetti salvavita⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Juega con Meta Knight en este
modo ⟦MSBT:0E00000003000400FE9A10FF⟧contrarreloj ⟦MSBT:0E00000003000400000000FF⟧¡con menos
⟦MSBT:0E00000003000400FE9A10FF⟧objetos de recuperación⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","あの メタナイトで ⟦MSBT:0E00000000000600020002008630⟧行く
クールな ⟦MSBT:0E00000003000400FE9A10FF⟧タイムアタック！
⟦MSBT:0E00000000000800020004004B304430⟧回ふくアイテム⟦MSBT:0E00000003000400000000FF⟧は すくないぞ！","⟦MSBT:0E000000020002005F00⟧Play as Meta Knight in this
⟦MSBT:0E00000003000400FE9A10FF⟧time attack ⟦MSBT:0E00000003000400000000FF⟧mode. You'll
find fewer ⟦MSBT:0E00000003000400FE9A10FF⟧recovery items⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Incarnez Meta Knight dans ce
mode ⟦MSBT:0E00000003000400FE9A10FF⟧contre la montre⟦MSBT:0E00000003000400000000FF⟧ où les
⟦MSBT:0E00000003000400FE9A10FF⟧objets de soins ⟦MSBT:0E00000003000400000000FF⟧sont rares!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Juega con Meta Knight en este
modo ⟦MSBT:0E00000003000400FE9A10FF⟧contrarreloj ⟦MSBT:0E00000003000400000000FF⟧¡con menos
⟦MSBT:0E00000003000400FE9A10FF⟧objetos de recuperación⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Bu ⟦MSBT:0E00000003000400FE9A10FF⟧zamana karşı⟦MSBT:0E00000003000400000000FF⟧ modda
Meta Knight olarak oyna.
⟦MSBT:0E00000003000400FE9A10FF⟧İyileştirme eşyaları⟦MSBT:0E00000003000400000000FF⟧ daha az!⟦MSBT:0E000000020002006400⟧",
8,TutorialTitleTextP2,Use Special Attacks!,Des attaques dévastatrices !,Nutze Spezialattacken!,Usa gli attacchi speciali!,¡Usa ataques especiales!,タッチで⟦MSBT:0E000000000008000200040064304B30⟧使う 4つの ひっさつワザ！,Use Special Attacks!,Des attaques dévastatrices!,¡Usa ataques especiales!,Özel Saldırıları Kullan!,
9,TutorialMainTextP2,"⟦MSBT:0E00000003000400FE9A10FF⟧Touch the icons⟦MSBT:0E00000003000400000000FF⟧ on the
lower screen to execute
⟦MSBT:0E00000003000400FE9A10FF⟧special attacks⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧Touchez⟦MSBT:0E00000003000400000000FF⟧ l'écran tactile
pour exécuter l'⟦MSBT:0E00000003000400FE9A10FF⟧attaque
spéciale ⟦MSBT:0E00000003000400000000FF⟧de votre choix !","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400FE9A10FF⟧Berühre⟦MSBT:0E00000003000400000000FF⟧ den Touchscreen,
um ⟦MSBT:0E00000003000400FE9A10FF⟧Spezialattacken ⟦MSBT:0E00000003000400000000FF⟧aus-
zuführen!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FE9A10FF⟧Tocca le icone⟦MSBT:0E00000003000400000000FF⟧ sul touch
screen per eseguire gli
⟦MSBT:0E00000003000400FE9A10FF⟧attacchi speciali⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧Toca los iconos⟦MSBT:0E00000003000400000000FF⟧ de la
pantalla inferior para
usar ⟦MSBT:0E00000003000400FE9A10FF⟧ataques especiales⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FE9A10FF⟧てき⟦MSBT:0E00000003000400000000FF⟧を たおして ⟦MSBT:0E00000003000400FE9A10FF⟧ポイントゲット！
⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000000008000200040057305F30⟧下がめんの ボタンを ⟦MSBT:0E00000003000400FE9A10FF⟧タッチ⟦MSBT:0E00000003000400000000FF⟧で
⟦MSBT:0E00000003000400FE9A10FF⟧ひっさつワザ⟦MSBT:0E00000003000400000000FF⟧が ⟦MSBT:0E000000000008000200040064304B30⟧使えるぞ！","⟦MSBT:0E00000003000400FE9A10FF⟧Tap the icons⟦MSBT:0E00000003000400000000FF⟧ on the
Touch Screen to execute
⟦MSBT:0E00000003000400FE9A10FF⟧special attacks⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧Touchez⟦MSBT:0E00000003000400000000FF⟧ l'écran tactile
pour exécuter l'⟦MSBT:0E00000003000400FE9A10FF⟧attaque
spéciale ⟦MSBT:0E00000003000400000000FF⟧de votre choix!","⟦MSBT:0E00000003000400FE9A10FF⟧Toca los iconos⟦MSBT:0E00000003000400000000FF⟧ de la
pantalla inferior para
usar ⟦MSBT:0E00000003000400FE9A10FF⟧ataques especiales⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E000000020002005A00⟧Alt ekrandaki ⟦MSBT:0E00000003000400FE9A10FF⟧ikonlara dokun⟦MSBT:0E00000003000400000000FF⟧
ve ⟦MSBT:0E00000003000400FE9A10FF⟧özel saldırıları⟦MSBT:0E00000003000400000000FF⟧
kullan!⟦MSBT:0E000000020002006400⟧",
