index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,HeaderText,Theatre,Cinéma,Kino,Cinema,Cine,シアタールーム,Theater,Cinéma,Cine,Sinema,
1,EndBtnText,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,⟦MSBT:0E000000020002006400⟧Esci⟦MSBT:0E000000020002006400⟧,Salir,おわる,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
2,PageSlash,/,/,/,/,/,／,/,/,/,/,
3,MovieTitleUnknown,???,???,???,???,(?),？？？？,????,???,(?),???,
4,MovieOpening,First Contact,Premier contact,Der erste Kontakt,Primo contatto,Primer contacto,"⟦MSBT:0E00000000000800040004005D308930⟧宇宙からの
ファースト コンタクト",First Contact,Premier contact,Primer contacto,İlk Temas,
5,MovieEnding,Restored to Life,Renaissance,Traumland gerettet!,Rinascita planetaria,Resurrección planetaria,よみがえる⟦MSBT:0E00000000000A0004000600603044306130⟧大地,Restored to Life,Renaissance,Resurrección planetaria,Hayata Dönüş,
6,StepDemoArmorAppear,Metal Invasion,Envahisseur métallique,Invasoren aus Metall,Invasione metallica,Invasores mecánicos,フルメタル・インベーダー,Metal Invasion,Envahisseur métallique,Invasores mecánicos,Metal İstilası,
7,StepDemoArmorRide,Robobot Armour Activate!,"Robobot, activation !",Robobot-Panzer aktiviert!,Armatura Robobot attivata!,⟦MSBT:0E000000020002005F00⟧Armadura Robobot: activada⟦MSBT:0E000000020002006400⟧,ロボボアーマー⟦MSBT:0E00000000000C00040008006F30633057309330⟧発進！,Robobot Armor Activate!,"Robobot, activation!",⟦MSBT:0E000000020002005F00⟧Armadura Robobot: activada⟦MSBT:0E000000020002006400⟧,Robobot Zırhı Aktif!,
8,StepDemoBoss01,Victim of Mechanisation,L'arbre cache le foret,Opfer der Mechanisierung,⟦MSBT:0E000000020002005A00⟧Vittima della meccanizzazione⟦MSBT:0E000000020002006400⟧,Amenaza robótica,キカイ⟦MSBT:0E00000000000600020002004B30⟧化のギセイ⟦MSBT:0E000000000008000200040057308330⟧者,Victim of Mechanization,L'arbre cache le foret,Amenaza robótica,Mekanizasyon Kurbanı,
9,StepDemoBoss02,Ancient Battle Program,Défense du passé,Das alte Kriegsprogramm,Antico programma bellico,⟦MSBT:0E000000020002005F00⟧Programa de lucha ancestral⟦MSBT:0E000000020002006400⟧,かつての⟦MSBT:0E00000000000A00020006005F305F304B30⟧戦いのプログラム,Ancient Battle Program,Défense du passé,⟦MSBT:0E000000020002005F00⟧Programa de lucha ancestral⟦MSBT:0E000000020002006400⟧,Kadim Savaş Programı,
10,StepDemoBoss03,"Susie, Executive Assistant","Susie, assistante de choc",Die rechte Hand des Chefs,"Susie, assistente esecutiva","Susi, la asistente ejecutiva",⟦MSBT:0E00000000000A0004000600723057308730⟧秘書スージーと もうします,"Susie, Executive Assistant","Susie, assistante de choc","Susi, la asistente ejecutiva","Susie, Yönetici Asistanı",
11,StepDemoBoss04,A Complete Remodel,Le chevalier servant,Ein neuer Krieger,Ricostruzione completa,Remodelación completa,ステキな⟦MSBT:0E00000000000C00040008005C30933057309330⟧全身カイゾウ,A Complete Remodel,Le chevalier servant,Remodelación completa,Tam Yenileme,
12,StepDemoBoss05,Unreal King,Le Roi dans tous ses états,Der unglaubliche König,Re irreale,La transformación del Rey,まさかの⟦MSBT:0E0000000000100006000C00603044304A30463055307E30⟧大王様,Unreal King,Le Roi dans tous ses états,La transformación del Rey,İnanılmaz Kral,
13,StepDemoBoss06,⟦MSBT:0E000000020002005F00⟧Duel in the President's Office⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Duel dans le bureau du président⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Duell im Büro des Präsidenten⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Duello nell'ufficio del presidente⟦MSBT:0E000000020002006400⟧,Duelo en la oficina,⟦MSBT:0E0000000000120006000E005730833061308730463057306430⟧社長室での⟦MSBT:0E00000000000C00040008005130633068304630⟧決闘,⟦MSBT:0E000000020002005F00⟧Duel in the President's Office⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Duel dans le bureau du président⟦MSBT:0E000000020002006400⟧,Duelo en la oficina,⟦MSBT:0E000000020002005F00⟧Başkanın Odasında Düello⟦MSBT:0E000000020002006400⟧,
14,StepDemoBoss07,My Name is Haltmann,Le président Haltmann,Mein Name ist Haltmann,Il mio nome è Haltmann,Soy el presidente Haltmann,わが⟦MSBT:0E00000000000600020002006A30⟧名はハルトマンである,My Name Is Haltmann,Le président Haltmann,Soy el presidente Haltmann,Benim Adım Haltmann,
15,StepDemoBoss08,Apocalyptic Wish,Bas les masques !,Ein schrecklicher Wunsch,Desiderio apocalittico,Deseos letales,ネガイノ タメニ ホロビナサイ,Apocalyptic Wish,Bas les masques!,Deseos letales,Kıyamet Dileği,
16,StepDemoBoss09,Please... Get him...!,"⟦MSBT:0E000000020002005A00⟧Je t'en prie, petite boule rose...⟦MSBT:0E000000020002006400⟧",Bitte... Du musst ihn...,"Ti prego, fermalo...!","Por favor, boliche...",おねがい…アイツを…,Please... Get Him...!,"⟦MSBT:0E000000020002005A00⟧Je t'en prie, petite boule rose...⟦MSBT:0E000000020002006400⟧","Por favor, bolita...",Lütfen... Onu... Durdur!,
17,StepDemoBoss11,A Star is Born,Une étoile est née,Ein neuer Stern am Himmel,È nata una stella,⟦MSBT:0E000000020002005F00⟧El nacimiento de una estrella⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000000008000200040042308930⟧新たな⟦MSBT:0E00000000000800020004007B305730⟧星の⟦MSBT:0E00000000000E0004000A005F309330583087304630⟧誕生,A Star Is Born,Une étoile est née,⟦MSBT:0E000000020002005F00⟧El nacimiento de una estrella⟦MSBT:0E000000020002006400⟧,Bir Yıldız Doğuyor,
18,StepDemoBoss13,One Last Shot,Un dernier effort,Die letzte Chance,Ultima possibilità,La última oportunidad,この⟦MSBT:0E00000000000C00040008004430613052304D30⟧一撃に⟦MSBT:0E000000000008000200040059307930⟧全てをかけて,One Last Shot,Un dernier effort,La última oportunidad,Son Bir Atış,
19,StepDemoBoss14,The Dark Rainbow Thief,Le voleur d'arcs-en-ciel,Der den Regenbogen stiehlt,Oscuro ladro di arcobaleni,Ladrón de arcoíris,⟦MSBT:0E00000000000800020004004F308D30⟧黒き⟦MSBT:0E00000000000800020004006B305830⟧虹うばうもの,The Dark Rainbow Thief,Le voleur d'arcs-en-ciel,Ladrón de arcoíris,Karanlık Gökkuşağı Hırsızı,
20,StepDemoBoss15,Elegant Rapier Dance,La danse des lames,Tanz der Rapiere,Danza di spade,Reina de espadas,⟦MSBT:0E00000000000A0002000600463064304F30⟧美しきレイピアの⟦MSBT:0E00000000000600020002007E30⟧舞い,Elegant Rapier Dance,La danse des lames,Reina de espadas,Zarif Meç Dansı,
21,StepDemoBoss16,White Knight Time Traveller,L'éternel chevalier blanc,Der weiße Ritter der Zeit,Viaggiatore nel tempo,⟦MSBT:0E000000020002005A00⟧Viajero galáctico en el tiempo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000000008000200040068304D30⟧時をかける⟦MSBT:0E000000000008000200040057308D30⟧白き⟦MSBT:0E00000000000A0004000600513093305730⟧剣士,White Knight Time Traveller,L'éternel chevalier blanc,⟦MSBT:0E000000020002005A00⟧Viajero galáctico en el tiempo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Zamanda Gezen Beyaz Şövalye⟦MSBT:0E000000020002006400⟧,
