index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,Staff,STAFF,STAFF,STAFF,STAFF,STAFF,スタッフ,STAFF,STAFF,STAFF,YAPIM EKİBİ,
1,GeneralDirector,GENERAL DIRECTOR,GENERAL DIRECTOR,GENERAL DIRECTOR,GENERAL DIRECTOR,GENERAL DIRECTOR,ゼネラルディレクター,GENERAL DIRECTOR,GENERAL DIRECTOR,GENERAL DIRECTOR,GENEL YÖNETMEN,
2,GeneralDirector_00,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,⟦MSBT:0E00000000000C00040008004F307E3056304D30⟧熊崎 ⟦MSBT:0E00000000000A0004000600573093308430⟧信也,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,
3,SequenceDirector,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,シーケンスディレクター,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,SEQUENCE DIRECTOR,SEKANS YÖNETMENİ,
4,SequenceDirector_00,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,⟦MSBT:0E00000000000C00040008004B307F3084307E30⟧神山 ⟦MSBT:0E00000000000A00040006005F3064308430⟧達哉,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,
5,LevelDesignDirector,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,レベルデザインディレクター,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,LEVEL DESIGN DIRECTOR,BÖLÜM TASARIM YÖNETMENİ,
6,LevelDesignDirector_00,YUKI ENDO,YUKI ENDO,YUKI ENDO,YUKI ENDO,YUKI ENDO,⟦MSBT:0E00000000000C00040008004830933069304630⟧遠藤 ⟦MSBT:0E00000000000A0004000600863046304D30⟧裕貴,YUKI ENDO,YUKI ENDO,YUKI ENDO,YUKI ENDO,
7,LevelDesign,LEVEL DESIGN,LEVEL DESIGN,LEVEL DESIGN,LEVEL DESIGN,LEVEL DESIGN,レベルデザイン,LEVEL DESIGN,LEVEL DESIGN,LEVEL DESIGN,BÖLÜM TASARIMI,
8,LevelDesign_00,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,⟦MSBT:0E00000000000C00040008008F305F306A307930⟧渡辺 ⟦MSBT:0E00000000000A000200060086305F304B30⟧豊,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,YUTAKA WATANABE,
9,SectionDirector,SECTION DIRECTORS,SECTION DIRECTORS,SECTION DIRECTORS,SECTION DIRECTORS,SECTION DIRECTORS,セクションディレクター,SECTION DIRECTORS,SECTION DIRECTORS,SECTION DIRECTORS,BÖLÜM YÖNETMENLERİ,
10,SectionDirector_00,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,⟦MSBT:0E00000000000A000400060080304B304830⟧向江 ⟦MSBT:0E00000000000C00040008008430593072308D30⟧康博,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,YASUHIRO MUKAE,
