index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,TitleStart,Start,Commencer,Start,Inizia,Empezar,はじめる,Start,Commencer,Empezar,Başla,
1,TitleBack,Quit,⟦MSBT:0E000000020002005000⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,おわる,Quit,⟦MSBT:0E000000020002004E00⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
2,LevelSelectCloseButton,Close,⟦MSBT:0E000000020002005500⟧Fermer⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002005000⟧Schlie-
ßen⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002005F00⟧Chiudi⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Cerrar⟦MSBT:0E000000020002006400⟧,とじる,Close,⟦MSBT:0E000000020002005500⟧Fermer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Cerrar⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Kapat⟦MSBT:0E000000020002006400⟧,
3,LevelSelectUpHeader,Level Select,Choix du niveau,Levelauswahl,Seleziona livello,Elige un nivel,レベルセレクト,Level Select,Choix du niveau,Elige un nivel,Seviye Seçimi,
4,LevelSelectUpProd,Hop on the Warp Star to start!,Grimpez sur une étoile Warp !,Auf Warp-Stern springen: Start!,⟦MSBT:0E000000020002005F00⟧Salta sulla Stella Warp per iniziare!⟦MSBT:0E000000020002006400⟧,¡Súbete a una estrella remolque!,ワープスターに のって ゲームスタート！,Hop on the Warp Star to start!,Grimpez sur une étoile Warp!,¡Súbete a una estrella remolque!,⟦MSBT:0E000000020002005A00⟧Başlamak için Warp Yıldızı'na bin!⟦MSBT:0E000000020002006400⟧,
5,LevelSelectUpUnlock,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ unlocked!,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ disponible !,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ freigeschaltet!,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ sbloccato!,¡⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ desbloqueado!,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ が オープン！,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ unlocked!,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ disponible!,¡⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ desbloqueado!,⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ açıldı!,
6,StageNameLevel1,Level 1,Niveau 1,Level 1,Livello 1,Nivel 1,レベル1,Level 1,Niveau 1,Nivel 1,Seviye 1,
7,StageNameLevel2,Level 2,Niveau 2,Level 2,Livello 2,Nivel 2,レベル2,Level 2,Niveau 2,Nivel 2,Seviye 2,
8,StageNameLevel3,Level 3,Niveau 3,Level 3,Livello 3,Nivel 3,レベル3,Level 3,Niveau 3,Nivel 3,Seviye 3,
9,RankWindowLevel1,Level 1,Niveau 1,Level 1,Livello 1,Nivel 1,レベル1,Level 1,Niveau 1,Nivel 1,Seviye 1,
10,RankWindowLevel2,Level 2,Niveau 2,Level 2,Livello 2,Nivel 2,レベル2,Level 2,Niveau 2,Nivel 2,Seviye 2,
11,RankWindowLevel3,Level 3,Niveau 3,Level 3,Livello 3,Nivel 3,レベル3,Level 3,Niveau 3,Nivel 3,Seviye 3,
12,LevelSelectLoHeader,Controls,Commandes,Steuerung,Comandi,Controles,そうさ ほうほう,Controls,Commandes,Controles,Kontroller,
13,LevelSelectLoOpMove,Move,⟦MSBT:0E000000020002005A00⟧Avancer⟦MSBT:0E000000020002006400⟧,"Be-
wegen",Muovi,⟦MSBT:0E000000020002005500⟧Moverse⟦MSBT:0E000000020002006400⟧,いどう,Move,⟦MSBT:0E000000020002005A00⟧Avancer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Moverse⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Hareket⟦MSBT:0E000000020002006400⟧,
14,LevelSelectLoOpTurn,Rotate,⟦MSBT:0E000000020002005F00⟧Tourner⟦MSBT:0E000000020002006400⟧,Drehen,Ruota,Girar,かいてん,Rotate,⟦MSBT:0E000000020002005F00⟧Tourner⟦MSBT:0E000000020002006400⟧,Girar,Döndür,
