index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,UnknownName,???,???,???,???,(?),？？？？,???,???,(?),???,
1,SusieName,Susie,Susie,Susi,Susie,Susi,秘書スージー,Susie,Susie,Susi,Susie,
2,HartmannName,Pres. Haltmann,Prés. Haltmann,⟦MSBT:0E000000020002006400⟧Präs. Haltmann⟦MSBT:0E000000020002006400⟧,Haltmann,Pdte. Haltmann,⟦MSBT:0E000000020002005500⟧プレジデント・ハルトマン⟦MSBT:0E000000020002006400⟧,Pres. Haltmann,Prés. Haltmann,Pdte. Haltmann,Bşk. Haltmann,
3,StarDreamName,Star Dream,⟦MSBT:0E000000020002005A00⟧Idole des étoiles⟦MSBT:0E000000020002006400⟧,Sternentraum,Sogno Stellare,Sueño Estelar,星の夢,Star Dream,⟦MSBT:0E000000020002005A00⟧Idole des étoiles⟦MSBT:0E000000020002006400⟧,Sueño Estelar,⟦MSBT:0E000000020002005F00⟧Yıldız Rüyası⟦MSBT:0E000000020002006400⟧,
4,Boss03AppearSusieSerif01,"Heehee...⟦MSBT:0E00000004000000⟧I didn't expect to see a native
inhabitant all the way out here...","Hi hi.⟦MSBT:0E00000004000000⟧Je n'aurais jamais pensé qu'un
autochtone arriverait jusqu'ici.","Na so was...⟦MSBT:0E00000004000000⟧Faszinierend, dass es ein Eingeborener
dieses Planeten bis hier geschafft hat!","Eh eh eh...⟦MSBT:0E00000004000000⟧Non mi aspettavo di vedere un
indigeno arrivare fino a qui...","Vaya, qué sorpresa...⟦MSBT:0E00000004000000⟧No me esperaba ver a un habitante de
este planeta por aquí.","ウフフ…⟦MSBT:0E00000004000000⟧こんな⟦MSBT:0E00000000000A0002000600683053308D30⟧所に まで、
ゲンジュウ⟦MSBT:0E00000000000800020004007F309330⟧民が ⟦MSBT:0E00000000000600020002004F30⟧来るなんて…","Heehee...⟦MSBT:0E00000004000000⟧I didn't expect to see a native
inhabitant all the way out here...","Hi hi.⟦MSBT:0E00000004000000⟧Je n'aurais jamais pensé qu'un
natif arriverait jusqu'ici.","Vaya, qué sorpresa...⟦MSBT:0E00000004000000⟧No esperaba ver a un habitante de
este planeta por aquí.","Heehee...⟦MSBT:0E00000004000000⟧Buralarda bir yerli
göreceğimi sanmazdım...",
5,Boss03AppearSusieSerif02,"Excuse my manners. Let me introduce
myself.⟦MSBT:0E00000004000000⟧My name is ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧, executive assistant
to the ⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann Works Company⟦MSBT:0E00000003000400000000FF⟧.","Mais j'en oublie les bonnes manières...⟦MSBT:0E00000004000000⟧Enchantée, je m'appelle ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧. Je suis
assistante de direction à ⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann SA⟦MSBT:0E00000003000400000000FF⟧.","Aber vielleicht sollte ich mich zunächst
vorstellen...⟦MSBT:0E00000004000000⟧Mein Name ist ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susi⟦MSBT:0E00000003000400000000FF⟧, Assistentin der
Geschäftsleitung der ⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann OHG⟦MSBT:0E00000003000400000000FF⟧.","Perdonami, indigeno. Lascia che mi
presenti.⟦MSBT:0E00000004000000⟧Sono ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧, assistente esecutiva
della ⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann Works Company⟦MSBT:0E00000003000400000000FF⟧.","Permíteme que me presente:⟦MSBT:0E00000004000000⟧me llamo ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susi⟦MSBT:0E00000003000400000000FF⟧, soy la asistente
ejecutiva de la ⟦MSBT:0E00000003000400FF4B32FF⟧Corporación Haltmann⟦MSBT:0E00000003000400000000FF⟧.","あぁ、もうしおくれました。
ワタクシ⟦MSBT:0E00000003000400FF4B32FF⟧「ハルトマンワークスカンパニー」⟦MSBT:0E00000003000400000000FF⟧の、⟦MSBT:0E00000004000000⟧⟦MSBT:0E00030003000000⟧⟦MSBT:0E000000000014000800100057308330613087304630723057308730⟧社長秘書を つとめて おります、
⟦MSBT:0E00000003000400FF4B32FF⟧「スージー」⟦MSBT:0E00000003000400000000FF⟧と もうします。","Excuse my manners. Let me introduce
myself.⟦MSBT:0E00000004000000⟧My name is ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧, executive assistant
of the ⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann Works Company⟦MSBT:0E00000003000400000000FF⟧.","Mais j'en oublie mes bonnes manières...⟦MSBT:0E00000004000000⟧Je me présente : ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧, assistante de
direction à la ⟦MSBT:0E00000003000400FF4B32FF⟧Société Haltmann⟦MSBT:0E00000003000400000000FF⟧.","Permíteme que me presente:⟦MSBT:0E00000004000000⟧me llamo ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susi⟦MSBT:0E00000003000400000000FF⟧, soy la asistente
ejecutiva de la ⟦MSBT:0E00000003000400FF4B32FF⟧Corporación Haltmann⟦MSBT:0E00000003000400000000FF⟧.","Kusura bakma. Kendimi tanıtayım.⟦MSBT:0E00000004000000⟧Adım ⟦MSBT:0E00030003000000⟧⟦MSBT:0E00000003000400FF4B32FF⟧Susie⟦MSBT:0E00000003000400000000FF⟧,
⟦MSBT:0E00000003000400FF4B32FF⟧Haltmann Şirketi⟦MSBT:0E00000003000400000000FF⟧ yönetici asistanıyım.",
6,Boss03AppearSusieSerif03,Pleased to make your acquaintance.,"C'est un honneur de faire
votre connaissance.",Es ist mir eine Ehre!,Piacere di fare la tua conoscenza.,Encantada de conocerte.,いご おみしりおきを。,Pleased to make your acquaintance.,"C'est un honneur de faire
votre connaissance.",Encantada de conocerte.,Tanıştığıma memnun oldum.,
7,Boss03AppearSusieSerif04,"Just look at this planet.⟦MSBT:0E00000004000000⟧Clean air, fresh water...⟦MSBT:0E00000004000000⟧There is a wealth of natural resources
to be found here.","Regardez autour de vous...⟦MSBT:0E00000004000000⟧Sur cette planète, l'air est pur,
et l'eau est cristalline.⟦MSBT:0E00000004000000⟧Tant de ressources naturelles qui
ne demandent qu'à être puisées...","Dieser Planet ist einfach wunderbar...⟦MSBT:0E00000004000000⟧Es gibt sauberes Wasser im Übermaß
und frische, klare Luft.⟦MSBT:0E00000004000000⟧Und er verfügt über unglaubliche
Mengen an natürlichen Ressourcen!","Osserva questo pianeta.⟦MSBT:0E00000004000000⟧Aria pura, acqua fresca...⟦MSBT:0E00000004000000⟧La ricchezza di risorse naturali che
offre è sbalorditiva.","Fíjate en este planeta.⟦MSBT:0E00000004000000⟧Aquí el aire es puro y hay agua
potable por doquier...⟦MSBT:0E00000004000000⟧La cantidad de recursos naturales
que alberga es sorprendente.","……ごらん くださいませ。
⟦MSBT:0E00000004000000⟧この ほうふな ⟦MSBT:0E00000000000800020004007F305A30⟧水に
きれいな ⟦MSBT:0E00000000000A00040006004F3046304D30⟧空気を…⟦MSBT:0E00000004000000⟧この⟦MSBT:0E00000000000800020004007B305730⟧星には、ばく⟦MSBT:0E000000000008000200040060304430⟧大な
しげんが ねむっている のです。","Just look at this planet.⟦MSBT:0E00000004000000⟧Clean air, fresh water...⟦MSBT:0E00000004000000⟧There is a wealth of natural resources
to be found here.","Regardez autour de vous...⟦MSBT:0E00000004000000⟧Sur cette planète, l'air est pur,
et l'eau est cristalline.⟦MSBT:0E00000004000000⟧Tant de ressources naturelles qui
ne demandent qu'à être puisées...","Fíjate en este planeta.⟦MSBT:0E00000004000000⟧Aquí el aire es puro y hay agua
limpia por doquier...⟦MSBT:0E00000004000000⟧La cantidad de recursos naturales
que alberga es sorprendente.","Şu gezegene bak.⟦MSBT:0E00000004000000⟧Temiz hava, taze su...⟦MSBT:0E00000004000000⟧Burada bol doğal kaynak
var.",
8,Boss03AppearSusieSerif05,"But all of you who live in this world
take that wealth for granted.","Mais vous, misérables autochtones,
n'avez pas la notion de cette richesse.","Aber für euch Eingeborene scheint das
alles ganz selbstverständlich zu sein.","Ma tutti voi che vivete in questo mondo
date tale ricchezza per scontata.","Sin embargo, no valoráis lo que tenéis
hasta que estáis a punto de perderlo.","アナタ⟦MSBT:0E00000000000800020004004C305F30⟧方 ゲンジュウ⟦MSBT:0E00000000000800020004007F309330⟧民は、
その ねうち さえ ⟦MSBT:0E00000000000600020002008F30⟧分からずに…","But all of you who live in this world
take that wealth for granted.","Mais vous, misérables habitants,
n'avez pas la notion de cette richesse.","Sin embargo, nadie valora lo que tiene
hasta que está a punto de perderlo.","Ama bu dünyada yaşayanlar
bu zenginliği cepte sanıyor.",
9,Boss03AppearSusieSerif06,"Regrettable, but at any rate...","C'est regrettable, vraiment... Mais bon.","Sehr bedauerlich, aber wie dem
auch sei...",Una cosa deplorevole. In ogni caso...,"Es una lástima, pero...",と、いうわけでして…,"Regrettable, but at any rate...","C'est regrettable, vraiment... Mais bon.","Es una lástima, pero...","Yazık, ama neyse...",
