index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,EndButton,Back,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003F00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,もどる,Back,⟦MSBT:0E000000020002004B00⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,Geri,
1,ExitButton,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,おわる,Quit,⟦MSBT:0E000000020002004600⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
2,CommonBestTimeColon01,:,:,:,:,:,:,:,:,:,:,
3,CommonBestTimeColon02,.,",",",",",",",",.,.,",",",",",",
4,CommonTimeBeforeStartMin,--,--,--,--,--,--,--,--,--,--,
5,CommonTimeBeforeStartSec,--,--,--,--,--,--,--,--,--,--,
6,CommonTimeBeforeStartMsec,--,--,--,--,--,--,--,--,--,--,
7,CommonBestTimeRound,Round ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002005A00⟧Combat ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Runde ⟦MSBT:0E00020001000000⟧,Round ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002005000⟧Combate ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000000000A00040006005B3093308130⟧戦目⟦MSBT:0E00000000000C00040008006F3044305F304430⟧敗退,Round ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002005A00⟧Combat ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Combate ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Tur ⟦MSBT:0E00020001000000⟧,
8,TitleGameStartButton,Start,⟦MSBT:0E000000020002005F00⟧Commencer⟦MSBT:0E000000020002006400⟧,Start,Inizia,Empezar,はじめる,Start,⟦MSBT:0E000000020002005F00⟧Commencer⟦MSBT:0E000000020002006400⟧,Empezar,Başla,
9,TitleRankingButton,Records,Records,Rang,Podio,⟦MSBT:0E000000020002005A00⟧Ver récords⟦MSBT:0E000000020002006400⟧,ランキング,Rank,Classement,⟦MSBT:0E000000020002005A00⟧Ver récords⟦MSBT:0E000000020002006400⟧,Rekorlar,
10,RankingUpText,Records,Records,Rang,Podio,Récords,ランキング,Rank,Classement,Récords,Rekorlar,
11,RankingUpDeleteText,⟦MSBT:0E00010002000000⟧ Delete records,⟦MSBT:0E00010002000000⟧ Effacer les records,⟦MSBT:0E00010002000000⟧ Rekorde löschen,⟦MSBT:0E00010002000000⟧ Elimina record,⟦MSBT:0E00010002000000⟧ Borrar récords,⟦MSBT:0E00010002000000⟧ きろくを けす,⟦MSBT:0E00010002000000⟧ Delete records,⟦MSBT:0E00010002000000⟧ Effacer le classement,⟦MSBT:0E00010002000000⟧ Borrar récords,⟦MSBT:0E00010002000000⟧ Rekorları sil,
