index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,AskTouch,"If you have an ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧,
Kirby can inhale it to
get a Copy Ability!
⟦MSBT:0E00000003000400FF4B32FF⟧Inhale an amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si vous avez un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, Kirby
peut l'aspirer pour obtenir un
pouvoir ! Voulez-vous que
Kirby ⟦MSBT:0E00000003000400FF4B32FF⟧aspire un amiibo⟦MSBT:0E00000003000400000000FF⟧ ?","Kirby kann ein ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo ⟦MSBT:0E00000003000400000000FF⟧ein-
saugen, um Fähigkeiten zu
erhalten! Jetzt ein ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo
einsaugen⟦MSBT:0E00000003000400000000FF⟧?","Sei hai un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, Kirby lo
può risucchiare per ottenere
un'abilità! ⟦MSBT:0E00000003000400FF4B32FF⟧Vuoi che Kirby
risucchi un amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, ¿quieres
que Kirby lo ⟦MSBT:0E00000003000400FF4B32FF⟧absorba ⟦MSBT:0E00000003000400000000FF⟧para
copiar una habilidad?","⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiibo⟦MSBT:0E00000003000400000000FF⟧を すいこんで
コピーのうりょくを ゲットできます！
⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboすいこみ⟦MSBT:0E00000003000400000000FF⟧を しますか？","You can inhale an ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo
⟦MSBT:0E00000003000400000000FF⟧to get a Copy Ability!
⟦MSBT:0E00000003000400FF4B32FF⟧Inhale an amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si vous avez un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, Kirby
peut l'aspirer pour obtenir un
pouvoir! Voulez-vous que
Kirby ⟦MSBT:0E00000003000400FF4B32FF⟧aspire un amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, ¿quieres
que Kirby lo ⟦MSBT:0E00000003000400FF4B32FF⟧absorba ⟦MSBT:0E00000003000400000000FF⟧para
copiar una habilidad?","Bir ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧'n varsa, Kirby onu
içine çekerek bir Kopya Yeteneği
kazanabilir! ⟦MSBT:0E00000003000400FF4B32FF⟧Bir amiibo içine
çekilsin mi⟦MSBT:0E00000003000400000000FF⟧?",
1,AskTouchMetaGo,"If you have an ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, you
can use it to receive an item!
Use an ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si vous avez un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, vous
pouvez l'utiliser pour obtenir
un objet ! Voulez-vous utiliser
un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧ ?","Dein ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo ⟦MSBT:0E00000003000400000000FF⟧wird dir ein Item
spendieren. Jetzt ein ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧
verwenden?","Se hai un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, lo puoi
usare per ricevere un
oggetto! Vuoi usare un
⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, ¿quieres
usarlo para recibir un objeto?","⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiibo⟦MSBT:0E00000003000400000000FF⟧から アイテムがもらえます！
⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiibo⟦MSBT:0E00000003000400000000FF⟧を つかいますか？","Your ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo ⟦MSBT:0E00000003000400000000FF⟧will give you
an item! Use an ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si vous avez un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, vous
pouvez l'utiliser pour obtenir
un objet! Voulez-vous utiliser
un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧?","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧, ¿quieres
usarlo para recibir un objeto?","Bir ⟦MSBT:0E00000003000400FF4B32FF⟧amiibo⟦MSBT:0E00000003000400000000FF⟧'n varsa, onu kullanıp
bir eşya alabilirsin!
⟦MSBT:0E00000003000400FF4B32FF⟧Bir amiibo kullanılsın mı⟦MSBT:0E00000003000400000000FF⟧?",
2,Reading,Reading...,Lecture...,Lesevorgang...,Lettura in corso...,Leyendo datos...,⟦MSBT:0E00000000000600020002008830⟧読みこみ⟦MSBT:0E00000000000A0002000600613085304630⟧中…,Reading...,Lecture...,Leyendo datos...,Okunuyor...,
3,Canceling,Cancelling...,Annulation...,Vorgang wird abgebrochen...,L'operazione viene annullata...,Cancelando...,キャンセル⟦MSBT:0E00000000000A0002000600613085304630⟧中…,Canceling...,Annulation...,Cancelando...,İptal ediliyor...,
4,ConnectNfcReader,"If you have a ⟦MSBT:0E00000003000400FF4B32FF⟧Nintendo 3DS
NFC Reader/Writer⟦MSBT:0E00000003000400000000FF⟧, connect
it now.
⟦MSBT:0E00010001000000⟧ Cancel","⟦MSBT:0E000000020002005F00⟧Si vous disposez d'un ⟦MSBT:0E00000003000400FF4B32FF⟧lecteur/
⟦MSBT:0E000000020002005F00⟧enregistreur NFC Nintendo 3DS⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400000000FF⟧,
veuillez le connecter.
⟦MSBT:0E00010001000000⟧ Annuler⟦MSBT:0E000000020002006400⟧","Solltest du ein ⟦MSBT:0E00000003000400FF4B32FF⟧Nintendo 3DS-
NFC-Lese-/Schreibgerät⟦MSBT:0E00000003000400000000FF⟧
besitzen, verbinde es jetzt.
⟦MSBT:0E00010001000000⟧ Abbrechen","Se hai un ⟦MSBT:0E00000003000400FF4B32FF⟧lettore/scrittore
NFC per Nintendo 3DS⟦MSBT:0E00000003000400000000FF⟧,
collegalo ora.
⟦MSBT:0E00010001000000⟧ Annulla","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧lector/grabador
de NFC para Nintendo 3DS⟦MSBT:0E00000003000400000000FF⟧,
conéctalo ahora.
⟦MSBT:0E00010001000000⟧ Cancelar","⟦MSBT:0E00000003000400FF4B32FF⟧ニンテンドー3DS
⟦MSBT:0E0000000000100006000C00A830CC30A830D530B730FC30⟧NFCリーダー/ライター⟦MSBT:0E00000003000400000000FF⟧を
せつぞく してください。

⟦MSBT:0E00010001000000⟧キャンセル","Connect the ⟦MSBT:0E00000003000400FF4B32FF⟧Nintendo 3DS
NFC Reader/Writer⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancel","⟦MSBT:0E000000020002005F00⟧Si vous disposez d'un ⟦MSBT:0E00000003000400FF4B32FF⟧lecteur/
⟦MSBT:0E000000020002005F00⟧enregistreur CCP Nintendo 3DS⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400000000FF⟧,
veuillez le connecter.
⟦MSBT:0E00010001000000⟧ Annuler⟦MSBT:0E000000020002006400⟧","Si tienes un ⟦MSBT:0E00000003000400FF4B32FF⟧lector/grabador
de NFC para Nintendo 3DS⟦MSBT:0E00000003000400000000FF⟧,
conéctalo ahora.
⟦MSBT:0E00010001000000⟧ Cancelar","⟦MSBT:0E00000003000400FF4B32FF⟧Nintendo 3DS NFC
Okuyucu/Yazıcı⟦MSBT:0E00000003000400000000FF⟧'n varsa
şimdi bağla.
⟦MSBT:0E00010001000000⟧ İptal",
5,TouchLowerScreen,"If you have an amiibo, touch
it to the ⟦MSBT:0E00000003000400FF4B32FF⟧lower screen⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancel","Touchez l'⟦MSBT:0E00000003000400FF4B32FF⟧écran tactile
⟦MSBT:0E00000003000400000000FF⟧avec un amiibo, si vous
en avez un.
⟦MSBT:0E00010001000000⟧ Annuler","Berühre den ⟦MSBT:0E00000003000400FF4B32FF⟧Touchscreen⟦MSBT:0E00000003000400000000FF⟧
mit einem amiibo.

⟦MSBT:0E00010001000000⟧ Abbrechen","Sei hai un amiibo, tienilo a
contatto con il ⟦MSBT:0E00000003000400FF4B32FF⟧touch screen⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Annulla","Acerca un amiibo
a la ⟦MSBT:0E00000003000400FF4B32FF⟧pantalla táctil⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancelar","⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E000000000008000200040057305F30⟧下がめん⟦MSBT:0E00000003000400000000FF⟧に ⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboを
タッチしてください。

⟦MSBT:0E00010001000000⟧キャンセル","Tap an amiibo on
the ⟦MSBT:0E00000003000400FF4B32FF⟧Touch Screen⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancel","Touchez l'⟦MSBT:0E00000003000400FF4B32FF⟧écran tactile
⟦MSBT:0E00000003000400000000FF⟧avec un amiibo, si vous
en avez un.
⟦MSBT:0E00010001000000⟧ Annuler","Toca con el amiibo
la ⟦MSBT:0E00000003000400FF4B32FF⟧pantalla táctil⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancelar","Bir amiibo'n varsa onu
⟦MSBT:0E00000003000400FF4B32FF⟧alt ekrana⟦MSBT:0E00000003000400000000FF⟧ dokundur.

⟦MSBT:0E00010001000000⟧ İptal",
6,TouchNfcReader,"If you have an amiibo, touch
it to the ⟦MSBT:0E00000003000400FF4B32FF⟧NFC reader/writer⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancel","Touchez la ⟦MSBT:0E00000003000400FF4B32FF⟧zone NFC ⟦MSBT:0E00000003000400000000FF⟧avec un
amiibo, si vous en avez un.

⟦MSBT:0E00010001000000⟧ Annuler","⟦MSBT:0E000000020002005F00⟧Berühre das ⟦MSBT:0E00000003000400FF4B32FF⟧NFC-Lese-/⟦MSBT:0E000000020002005F00⟧
Schreibgerät⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400000000FF⟧ mit einem amiibo.

⟦MSBT:0E00010001000000⟧ Abbrechen⟦MSBT:0E000000020002006400⟧","Se hai un amiibo,
tienilo a contatto con il
⟦MSBT:0E00000003000400FF4B32FF⟧lettore/scrittore NFC⟦MSBT:0E00000003000400000000FF⟧.
⟦MSBT:0E00010001000000⟧ Annulla","Acerca un amiibo al ⟦MSBT:0E00000003000400FF4B32FF⟧área NFC
del lector/grabador de NFC⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancelar","⟦MSBT:0E00000003000400FF4B32FF⟧⟦MSBT:0E0000000000100006000C00A830CC30A830D530B730FC30⟧NFCリーダー/ライター⟦MSBT:0E00000003000400000000FF⟧に
⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboを タッチしてください。
⟦MSBT:0E00010001000000⟧キャンセル","Tap an amiibo on the
⟦MSBT:0E00000003000400FF4B32FF⟧NFC reader/writer⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancel","Touchez la ⟦MSBT:0E00000003000400FF4B32FF⟧zone CCP ⟦MSBT:0E00000003000400000000FF⟧avec un
amiibo, si vous en avez un.

⟦MSBT:0E00010001000000⟧ Annuler","Toca con el amiibo el ⟦MSBT:0E00000003000400FF4B32FF⟧área NFC
del lector/grabador de NFC⟦MSBT:0E00000003000400000000FF⟧.

⟦MSBT:0E00010001000000⟧ Cancelar","Bir amiibo'n varsa onu
⟦MSBT:0E00000003000400FF4B32FF⟧NFC Okuyucu/Yazıcıya⟦MSBT:0E00000003000400000000FF⟧ dokundur.

⟦MSBT:0E00010001000000⟧ İptal",
7,CopiedAbility,"Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧ and
copied the ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ ability!","Vous avez obtenu le pouvoir
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧ !","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧ eingesaugt
und die Fähigkeit ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧
⟦MSBT:0E00000003000400000000FF⟧kopiert.","Kirby ha risucchiato
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧
⟦MSBT:0E00000003000400000000FF⟧e copiato l'abilità ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧ ⟦MSBT:0E00000003000400000000FF⟧y has
copiado la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020003000000⟧」⟦MSBT:0E00000003000400000000FF⟧の ⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboを
すいこんで⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020005000000⟧」⟦MSBT:0E00000003000400000000FF⟧を コピー！","Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧ and
copied the ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ ability.","Vous avez obtenu le pouvoir
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧ ⟦MSBT:0E00000003000400000000FF⟧y has
copiado la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020003000000⟧⟦MSBT:0E00000003000400000000FF⟧ figürünü içine çektin ve
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ yeteneğini kopyaladın!",
8,CopiedSurprisingAbility,"Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧ ⟦MSBT:0E00000003000400000000FF⟧and
copied the ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ ability!","Vous avez obtenu le pouvoir
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧ !","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧ eingesaugt und
die Fähigkeit ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧
⟦MSBT:0E00000003000400000000FF⟧kopiert.","Kirby ha risucchiato
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧
⟦MSBT:0E00000003000400000000FF⟧e copiato l'abilità ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧y has copiado
la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020004000000⟧」⟦MSBT:0E00000003000400000000FF⟧の ⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboを すいこんで
なんと！ ⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020005000000⟧」⟦MSBT:0E00000003000400000000FF⟧を コピー！","Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧and
copied the ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ ability!","Vous avez obtenu le pouvoir
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧y has copiado
la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧ figürünü içine çektin ve
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧ yeteneğini kopyaladın!",
9,CopiedSpecialAbility,"Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧ ⟦MSBT:0E00000003000400000000FF⟧and
copied the ⟦MSBT:0E00000003000400FE9A10FF⟧special ⟦MSBT:0E00020005000000⟧ ⟦MSBT:0E00000003000400000000FF⟧ability!","Vous avez obtenu le pouvoir ⟦MSBT:0E00000003000400FE9A10FF⟧spécial
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧ !","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧ ⟦MSBT:0E00000003000400000000FF⟧eingesaugt und
die ⟦MSBT:0E00000003000400FE9A10FF⟧spezielle⟦MSBT:0E00000003000400000000FF⟧ Fähigkeit ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧
kopiert!","Kirby ha risucchiato
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧e
copiato l'abilità ⟦MSBT:0E00000003000400FE9A10FF⟧speciale ⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧y has copiado
la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧especial⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020004000000⟧」⟦MSBT:0E00000003000400000000FF⟧の ⟦MSBT:0E00000000000C000C000800A230DF30FC30DC30⟧amiiboを すいこんで
なんと！ とくべつな ⟦MSBT:0E00000003000400FE9A10FF⟧「⟦MSBT:0E00020005000000⟧」⟦MSBT:0E00000003000400000000FF⟧を コピー！","Inhaled ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧ ⟦MSBT:0E00000003000400000000FF⟧and
copied the special⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00020005000000⟧ ⟦MSBT:0E00000003000400000000FF⟧ability!","Vous avez obtenu le pouvoir ⟦MSBT:0E00000003000400FE9A10FF⟧spécial
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400000000FF⟧ grâce à un amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has absorbido el amiibo
⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧⟦MSBT:0E00000003000400FE9A10FF⟧ ⟦MSBT:0E00000003000400000000FF⟧y has copiado
la habilidad ⟦MSBT:0E00000003000400FE9A10FF⟧especial⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020005000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FE9A10FF⟧⟦MSBT:0E00020004000000⟧ ⟦MSBT:0E00000003000400000000FF⟧amiibo'sunu içine çektin ve
⟦MSBT:0E00000003000400FE9A10FF⟧özel ⟦MSBT:0E00020005000000⟧ ⟦MSBT:0E00000003000400000000FF⟧yeteneğini kopyaladın!",
