index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,ExpText,Experience,Expérience,Erfahrung,Punti Esp.,Experiencia,けいけんち,Experience,Expérience,Experiencia,Deneyim,
1,ClearTimeText,Clear Time,Temps,⟦MSBT:0E000000020002005100⟧Benötigte Zeit⟦MSBT:0E000000020002006400⟧,Tempo,Tiempo,クリアタイム,Clear Time,Temps,Tiempo,Süre,
2,BonusTextBossKill,Boss KO Bonus,Bonus boss K.-O.,Boss KO,Bonus boss K.O.,Bonificación (jefe),ボスげきはボーナス,Boss KO Bonus,Bonus boss K.-O.,Bonificación (jefe),Patron KO Bonusu,
3,BonusTextSpeedClear,Speed Clear Bonus,Bonus rapidité,Flotter Abschluss,Bonus velocità,⟦MSBT:0E000000020002005A00⟧Bonificación (turbo)⟦MSBT:0E000000020002006400⟧,スピードクリアボーナス,Speed Clear Bonus,Bonus rapidité,⟦MSBT:0E000000020002005A00⟧Bonificación (turbo)⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Hızlı Bitirme Bonusu⟦MSBT:0E000000020002006400⟧,
4,BonusTelopTextClearTime,+ Clear Time ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,+ Temps ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,"+ benötigte Zeit: ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧","+ Tempo ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧","+ Tiempo ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧",+クリアタイム ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,+ Clear Time ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,+ Temps ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,+ Tiempo ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧.⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,"+ Süre ⟦MSBT:0E00020001000000⟧:⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧⟦MSBT:0E00020001000000⟧",
5,BonusTelopTextBossKill,+ Boss KO Bonus ⟦MSBT:0E00020001000000⟧,+ Bonus boss K.-O. : ⟦MSBT:0E00020001000000⟧,+ Boss KO: ⟦MSBT:0E00020001000000⟧,+ Bonus boss K.O. ⟦MSBT:0E00020001000000⟧,+ Bonificación (jefe) ⟦MSBT:0E00020001000000⟧,+ボスげきはボーナス ⟦MSBT:0E00020001000000⟧,+ Boss KO Bonus ⟦MSBT:0E00020001000000⟧,+ Bonus boss K.-O. : ⟦MSBT:0E00020001000000⟧,+ Bonificación (jefe) ⟦MSBT:0E00020001000000⟧,+ Patron KO Bonusu ⟦MSBT:0E00020001000000⟧,
6,BonusTelopTextSpeedClear,+ Speed Clear Bonus ⟦MSBT:0E00020001000000⟧,+ Bonus rapidité : ⟦MSBT:0E00020001000000⟧,+ Flotter Abschluss: ⟦MSBT:0E00020001000000⟧,+ Bonus velocità ⟦MSBT:0E00020001000000⟧,+ Bonificación (turbo) ⟦MSBT:0E00020001000000⟧,+スピードクリアボーナス ⟦MSBT:0E00020001000000⟧,+ Speed Clear Bonus ⟦MSBT:0E00020001000000⟧,+ Bonus rapidité : ⟦MSBT:0E00020001000000⟧,+ Bonificación (turbo) ⟦MSBT:0E00020001000000⟧,+ Hızlı Bitirme Bonusu ⟦MSBT:0E00020001000000⟧,
7,NextButtonText,Next,Suite,Weiter,Avanti,Seguir,つぎへ,Next,Suite,Seguir,İleri,
8,ExitButtonText,Select a Quest,Continuer,⟦MSBT:0E000000020002005A00⟧Missionsauswahl⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Scegli una missione⟦MSBT:0E000000020002006400⟧,Elegir misión,クエストせんたくへ,Select a Quest,Continuer,Elegir misión,Görev Seç,
9,LastSlayer,Final Blow,Coup final ,Besiegt von:,⟦MSBT:0E000000020002005F00⟧Colpo di grazia⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Golpe definitivo⟦MSBT:0E000000020002006400⟧,とどめをさした⟦MSBT:0E000000000008000200040072306830⟧人,Final Blow,Coup final ,⟦MSBT:0E000000020002005A00⟧Golpe definitivo⟦MSBT:0E000000020002006400⟧,Son Darbe,
10,AllMember,Everyone!,⟦MSBT:0E000000020002005000⟧Tout le monde⟦MSBT:0E000000020002006400⟧,Von allen,Tutti!,Todos,みんなで,Everyone!,⟦MSBT:0E000000020002005000⟧Tout le monde⟦MSBT:0E000000020002006400⟧,Todos,Herkes!,
