index,label,English,German,Spanish,French,Italian,Turkish,official_max_lines,official_max_px,turkish_lines,turkish_max_px,fit_ratio,fit_status,control_status,translation_status,translator_note
0,Title_Course,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
1,T_Tut1_00,Lesson 1,Lektion 1,Lección 1,Leçon 1,Lezione 1,Ders 1,1,129,1,83,0.643,OK,OK,REVIEWED,
2,T_Tut1_01,Lesson 2,Lektion 2,Lección 2,Leçon 2,Lezione 2,Ders 2,1,129,1,83,0.643,OK,OK,REVIEWED,
3,T_Tut1_02,Lesson 3,Lektion 3,Lección 3,Leçon 3,Lezione 3,Ders 3,1,129,1,83,0.643,OK,OK,REVIEWED,
4,T_Tut1_03,Lesson 4,Lektion 4,Lección 4,Leçon 4,Lezione 4,Ders 4,1,129,1,83,0.643,OK,OK,REVIEWED,
5,T_Tut1_04,Lesson 5,Lektion 5,Lección 5,Leçon 5,Lezione 5,Ders 5,1,129,1,83,0.643,OK,OK,REVIEWED,
6,T_Tut1_05,Lesson 6,Lektion 6,Lección 6,Leçon 6,Lezione 6,Ders 6,1,129,1,83,0.643,OK,OK,REVIEWED,
7,T_Tut1_06,Lesson 7,Lektion 7,Lección 7,Leçon 7,Lezione 7,Ders 7,1,129,1,83,0.643,OK,OK,REVIEWED,
8,T_Tut1_07,Lesson 8,Lektion 8,Lección 8,Leçon 8,Lezione 8,Ders 8,1,129,1,83,0.643,OK,OK,REVIEWED,
9,T_Tut1_08,Lesson 9,Lektion 9,Lección 9,Leçon 9,Lezione 9,Ders 9,1,129,1,83,0.643,OK,OK,REVIEWED,
10,T_Tut1_09,Lesson 10,Lektion 10,Lección 10,Leçon 10,Lezione 10,Ders 10,1,145,1,99,0.683,OK,OK,REVIEWED,
11,T_Tut1_10,Lesson 11,Lektion 11,Lección 11,Leçon 11,Lezione 11,Ders 11,1,145,1,99,0.683,OK,OK,REVIEWED,
12,T_Tut1_11,Lesson 12,Lektion 12,Lección 12,Leçon 12,Lezione 12,Ders 12,1,145,1,99,0.683,OK,OK,REVIEWED,
13,T_Tut1_12,Lesson 13,Lektion 13,Lección 13,Leçon 13,Lezione 13,Ders 13,1,145,1,99,0.683,OK,OK,REVIEWED,
14,T_Tut1_13,Lesson 14,Lektion 14,Lección 14,Leçon 14,Lezione 14,Ders 14,1,145,1,99,0.683,OK,OK,REVIEWED,
15,T_Tut1_14,Lesson 15,Lektion 15,Lección 15,Leçon 15,Lezione 15,Ders 15,1,145,1,99,0.683,OK,OK,REVIEWED,
16,T_Tut1_15,Lesson 16,Lektion 16,Lección 16,Leçon 16,Lezione 16,Ders 16,1,145,1,99,0.683,OK,OK,REVIEWED,
17,T_Tut1_16,Lesson 17,Lektion 17,Lección 17,Leçon 17,Lezione 17,Ders 17,1,145,1,99,0.683,OK,OK,REVIEWED,
18,T_Tut1_17,Lesson 18,Lektion 18,Lección 18,Leçon 18,Lezione 18,Ders 18,1,145,1,99,0.683,OK,OK,REVIEWED,
19,T_Bas1_00,Challenge 1-1,Aufgabe 1-1,Desafío 1-1,Défi 1-1,Sfida 1-1,Görev 1-1,1,185,1,133,0.719,OK,OK,REVIEWED,
20,T_Bas1_01,Challenge 1-2,Aufgabe 1-2,Desafío 1-2,Défi 1-2,Sfida 1-2,Görev 1-2,1,185,1,133,0.719,OK,OK,REVIEWED,
21,T_Bas1_02,Challenge 1-3,Aufgabe 1-3,Desafío 1-3,Défi 1-3,Sfida 1-3,Görev 1-3,1,185,1,133,0.719,OK,OK,REVIEWED,
22,T_Bas1_03,Challenge 1-4,Aufgabe 1-4,Desafío 1-4,Défi 1-4,Sfida 1-4,Görev 1-4,1,185,1,133,0.719,OK,OK,REVIEWED,
