index,label,English,French,German,Italian,Spanish,Turkish
0,Propose_ButtonNow,NOW!,Maintenant !,JETZT!,ADESSO!,¡AHORA!,ŞİMDİ!
1,Propose_ButtonExplanation,"Give the signal when the thoughts are
about {TAG_1}.","Donnez le signal à {TAG_1}
quand {TAG_2} pense à {TAG_3} !","Gib {TAG_1} ein Signal,
wenn {TAG_2} an {TAG_3} denkt.","Quando pensa a {TAG_1},
dai il segnale.","¡Da una señal cuando esté pensando
en {TAG_1}!",Düşünceler {TAG_1} hakkındayken işareti ver.
2,Propose_Fireworks_Failure0,"Ooh, look! That was a big one!","Hé, venez par ici...","Komm, komm! Hierher!",Ehi! Da qui si vedono...,¡Venid! Desde aquí se ve...,"Ooo, bak! Bu bayağı büyüktü!"
3,Propose_Fireworks_Failure1,Boom! Fizzle...fizzle...,Crac ! Kaboum ! Pan !,Ba-da-DAAAM! Britzel... Fitzel...,Bum! Bam! Fzzz...,¡Bum! ¡Pam! ¡Pum!,Bum! Fıs... fıs...
4,Propose_Fireworks_Failure2,♪♪♪! ♪♪♪! ♪♪♪! ,♪♪♪ ! ♪♪♪ ! ♪♪♪ ! ,Bumm-tschakka-tschakka!,♪♪♪! ♪♪♪! ♪♪♪!,"♪¡Titotitotito, titotitotota!",♪♪♪! ♪♪♪! ♪♪♪!
5,Propose_FerissWheel_Failure0,Caw! Caw!,"Crôa, crôa...",Aaah! Waaah!,Cra! Cra!,"¡Craaa, craaa!",Gak! Gak!
6,Propose_FerissWheel_Failure1,Zoom!,Zoom !,Wusch!,Swooosh...,¡Zas!,Vuuuş!
7,Propose_FerissWheel_Failure2,Aiiiiieeee!,Fuuuu !,Iiiiieks!,Yaaaaaah!,¡Uaaa!,Ayyyyyy!
8,Propose_Platform_Failure0,Clackety clack! Clackety clack!,"Tagadam, tagadam !",Klacka-klack! Klacka-klock!,"Wuaaaah, tu-tu-tu-tum...","Clin, clan, clan...",Takır tukur! Takır tukur!
9,Propose_Platform_Failure1,Please do not leave items...,Pour votre sécurité...,Achtung an Gleis zwei...,Attenzione. Treno in arrivo...,¡Atención! Tren sin parada...,Lütfen eşyalarınızı bırakmayın...
10,Propose_Platform_Failure2,Bah-choo!,Atchoum !,Haaa-tschi!,PRRRT...,¡Achús!,Hapşuu!
11,Propose_Restaurant_Failure0,Sorry to keep you waiting...,Désolé de vous avoir fait attendre.,Entschuldigen Sie...,Scusate per l'attesa...,Disculpen la tardanza...,Beklettiğim için özür dilerim...
12,Propose_Restaurant_Failure1,CRASH!,Crac cliiing !,KLA-KLIRR!,CRASH!,¡Catacrás!,ÇAT!
13,Propose_Restaurant_Failure2,"Excuse me, waiter?",S'il vous plaît ! L'addition...,Können wir bitte zahlen?,"Il conto, per favore!",¿Me trae la cuenta?,"Pardon, garson?"
14,Scribble_Erase,Remove all,Tout effacer,Alles löschen,Cancella tutto,Borrar todo,Hepsini Sil
