index,label,English,French,German,Italian,Spanish,Turkish
0,Explanation,"A crowd has gathered to watch
the islanders perform a song!
Let's show them some support!","De nombreux spectateurs se
sont rassemblés pour assister
au concert des habitants !
Apportons-leur notre soutien !","Die Menge ist hier, um eine
Performance der Einwohner zu erleben!
Einen großen Applaus für die Künstler!","La folla si è riunita per assistere allo
spettacolo musicale degli abitanti!
Mostriamo loro il nostro entusiasmo!","¡Han venido un montón de espectadores
a ver la actuación de los residentes!
¡Vamos a animarles!","Ada sakinlerinin şarkı performansını
izlemek için kalabalık toplandı!
Hadi onları destekleyelim!"
1,Dialog_Menu,What would you like to do?,Que voulez-vous faire ?,Was möchtest du tun?,Cosa scegli?,¿Qué quieres hacer?,Ne yapmak istersin?
2,Mode_Button_Menu_Solo,Sing solo,Chanter en solo,Solo singen,Cantante solista,Cantar a solas,Solo söyle
3,Mode_Button_Menu_Group,Sing as a group,Chanter en groupe,Als Band singen,Esibizione di gruppo,Cantar en grupo,Grupça söyle
4,Mode_Button_Menu_Back,Back,Retour,Zurück,Indietro,Atrás,Geri
5,Mode_Button_Group,Make/edit group,Créer ou modifier un groupe,Band gründen/bearbeiten,Crea o modifica gruppo,Crear o editar un grupo,Grup oluştur/düzenle
6,Mode_Button_Song,Make/edit song,Créer ou éditer une chanson,Song erstellen/editieren,Crea o modifica canzone,Componer o editar una canción,Şarkı oluştur/düzenle
7,Mode_Button_Listen,Perform,Voir le concert,Auftreten,Esegui,Actuar,Sahneye çık
8,Dialog_Group,What would you like to do?,Que voulez-vous faire ?,Was möchtest du tun?,Cosa vuoi fare?,¿Qué quieres hacer?,Ne yapmak istersin?
9,Mode_Button_NewGroup,Make a group,Créer un groupe,Band gründen,Formare un gruppo,Crear un grupo,Grup oluştur
10,Mode_Button_EditGroup,Edit a group,Modifier un groupe,Band bearbeiten,Modificare un gruppo,Editar un grupo,Grubu düzenle
11,Dialog_Song,What would you like to do?,Que voulez-vous faire ?,Was möchtest du tun?,Cosa vuoi fare?,¿Qué quieres hacer?,Ne yapmak istersin?
12,Mode_Button_NewSong,Make a song,Créer une chanson,Song erstellen,Comporre una canzone,Componer una canción,Şarkı oluştur
13,Mode_Button_EditSong,Edit a song,Éditer une chanson,Song editieren,Modificare una canzone,Editar una canción,Şarkıyı düzenle
14,Dialog_Name,What is the group's name?,Donnez un nom au groupe.,Wie soll die Band heißen?,Qual è il nome del gruppo?,Pon un nombre al grupo.,Grubun adı ne olsun?
15,Dialog_Save,Save this group?,Sauvegarder ce groupe ?,Diese Band speichern?,Vuoi salvare questo gruppo?,¿Quieres guardar este grupo?,Bu grup kaydedilsin mi?
