index,label,English,French,German,Italian,Spanish,Turkish
0,Text_U_Caption,{TAG_1}'s Trip Log,Carnet de voyages d{TAG_1}{TAG_2},Reiseaufzeichnungen von {TAG_1},Registro viaggi di {TAG_1},Libro de viajes de {TAG_1},{TAG_1}: Gezi Günlüğü
1,Text_U_Caption_History,{TAG_1}'s Trip History,Historique des voyages d{TAG_1}{TAG_2},Reiseverlauf von {TAG_1},Cronologia di viaggio di {TAG_1},Historial de viajes de {TAG_1},{TAG_1}: Gezi Geçmişi
2,Text_U_LeaveData,Departure Date,Début du voyage,Aufbruchsdatum,Data di partenza,Día de partida,Yola Çıkış Tarihi
3,Text_U_LeaveData_D,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
4,Text_U_LastContactDate,Last Contact,Dernière prise de contact,Letzter Kontakt,Ultimo contatto,Último contacto,Son İletişim
5,Text_U_LastContactDate_D,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
6,Text_U_LastContactDate_NotYet,No contact yet,Aucune nouvelle reçue,Keine Kontaktaufnahme,Nessun contatto,Sin contacto aún,Henüz iletişim yok
7,Text_U_FatherName,Father,Père,Vater,Papà,Padre,Baba
8,Text_U_FatherName_D,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
9,Text_U_MotherName,Mother,Mère,Mutter,Mamma,Madre,Anne
10,Text_U_MotherName_D,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
11,Text_U_ParentUnknown,Unknown,???,Unbekannt,???,Sin datos,Bilinmiyor
12,Text_U_CecNum_R,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
13,Text_U_Distance_R,{TAG_1}km,{TAG_1} km,{TAG_1} km,{TAG_1} km,{TAG_1} km,{TAG_1} km
14,Text_U_History_No_00,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
15,Text_U_History_No_01,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
16,Text_U_History_No_02,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
17,Text_U_History_No_03,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
18,Text_U_History_No_04,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
19,Text_U_History_Time_00,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
20,Text_U_History_Time_01,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
21,Text_U_History_Time_02,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
22,Text_U_History_Time_03,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
23,Text_U_History_Time_04,{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}.{TAG_2}.{TAG_3},{TAG_1}/{TAG_2}/{TAG_3},{TAG_1}-{TAG_2}-{TAG_3},{TAG_1}/{TAG_2}/{TAG_3}
24,Text_U_Text_Non,No explorers have departed from this island yet.,Aucun habitant de cette île n'est encore parti en voyage.,"Niemand von dieser Insel
ist auf Reisen gegangen.","Non ci sono ancora viaggiatori
che hanno lasciato l'isola.",Ningún viajero ha partido de esta isla aún.,Bu adadan henüz hiçbir gezgin yola çıkmadı.
25,List_MiiNickname_00,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
26,List_MiiNickname_01,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
27,List_MiiNickname_02,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
28,List_MiiNickname_03,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
29,List_MiiNickname_04,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
30,List_MiiNickname_05,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
31,List_MiiNickname_06,{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1},{TAG_1}
32,Child_ButtonEnter,View Album,Regarder l'album,Album ansehen,Guarda l'album,Ver álbum,Albümü Görüntüle
