index,key,text,prefix_hex
0,activatesuperguide_confirma:0:*,"Bu bölüm tamamlanacak,|ancak Super Kong'un topladığı|hiçbir eşya sende kalmayacak.|Süper Rehber'i kullanmak|istediğinden emin misin?",01
1,activatesuperguide_text:0:*,"Süper Rehber'i etkinleştirmek|ister misin?|Super Kong, bölümü nasıl geçeceğini|göstermek için gelecek.",01
2,adddrop_adddiddy:0:*,2. Oyuncuyu Ekle,01
3,adddrop_adddiddyprompt:0:*,2. Oyuncuyu|eklemek istiyor musun?,01
4,adddrop_addprompt:0:*,Bir oyuncu eklemek için|bir balon harcamak istiyor musun?,01
5,adddrop_button:0:*,2. Oyuncunun|W** Kumandasını bağla,01
6,adddrop_button:1:*,Diddy'yi Ekle,01
7,adddrop_button:2:*,Diddy'yi Çıkar,01
8,adddrop_confirmdiddyadd:0:*,Diddy Kong oyuna katıldı!,01
9,adddrop_confirmdiddyrevive:0:*,Diddy Kong geri döndü!,01
10,adddrop_confirmdkrevive:0:*,Donkey Kong geri döndü!,01
11,adddrop_dropdiddy:0:*,2. Oyuncuyu Çıkar,01
12,adddrop_dropprompt:0:*,2. Oyuncuyu|çıkarmak istiyor musun?,01
13,adddrop_noballoonsfordiddy:0:*,Diddy Kong'u diriltmek için|yeterli balonun yok!,01
14,adddrop_noballoonsfordk:0:*,Donkey Kong'u diriltmek için|yeterli balonun yok!,01
15,adddrop_oneplayer:0:*,1 Oyunculu Mod,01
16,adddrop_revivediddy:0:*,Diddy'yi Dirilt,01
17,adddrop_revivedk:0:*,DK'yi Dirilt,01
18,adddrop_revivedkprompt:0:*,Donkey Kong'u diriltmek için|bir balon harcamak istiyor musun?,01
19,adddrop_reviveprompt:0:*,Diddy Kong'u diriltmek için|bir balon harcamak istiyor musun?,01
20,adddrop_twoplayer:0:*,2 Oyunculu Mod,01
21,attract_movie_text:0:*,Herhangi bir tuşa bas,01
22,blow:0:Standard,\d38c2fb4\xy_btn,01
23,blow:1:Core,\3630bddf\lr_btn,01
24,boss_bop:0:*,Şimdi|vur!,01
25,boss_clingpound:0:Standard,\standard_boss_clingpound_btn,01
26,boss_clingpound:1:Core,\core_boss_clingpound_btn,01
27,boss_tryharder:0:*,Daha|çok uğraş!,01
28,cancelsuperguide_text:0:*,Süper Rehber'i durdurup|oynamaya başlamak istiyor musun?,01
29,confirm_continuewithoutsavi:0:*,\b0013bc9 Kaydetmeden Devam Et,01
30,confirm_continuewithoutsaviD1:0:*,\e0d1799a Kaydetmeden Devam Et,01
31,confirm_copy:0:*,"Kayıt $1,|Kayıt $2'ye kopyalansın mı?",01
32,confirm_corruptcontinue:0:*,\00ab19ca Kaydetmeden Devam Et,01
