codepoint	character	glyph_index	note
U+00C2	Â	95	A + circumflex
U+00C7	Ç	96	C + cedilla
U+00D6	Ö	97	O + diaeresis
U+00DC	Ü	98	U + diaeresis
U+00E2	â	99	a + circumflex
U+00E7	ç	100	c + cedilla
U+00E9	é	101	e + acute
U+00EE	î	102	i + circumflex
U+00F6	ö	103	o + diaeresis
U+00FB	û	104	u + circumflex
U+00FC	ü	105	u + diaeresis
U+011E	Ğ	106	G + breve
U+011F	ğ	107	g + breve
U+0130	İ	108	I + dot
U+0131	ı	109	dotless i
U+015E	Ş	110	S + cedilla
U+015F	ş	111	s + cedilla
U+2026	…	112	ellipsis
U+21D2	⇒	113	double arrow
U+00A0	 	0	fallback to ' '
U+2013	–	13	fallback to '-'
U+2014	—	13	fallback to '-'
U+2019	’	7	fallback to "'"
U+201C	“	2	fallback to '"'
U+201D	”	2	fallback to '"'
