index,id,English,French,Japanese,German,Spanish,Italian,Turkish
0,21,Gravity Falls: Legend of the Gnome Gemulets,Souvenirs de Gravity Falls : La Légende des Gemulettes Gnomes,GravityFallse3ds_JP,Willkommen in Gravity Falls: Die Legende der Zwergenjuwulette,Gravity Falls: La Leyenda de los Gemuletos Gnomos,Gravity Falls: La leggenda dei gemuleti gnomi,Esrarengiz Kasaba: Cüce Gemuletleri Efsanesi
1,22,The game card is not inserted.,Aucune carte de jeu insérée.,ゲームカードが差さっていません,Die Karte ist nicht eingesteckt.,La tarjeta DS no está insertada.,Scheda di gioco non inserita.,Oyun kartı takılı değil.
2,23,Yes,Oui,はい,Ja,Sí,Sì,Evet
3,24,No,Non,いいえ,Nein,No,No,Hayır
4,40,Push R Button,Appuyer sur le bouton R,[!TR] Push R Button,R-Taste drücken,Pulsa el botón R,Premi pulsante R,R Düğmesine Bas
5,43,Mystery piece of paper,Bout de papier mystérieux,[!TR] Mystery piece of paper,Geheimnisvolles Stück Papier,Trozo de papel misterioso,Pezzo di carta misterioso,Gizemli kâğıt parçası
6,44,Collected 50 spores!,50 spores récupérées !,[!TR] Collected 50 spores!,Sammle 50 Sporen!,¡50 Esporas conseguidas!,Hai raccolto 50 Spore!,50 spor toplandı!
7,45,Dipper,Dipper,[!TR] Dipper,Dipper,Dipper,Dipper,Dipper
8,46,Mabel,Mabel,[!TR] Mabel,Mabel,Mabel,Mabel,Mabel
9,47,Grunkle Stan,Oncle Stan,[!TR] Grunkle Stan,Gronkel Stan,Tío Abuelo Stan,Prozio Stan,Stan Amca
10,48,Wendy,Wendy,[!TR] Wendy,Wendy,Wendy,Wendy,Wendy
11,57,Let's leave it up to Dipper!,"À toi de jouer, Dipper !",ディッパーに任せよう,Überlassen wir das Dipper!,¡Dejémoselo a Dipper!,Lasciamo fare a Dipper!,Bunu Dipper'a bırakalım!
12,137,OK,OK,[!TR] OK,O. K.,Aceptar,Ok,Tamam
13,157,Back,Retour,もどる,Zurück,Atrás,Indietro,Geri
14,158,Select,Sélectionner,えらぶ,Auswählen,Seleccionar,Seleziona,Seç
15,159,Delete,Supprimer,けす,Löschen,Borrar,Elimina,Sil
16,160,Resume,Reprendre,ゲームに もどる,Fortsetzen,Reanudar,Riprendi,Devam Et
17,161,New Game,Nouvelle partie,あたらしいゲーム,Neues Spiel,Partida nueva,Nuova partita,Yeni Oyun
18,162,Start Game,Commencer la partie,[!TR] Start Game,Spiel starten,Comenzar partida,Inizia partita,Oyunu Başlat
19,163,Options,Options,オプション,Optionen,Opciones,Opzioni,Seçenekler
20,164,Pause,Pause,Pause,Pause,Pausa,Pausa,Duraklat
21,165,Credits,Crédits,スタッフクレジット,Mitwirkende,Créditos,Riconoscimenti,Jenerik
22,166,Try Again,Réessayer,[!TR] Try Again,Erneut versuchen,Inténtalo de nuevo,Prova ancora,Tekrar Dene
23,167,Quit to Main Menu,Quitter la partie,[!TR] Quit to Main Menu,Zurück zum Hauptmenü,Salir al menú principal,Torna al menu principale,Ana Menüye Dön
24,168,Quit Level,Quitter le niveau,[!TR] Quit Level,Level verlassen,Salir del nivel,Termina livello,Bölümden Çık
25,169,Restart Sequence,Redémarrer la séquence,途中からやりなおす,Sequenz neu starten,Reiniciar secuencia,Ricomincia sequenza,Sekansı Yeniden Başlat
26,170,Skip,Passer,スキップ,Überspringen,Omitir,Salta,Atla
27,172,Continue,Continuer,つづける,Weiter,Continuar,Continua,Devam
28,173,Are you sure you want to restart from the last checkpoint? Any unsaved progress will be lost.,Veux-tu vraiment recommencer depuis le dernier point de sauvegarde ? Toute progression non sauvegardée sera perdue.,チェックポイントからやりなおしますか？,Willst du wirklich am letzten Kontrollpunkt neu beginnen? Jeglicher ungespeicherter Fortschritt geht verloren.,¿Seguro que quieres reiniciar desde el último punto de guardado? Todo el progreso no guardado se perderá.,Vuoi davvero ricominciare dall'ultimo checkpoint? Tutti i progressi non salvati andranno perduti.,Son kontrol noktasından yeniden başlamak istediğine emin misin? Kaydedilmemiş ilerleme silinecek.
29,174,Are you sure you want to exit this level? Any unsaved data will be lost.,Veux-tu vraiment quitter la partie ? Toute progression sera perdue.,ゲームをやめてタイトル画面にもどりますか？,Willst du dieses Level wirklich verlassen? Jegliche ungespeicherte Daten werden gelöscht.,¿Seguro que quieres salir de este nivel? Todo el progreso se perderá.,Vuoi davvero uscire da questo livello? Tutti i progressi andranno perduti.,Bu bölümden çıkmak istediğine emin misin? Kaydedilmemiş veriler silinecek.
30,175,Sound,Son,[!TR] Sound,Sound,Sonido,Suono,Ses
31,176,Cancel,Annuler,キャンセル,Abbrechen,Cancelar,Annulla,İptal
32,177,Are you sure you want to exit to the Overworld? Any unsaved progress will be lost.,Veux-tu vraiment quitter le Monde supérieur ?,[!TR] Are you sure you want to exit to the Overworld? Any unsaved progress will be lost.,Willst du wirklich zur Oberwelt zurückkehren? Jeglicher ungespeicherter Fortschritt geht verloren.,¿Seguro que quieres salir al mapa principal? Todo el progreso no guardado se perderá.,Vuoi davvero tornare nell'Aldiquà? Tutti i progressi non salvati andranno perduti.,Ana haritaya dönmek istediğine emin misin? Kaydedilmemiş ilerleme silinecek.
33,189,Hint,Astuce,早送り,Hinweis,Pista,Suggerimento,İpucu
34,191,Speed up,Accélérer,早送り,Beschleunigen,Acelerar,Accelera,Hızlandır
35,219,Soos,Mousse,[!TR] Soos,Soos,Soos,Soos,Soos
36,220,Waddles,Waddles,[!TR] Waddles,Schwabbel,Bamboleos,Dondolo,Paytak
37,221,Old Man McGucket,Le Vieux McGucket,[!TR] Old Man McGucket,Alterchen McGucket,Viejo McGucket,Vecchio McGucket,Yaşlı Adam McGucket
38,222,Robbie,Robbie,[!TR] Robbie,Robbie,Robbie,Robbie,Robbie
39,223,Candy Chiu,Candy Chiu,[!TR] Candy Chiu,Candy Chiu,Candy Chiu,Candy Chiu,Candy Chiu
40,224,Grenda,Grenda,[!TR] Grenda,Grenda,Grenda,Grenda,Grenda
41,225,Pacifica Northwest,Pacifica Northwest,[!TR] Pacifica Northwest,Pacifica Northwest,Pacífica Northwest,Pacifica Northwest,Pacifica Northwest
42,226,Jeff the Gnome,Jeff le gnome,[!TR] Jeff the Gnome,Jeff der Zwerg,Jeff el Gnomo,Jeff lo gnomo,Cüce Jeff
43,227,Shmebulock,Shmebulock,[!TR] Shmebulock,Shmebulock,Shmebulock,Shmebulock,Shmebulock
44,253,Eyeball,Globe oculaire,[!TR] Eyeball,Augapfel,Globo Ocular,Occhio,Göz Küresi
45,255,This is an eyeball.,Ceci est un globe oculaire.,[!TR] This is an eyeball.,Das ist ein Augapfel.,Esto es un globo ocular.,Questo è un occhio.,Bu bir göz küresi.
46,257,Find the flying beast.,Trouve la créature volante.,[!TR] Find the flying beast.,Finde die fliegende Kreatur.,Encuentra a la criatura voladora.,Trova la creatura volante.,Uçan yaratığı bul.
47,259,Talk to Stan.,Parle à Stan.,[!TR] Talk to Stan.,Sprich mit Stan.,Habla con Stan.,Parla con Stan.,Stan'le konuş.
48,260,Journal,Journal,[!TR] Journal,Tagebuch,Diario,Diario,Günlük
49,261,mystery man,Homme mystérieux,[!TR] mystery man,Mystery Man,hombre misterioso,uomo misterioso,gizemli adam
50,262,Talk with this Gravity Falls citizen and find their lost items to reveal their secrets.,Parle à cet habitant de Gravity Falls et trouve ses objets perdus pour qu'il révèle ses secrets.,[!TR] Talk with this Gravity Falls citizen and find their lost items to reveal their secrets.,"Sprich mit dieser Person aus Gravity Falls und finde die verlorenen Objekte, um Geheimnisse aufzudecken.",Habla con este habitante de Gravity Falls y encuentra sus objetos perdidos para descubrir sus secretos.,Parla con questo abitante di Gravity Falls e svela il suo segreto trovando l'oggetto che ha perduto.,"Bu Esrarengiz Kasaba sakiniyle konuş, kayıp eşyalarını bul ve sırrını ortaya çıkar."
51,263,Creeping Totem,Totem de la peur,[!TR] Creeping Totem,Kriechtotem,Tótem Trepador,Totem Strisciante,Sürünen Totem
52,264,Flaming Totem,Totem de feu,[!TR] Flaming Totem,Flammentotem,Tótem en Llamas,Totem Fiammeggiante,Alevli Totem
53,265,Hawker,Crache-boulette,[!TR] Hawker,Hetzer,Vendedor Ambulante,Falco,Tükürücü
54,266,"Get too close, and these cursed wood carvings will try to carve YOU. Avoid their pounce and aim for the face!","N'approche pas, ces gravures de bois voudront TE tailler. Évite leurs bonds et vise le visage !","[!TR] Get too close, and these cursed wood carvings will try to carve YOU. Avoid their pounce and aim for the face!",Diese verfluchten Schnitzereien werden DICH schnitzen. Weiche ihnen aus und ziele auf das Gesicht!,Acércate mucho y esas tallas en madera intentarán cortarte. ¡Esquiva su salto y apunta a la cara!,Avvicinati troppo e queste statue intagliate intaglieranno TE. Evita il loro balzo e mira al volto!,"Fazla yaklaşınca bu lanetli ahşap oymalar SENİ oymaya kalkar. Atlayışlarından kaç, yüzlerini hedefle!"
