index,id,English,French,Japanese,German,Spanish,Italian,Turkish
0,49,Hello.Test,Hello. Test.,ハロー,Hello.Test,Hello.Test,Hello.Test,Merhaba.Test
1,50,　,[!TR] 　,[!TR] test,Test,test,test,test
2,83,Stand,Immobile,ハロー,Stand,Stand,Stand,Bekle
3,84,Laugh,Rire,[!TR] Laugh,Laugh,Laugh,Risata,Gül
4,85,Angry,En colère,[!TR] Angry,Angry,Angry,Rabbia,Kızgın
5,86,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
6,87,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
7,88,Surprise,Surprise,[!TR] Surprise,Surprise,Surprise,Sorpresa,Şaşkın
8,89,ForcedSmile,Sourire forcé,[!TR] ForcedSmile,ForcedSmile,ForcedSmile,Sorriso forzato,ZorakiGülümseme
9,90,Suspicious,Méfiant,[!TR] Suspicious,Suspicious,Suspicious,Dubbio,Şüpheli
10,91,Determined,Déterminé,[!TR] Determined,Determined,Determined,Determinazione,Kararlı
11,92,Hilarious,Mort de rire,[!TR] Hilarious,Hilarious,Hilarious,Spasso,Kahkaha
12,93,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
13,94,Laugh,Rire,[!TR] Laugh,Laugh,Laugh,Risata,Gül
14,95,Angry,En colère,[!TR] Angry,Angry,Angry,Rabbia,Kızgın
15,96,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
16,97,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
17,98,Surprise,Surprise,[!TR] Surprise,Surprise,Surprise,Sorpresa,Şaşkın
18,99,ForcedSmile,Sourire forcé,[!TR] ForcedSmile,ForcedSmile,ForcedSmile,Sorriso forzato,ZorakiGülümseme
19,100,Suspicious,Méfiante,[!TR] Suspicious,Suspicious,Suspicious,Dubbio,Şüpheli
20,101,Determined,Déterminée,[!TR] Determined,Determined,Determined,Determinazione,Kararlı
21,102,Hilarious,Morte de rire,[!TR] Hilarious,Hilarious,Hilarious,Spasso,Kahkaha
22,103,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
23,104,Laugh,Rire,[!TR] Laugh,Laugh,Laugh,Risata,Gül
24,105,Angry,En colère,[!TR] Angry,Angry,Angry,Rabbia,Kızgın
25,106,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
26,107,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
27,108,Surprise,Surprise,[!TR] Surprise,Surprise,Surprise,Sorpresa,Şaşkın
28,109,ForcedSmile,Sourire forcé,[!TR] ForcedSmile,ForcedSmile,ForcedSmile,Sorriso forzato,ZorakiGülümseme
29,110,Suspicious,Méfiante,[!TR] Suspicious,Suspicious,Suspicious,Dubbio,Şüpheli
30,111,Determined,Déterminée,[!TR] Determined,Determined,Determined,Determinazione,Kararlı
31,112,Hilarious,Morte de rire,[!TR] Hilarious,Hilarious,Hilarious,Spasso,Kahkaha
32,113,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
33,114,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
34,115,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
35,116,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
36,117,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
37,118,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
38,190,I can't leave Mabel behind!,Je ne peux pas abandonner Mabel !,[!TR] ¡No puedo dejar a Mabel atrás!,Ich kann Mabel nicht zurücklassen!,¡No puedo dejar a Mabel atrás!,Non posso lasciare Mabel indietro!,Mabel'ı geride bırakamam!
39,192,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
40,193,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
41,194,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
42,195,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
43,196,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
44,197,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
45,198,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
46,199,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
47,200,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
48,201,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
49,202,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
50,203,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
51,204,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
52,205,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
53,206,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
54,207,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
55,208,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
56,209,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
57,210,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
58,211,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
59,212,Happy,Heureuse,[!TR] Happy,Happy,Happy,Felicità,Mutlu
60,228,I shouldn't leave Dipper behind!,Je ne devrais pas abandonner Dipper !,[!TR] ¡No debería dejar a Dipper atrás!,Ich sollte Dipper nicht zurücklassen!,¡No debería dejar a Dipper atrás!,Non dovrei lasciare Dipper indietro!,Dipper'ı geride bırakmamalıyım!
61,229,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
62,230,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
63,231,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
64,232,Angry,En colère,[!TR] Angry,Angry,Angry,Rabbia,Kızgın
65,233,Stand,Immobile,[!TR] Stand,Stand,Stand,Stand,Bekle
66,234,Sad,Triste,[!TR] Sad,Sad,Sad,Tristezza,Üzgün
67,235,Happy,Heureux,[!TR] Happy,Happy,Happy,Felicità,Mutlu
68,286,"Time to find Jeff's next magic Rockulet, or TalisGem or whatever. And loot more [C:FF337215]Mystery Junk[C:]!",C'est l'heure de retrouver la Fuséemulette ou le Talisgemme ou je ne sais quoi de Jeff. Profitez-en pour trouver encore du [C:FF337215]bric-à-brac mystérieux[C:] !,"[!TR] Es momento de encontrar el próximo Piedruleto mágico, Gemlismán o lo que sea de Jeff. ¡Y saquear más [C:FF337215]Basura Misteriosa[C:]!",Suchen wir am besten nach Jeffs nächstem Steinolett. Oder Amuwel. Was auch immer. Schnappt euch noch mehr [C:FF337215]Mystery-Kram[C:]!,"Es momento de encontrar el próximo Piedruleto mágico, Gemlismán o lo que sea de Jeff. ¡Y saquear más [C:FF337215]Basura Misteriosa[C:]!","Forza, cercate la prossima talisgemma, pietruleto, quel che è. E saccheggiate più [C:FF337215]Robaccia Misteriosa[C:]!","Jeff'in sıradaki sihirli Taşmulet'ini, Mücevhermuska'sını artık her neyse onu bulma zamanı. Bir de daha çok [C:FF337215]Gizemli Hurda[C:] yağmalayın!"
