index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,37,%,0,196,948,7,12,0,8,6,000000
1,38,&,0,585,570,7,11,0,8,6,000000
2,39,',0,255,892,4,6,0,8,6,000000
3,40,(,0,531,628,5,12,2,8,6,000000
4,41,),0,368,793,5,12,0,8,6,000000
5,42,*,0,747,411,7,9,0,7,6,000000
6,43,+,0,326,835,7,9,0,7,6,000000
7,44,",",0,245,919,4,6,0,2,6,000000
8,45,-,0,894,272,7,3,0,4,6,000000
9,46,.,0,601,565,4,4,0,1,6,000000
10,47,/,0,872,275,7,12,0,8,6,000000
11,48,0,0,476,667,7,12,0,9,6,000000
12,49,1,0,388,768,4,12,1,9,6,000000
13,50,2,0,811,336,7,12,0,9,6,000000
14,51,3,0,835,312,7,12,0,9,6,000000
15,52,4,0,988,157,7,12,0,9,6,000000
16,53,5,0,968,180,7,12,0,9,6,000000
17,54,6,0,411,737,7,12,0,9,6,000000
18,55,7,0,718,430,7,12,0,9,6,000000
19,56,8,0,732,416,7,12,0,9,6,000000
20,57,9,0,326,822,7,12,0,9,6,000000
21,58,:,0,1006,155,4,9,1,7,6,000000
22,59,;,0,393,771,4,10,1,7,6,000000
23,60,<,0,284,878,6,9,0,7,6,000000
24,61,=,0,153,1012,7,5,0,5,6,000000
25,62,>,0,859,304,6,9,0,7,6,000000
26,63,?,0,550,598,7,12,0,8,6,000000
27,64,@,0,426,722,7,12,0,8,6,000000
28,65,A,0,437,711,7,12,0,9,6,000000
29,66,B,0,451,697,7,12,0,9,6,000000
30,67,C,0,338,810,7,12,0,9,6,000000
31,68,D,0,562,585,7,12,0,9,6,000000
32,69,E,0,674,474,7,12,0,9,6,000000
33,70,F,0,497,651,7,12,0,9,6,000000
34,71,G,0,577,571,7,12,0,9,6,000000
35,72,H,0,763,385,7,12,0,9,6,000000
36,73,I,0,276,886,3,12,2,9,6,000000
37,74,J,0,242,906,7,12,0,9,6,000000
38,75,K,0,260,888,7,12,0,9,6,000000
39,76,L,0,659,487,7,12,0,9,6,000000
40,77,M,0,846,302,7,12,0,9,6,000000
41,78,N,0,607,542,7,12,0,9,6,000000
42,79,O,0,523,626,7,12,0,9,6,000000
43,80,P,0,534,615,7,12,0,9,6,000000
44,81,Q,0,369,780,7,12,0,9,6,000000
45,82,R,0,511,638,7,12,0,9,6,000000
46,83,S,0,285,865,7,12,0,9,6,000000
47,84,T,0,859,291,7,12,0,9,6,000000
48,85,U,0,172,978,7,12,0,9,6,000000
49,86,V,0,484,667,7,12,0,9,6,000000
50,87,W,0,187,964,7,12,0,9,6,000000
51,88,X,0,295,853,7,12,0,9,6,000000
52,89,Y,0,380,768,7,12,0,9,6,000000
53,90,Z,0,784,364,7,12,0,9,6,000000
54,91,[,0,880,275,5,13,1,9,6,000000
55,92,\,0,697,458,7,10,0,7,6,000000
56,93,],0,819,333,5,13,1,9,6,000000
57,94,^,0,954,211,6,4,0,8,6,000000
58,95,_,0,580,584,8,3,255,254,6,000000
59,96,`,0,656,507,4,4,1,8,6,000000
60,97,a,0,550,611,7,9,0,6,6,000000
61,98,b,0,825,327,7,12,0,9,6,000000
62,99,c,0,426,735,7,9,0,6,6,000000
63,100,d,0,360,792,7,12,0,9,6,000000
64,101,e,0,434,724,7,9,0,6,6,000000
65,102,f,0,204,947,7,12,0,9,6,000000
66,103,g,0,196,961,7,10,0,6,6,000000
67,104,h,0,886,266,7,12,0,9,6,000000
68,105,i,0,163,1000,3,11,2,8,6,000000
69,106,j,0,1017,129,6,12,0,8,6,000000
70,107,k,0,465,685,7,12,0,9,6,000000
71,108,l,0,970,193,3,12,2,9,6,000000
72,109,m,0,334,823,7,9,0,6,6,000000
73,110,n,0,258,901,7,9,0,6,6,000000
74,111,o,0,843,315,7,9,0,6,6,000000
75,112,p,0,542,611,7,10,0,6,6,000000
76,113,q,0,593,565,7,10,0,6,6,000000
77,114,r,0,168,991,6,9,0,6,6,000000
78,115,s,0,293,866,7,9,0,6,6,000000
79,116,t,0,867,291,6,11,0,8,6,000000
80,117,u,0,377,781,7,9,0,6,6,000000
