"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"nincolle_model_ctrl_help","Döndür","Rotate","Rotate","Pivoter","Pivoter","Drehen"," Ruota","Rotar","Rotar","かいてんする"
"nincolle01_name","Hanafuda","Hanafuda","Hanafuda","Hanafuda","Hanafuda","Hanafuda","Hanafuda","Hanafuda","Hanafuda","<MSBT:0000:0000:040008006F306A3075306030>花札"
"nincolle01_caption_01","""Daitouryou"" (en kaliteli) seti.","The ""daitouryou"" (top quality) set.","The ""daitouryou"" (top quality) set.","Le set « daitouryou » (haute qualité).","Le set « daitouryou » (haute qualité).","Hochwertiges Kartenset.","Un mazzo di pregio (""daitouryou"").","Baraja de gran calidad (""daitouryou"").","Baraja de gran calidad (""daitouryou"")","これは『だいとうりょう』という はなふだです。"
"nincolle01_text","Hanafuda, geleneksel bir Japon\niskambil oyunudur ve bu kartlar\nNintendo'nun ilk ürünüydü.\nYani Nintendo'nun tarihi bu\noyunla başladı denebilir.","Hanafuda is a traditional\nJapanese card game, and the\ncards were Nintendo's first\nproduct. You could say Nintendo's\nhistory began with this game.","Hanafuda is a traditional\nJapanese card game, and the\ncards were Nintendo's first\nproduct. You could say Nintendo's\nhistory began with this game.","Hanafuda est un jeu de cartes\ntraditionnel japonais. L'histoire\nde Nintendo a commencé avec\nla production de ces cartes.","Hanafuda est un jeu de cartes\ntraditionnel japonais. L'histoire\nde Nintendo a commencé avec\nla production de ces cartes.","Hanafuda sind traditionelle\njapanische Spielkarten. Zu Beginn\nstellte Nintendo Hanafuda-Karten\nher. Nintendos Geschichte nahm\nsozusagen mit ihnen ihren Lauf.","Hanafuda è un gioco di carte\ntradizionale giapponese. La storia\ndi Nintendo inizia proprio con\nla produzione di queste carte.","Hanafuda es un juego de cartas\ntradicional de Japón. Se puede\ndecir que Nintendo le debe sus\ninicios, ya que fue el primer\nproducto que fabricó.","Hanafuda es un juego de cartas\ntradicional de Japón. Se puede\ndecir que Nintendo le debe sus\ninicios, ya que fue el primer\nproducto que fabricó.","はなふだは にほんの カードゲーム。\nニンテンドーは　いちばんはじめ、\nはなふだを つくる かいしゃでした。\nすべての れきしは この はなふだから\nはじまったと いえるでしょう。"
"nincolle01_year","Üretim: 1889 (JP)","Manufactured: 1889 (JP)","Manufactured: 1889 (JP)","Production : 1889 (Japon)","Production : 1889 (Japon)","Hergestellt: 1889 (JP)","Produzione: 1889 (JP)","1889 (Japón)","1889 (Japón)","せいぞう：1889ねん"
"nincolle02_name","Yakuman","Yakuman","Yakuman","Yakuman","Yakuman","Yakuman","Yakuman","Yakuman","Yakuman","<MSBT:0000:0000:0400080084304F307E309330>役満"
"nincolle02_caption_01","Olgun ve ağırbaşlı bir oyun.","A mature, dignified game.","A mature, dignified game.","Un jeu distingué.","Un jeu distingué.","Ein Spiel mit Geschmack.","Un gioco di classe.","Un juego con mucha clase.","Un juego con mucha clase","じゅうこうで おとなっぽい たたずまいです。"
"nincolle02_text","Yakuman, bu taşlı oyunun amacını\nanlatır: en güçlü ""yaku""yu\n(taş setini) yapmak. Nintendo'nun\nürünü de kendi tarzında çok güçlüydü;\nyüksek kaliteyle üretilmişti.","Yakuman refers to this tile-based\ngame's goal: to get the strongest\n""yaku"" (tile sets). Nintendo's\nproduct was strong in its own\nway, made with high quality.","Yakuman refers to this tile-based\ngame's goal: to get the strongest\n""yaku"" (tile sets). Nintendo's\nproduct was strong in its own\nway, made with high quality.","Le terme « Yakuman » renvoie au\nbut de ce jeu : obtenir le meilleur\n« Yaku » (combinaison) possible.\nLa version produite par Nintendo\nse distingue par sa qualité.","Le terme « Yakuman » renvoie au\nbut de ce jeu : obtenir le meilleur\n« Yaku » (combinaison) possible.\nLa version produite par Nintendo\nse distingue par sa qualité.","Der Name „Yakuman"" bezieht\nsich auf das Ziel des Spiels: das\nstärkste Set („yaku"") zu erlangen.\nDieses Nintendo-Produkt war\näußerst hochwertig verarbeitet.","Lo scopo del gioco Yakuman\nè quello di ottenere la serie\ndi tessere (""yaku"") più forte.\nNintendo ne ha creato un\nprodotto di grande qualità.","El objetivo del juego de Yakuman\nes conseguir el conjunto de\nfichas (""yaku"") más fuerte.\nNintendo creó un producto\nde gran calidad, sin duda.","El objetivo del juego de Yakuman\nes conseguir el conjunto de\nfichas (""yaku"") más fuerte.\nNintendo creó un producto\nde gran calidad, sin duda.","ヤクマンとは マージャンでつくる\nものすごく つよい やくのことです。\nそんななまえが ついた このしょうひんも\nものすごく つよいのです。\nつよくて ひんしつが いいのです。"
"nincolle02_year","Çıkış: 1966 (JP)","Released: 1966 (JP)","Released: 1966 (JP)","Sortie : 1966 (Japon)","Sortie : 1966 (Japon)","Erschienen: 1966 (JP)","Uscita: 1966 (JP)","1966 (Japón)","1966 (Japón)","はつばい：1966ねん"
"nincolle03_name","Ultra Hand","Ultra Hand","Ultra Hand","Ultra Hand","Ultra Hand","Ultra-Hand","Ultra Hand","Ultra Hand","Ultra Hand","ウルトラハンド"
"nincolle03_caption_01","Ultra Hand gerçekten çok uzar...","The Ultra Hand really stretches...","The Ultra Hand really stretches...","L'Ultra Hand s'allonge...","L'Ultra Hand s'allonge...","Die Ultra-Hand streckt sich lang aus...","La Ultra Hand si estende un sacco...","La Ultra Hand se estira un montón...","La Ultra Hand se estira un montón...","とっても のびます。"
"nincolle03_caption_02","ve sonra geri çekilir.","and retracts.","and retracts.","et se rétracte.","et se rétracte.","und zieht sich dann wieder zurück.","... e si ritrae.","y luego se retrae.","y luego se retrae.","そして、ちぢみます。"
"nincolle03_caption_03","Ultra Hand'in kutusu.","The Ultra Hand package.","The Ultra Hand package.","La boîte de l'Ultra Hand.","La boîte de l'Ultra Hand.","Sie wurde in dieser Schachtel verkauft.","La confezione della Ultra Hand.","La caja de la Ultra Hand.","La caja de la Ultra Hand","はいっていた はこです。"
"nincolle03_text","Bu, Nintendo'nun Ultra serisinin\nilk ürünüydü; uzaktaki şeyleri\nyakalamak için kullanılan eğlenceli\nbir oyuncaktı. Üşendiğin anlarda\nşaşırtıcı derecede işe yarardı.","This was the first product in\nNintendo's Ultra series, a fun toy\nyou could use to grab and snatch\ndistant things. It's hilariously\nhandy when you're feeling lazy.","This was the first product in\nNintendo's Ultra series, a fun toy\nyou could use to grab and snatch\ndistant things. It's hilariously\nhandy when you're feeling lazy.","Le premier produit de Nintendo\ndans la série Ultra : un jouet\npermettant d'attraper des objets\nà distance. Rigolo et pratique\nquand on se sent paresseux.","Le premier produit de Nintendo\ndans la série Ultra : un jouet\npermettant d'attraper des objets\nà distance. Rigolo et pratique\nquand on se sent paresseux.","Dies war das erste Produkt aus\nNintendos Ultra-Serie, ein Spiel-\nzeug, mit dem man sich entfernte\nDinge greifen konnte. Liegt echt\ngut in der Hand!","Questo è stato il primo prodotto\ndi Nintendo della linea Ultra. Si\ntratta di un braccio estensibile\nin grado di afferrare cose distanti,\nspecialmente indicato i per pigri!","Este fue el primer producto\nde la línea Ultra de Nintendo:\nun divertido juguete que permitía\ncoger cosas que estuvieran lejos.\n¡Siempre a mano para los vagos!","Este fue el primer producto\nde la línea Ultra de Nintendo:\nun divertido juguete que permitía\nagarrar cosas desde lejos.\n¡Siempre a mano para los vagos!","ウルトラシリーズ だい１だん。\nとおくのものを つかんで てもとまで\nもってこられる たのしい おもちゃです。\nうごくのが めんどくさいときなんかに\nとっても とっても べんりですね。"
