"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"characard_help_turn","Çevir","Flip","Flip","Retourner","Retourner","Umdrehen","Gira","Dar la vuelta","Dar la vuelta","かいてん"
"characard_help_voice","Ses","Voice","Voice","Voix","Voix","Stimme","Voce","Voz","Voz","ボイス"
"characard_slash","/","/","/","/","/","/","/","/","/","/"
"characard_lv","Seviye","Level","Level","Niveau","Niveau","Level","Livello","Nivel","Nivel","レベル"
"characard_icon_lv","↑","↑","↑","↑","↑","↑","↑","↑","↑","Lv"
"characard_under_lv","Sv.","Lv.","Lv.","Niv.","Niv.","Lv","Lv","Nv.","Nv.","Lv"
"characard_power","Güç","Power","Power","Puissance","Puissance","Kraft","Potenza","Poder","Poder","パワー"
"characard_timer","Süre","Timer","Timer","Chrono","Chrono","Zeit","Tempo","Tiempo","Tiempo","タイマー"
"characard_sp","SP","SP","SP","AS","AS","SK","AS","PE","PE","SP"
"characard_cost","Puan","Points","Points","Points","Points","Punkte","Punti","Puntos","Puntos","コスト"
"characard_human","İnsan?","Human?","Human?","Humain","Humain?","Mensch?","Umano?","Humano","Humano","ヒト？"
"characard_partner","Ortak","Partner","Partner","Partenaire","Partenaire","Partner","Partner","Compi","Pareja","パートナー"
"characard_type","Tür","Type","Type","Type","Type","Typ","Tipo","Tipo","Tipo","タイプ"
"characard_icon_type","?","?","?","?","?","?","?","(?)","(?)","?"
"characard_rank","Rütbe","Rank","Rank","Rang","Rang","Rang","Rango","Rango","Rango","ランク"
"characard_Wario_c_back","Wario'nun paradan daha\nçok sevdiği\nbir şey yoktur.\nBelki hazineler.\nBir de sarımsak.\nParasını yemeğe harcar.","There's nothing\nWario loves more\nthan money. Except\nmaybe treasure.\nAnd garlic. Spends\nhis cash on food.","There's nothing\nWario loves more\nthan money. Except\nmaybe treasure.\nAnd garlic. Spends\nhis cash on food.","Wario aime l'argent,\nplus que tout au\nmonde... mais aussi\nles trésors, et l'ail !\nIl dépense tout\nen nourriture.","Wario aime l'argent,\nplus que tout au\nmonde... mais aussi\nles trésors, et l'ail!\nIl dépense tout\nen nourriture.","Nichts liebt Wario\nmehr als Geld.\nAußer Schätze. Und\nKnoblauch. Seine\nKnete gibt er meist\nfür Esssbares aus.","Non c'è niente che\nWario ama più dei\nsoldi. Eccetto forse\ni tesori. E l'aglio.\nSpende tutti i suoi\nsoldi in cibo.","Nada le chifla tanto\na Wario como el\ndinero... excepto el\najo y los tesoros.\nSe lo gasta todo\nen comilonas.","Nada le gusta tanto\na Wario como el\ndinero... excepto el\najo y los tesoros.\nSe lo gasta todo\nen la comida.","ごぞんじ ワリオ。\nおカネと おたからと\nニンニクがだいすき。\nかせぎは ほとんど\nたべものについやす。"
"characard_Wario_b_back","Usta bir hazine\navcısı olan Wario,\nzenginliği 160\nkilometre öteden\nkoklayabilir. Ne\nburun ama!","As a veteran\ntreasure hunter,\nWario can sniff out\nriches from up to\n100 miles away.\nWhat a nose!","As a veteran\ntreasure hunter,\nWario can sniff out\nriches from up to\n100 miles away.\nWhat a nose!","En chasseur de\ntrésors aguerri,\nWario peut renifler\ntoute occasion de\ns'enrichir à 100 km\nà la ronde !","En chasseur de\ntrésors aguerri,\nWario peut renifler\ntoute occasion de\ns'enrichir à 100 km\nà la ronde!","Als Schatzjäger-\nveteran wittert\nWario Schätze\nin 100 km Entfer-\nnung. Immer eine\nNasenlänge voraus!","Da buon cacciatore\ndi tesori può fiutare\nricchezze fino a più\ndi 200 chilometri di\ndistanza. Che naso!","Wario tiene un\nolfato muy fino\npara los tesoros.\n¡Puede olerlos\nincluso a kilómetros\nde distancia!","Wario tiene un\nolfato muy fino\npara los tesoros.\n¡Puede olerlos\nincluso a kilómetros\nde distancia!","しょくぎょうは\nトレジャーハンター。\n１００キロさきの\nおたからのニオイを\nみごとにかぎつける。"
"characard_Wario_a_back","Wario evinin\nkapısını hiç\nkilitlemez. Bu\nyüzden arkadaşları\nistedikleri gibi\ngirip çıkabilir.","Wario doesn't ever\nlock the door of\nhis house. So his\nfriends are free\nto come and go\nas they please.","Wario doesn't ever\nlock the door of\nhis house. So his\nfriends are free\nto come and go\nas they please.","Wario ne ferme\njamais sa porte à\nclé. Tous ses amis\npeuvent rentrer et\nsortir de chez lui\nquand ils veulent.","Wario ne ferme\njamais sa porte à\nclé. Tous ses amis\npeuvent rentrer et\nsortir de chez lui\nquand ils veulent.","Wario schließt seine\nHaustür nie ab.\nSeine Kumpels sind\nalso jederzeit\nwillkommen.","Wario non chiude\nmai la porta di casa,\ncosì i suoi amici\npossono entrare\ne uscire a loro\npiacimento.","Como Wario nunca\ncierra la puerta de\ncasa con llave,\nsus amigos se\npasean por allí\ntan panchos.","Como Wario nunca\ncierra la puerta de\ncasa con llave,\nsus amigos se\npasean por allí\ncuando quieran.","ワリオのいえは\nるすのときでも\nカギをかけないので、\nなかまたちがかってに\nではいりしている。"
"characard_Lulu_c_back","Wario'nun oyun\nturnuvasına pat diye\ndalan gizemli küçük\nbir kız. Lulu'nun\nrefleksleri şaşırtıcı\nderecede iyi.","A mysterious little\ngirl who barged\ninto Wario's game\ntournament. Lulu\nhas shockingly\ngood reflexes.","A mysterious little\ngirl who barged\ninto Wario's game\ntournament. Lulu\nhas shockingly\ngood reflexes.","Une mystérieuse\nfillette qui a fait\nirruption en plein\ntournoi de Wario.\nElle a d'excellents\nréflexes.","Une mystérieuse\nfillette qui a fait\nirruption en plein\ntournoi de Wario.\nElle a d'excellents\nréflexes.","Ein mysteriöses\nMädchen, das sich\nin Warios Turnier\ngemogelt hat. Lulu\nverfügt über er-\nstaunliche Reflexe.","Una bambinetta\ndall'aria misteriosa\nche si è imbucata\nnel torneo di Wario.\nPossiede riflessi\nfuori dal normale.","Una niña misteriosa\nque se coló en\nel torneo de Wario.\nTiene muy buenos\nreflejos.","Una niña misteriosa\nque se infiltró en\nel torneo de Wario.\nTiene muy buenos\nreflejos.","ゲームたいかいに\nらんにゅうしてきた\nナゾのおんなのこ。\nうんどうしんけいが\nとてつもなく いい。"
"characard_Lulu_b_back","Lulu'nun en sevdiği\nşeyler kalın kızarmış et\ndilimleri ve bol\nfındıklı kurabiyelerdir.\nYemekten sonra uykusu\ngelir.","Lulu's favorite\nthings to eat are\nslabs o' fried meat\nand extra-nutty\ncookies. Sleepy\nafter a meal.","Lulu's favorite\nthings to eat are\nslabs o' fried meat\nand extra-nutty\ncookies. Sleepy\nafter a meal.","Ce que Lulu préfère\nce sont les steaks\ngrillées, les cookies\nriches en noix... et\nune petite sieste\naprès le repas.","Ce que Lulu préfère\nce sont les steaks\ngrillés, les biscuits\nriches en noix... et\nune petite sieste\naprès le repas.","Lulus Leibspeisen\nsind Grillplatten\nund Kekse mit\nganz viel Nuss.\nEssen macht sie\nhundemüde.","I cibi preferiti di\nLulu sono: bistecca\ndi carne fritta e\nbiscotti con tante\nnoci. Dopo pranzo\nha sempre sonno.","Lulú se pone\nmorada a filetes\ny galletas en\ncuanto tiene\nocasión. Luego se\nqueda sopa.","A Lulú le encanta\ncomer carne asada\ny galletas, y luego\nle entra sueño.","すきなたべものは\nにくのまるやきと、\nきのみのクッキー。\nたべたらすぐに\nねむくなってしまう。"
"characard_Lulu_a_back","Lulu kurdelesinin\niçine türlü türlü\nşey sığdırmayı\nbilir. Atıştırmalık,\nsilah, ne ararsan\nvar.","Lulu has a knack\nfor packing all\nsorts of things\ninside her ribbon.\nSnacks, weapons,\nyou name it.","Lulu has a knack\nfor packing all\nsorts of things\ninside her ribbon.\nSnacks, weapons,\nyou name it.","Dans son nœud en\nruban, Lulu a le chic\npour cacher toutes\nsortes de choses :\nfriandises, armes...\non y trouve tout !","Dans son nœud en\nruban, Lulu a le chic\npour cacher toutes\nsortes de choses :\nfriandises, armes...\non y trouve tout!","Lulu packt alles\nMögliche in ihre\nSchleife: einen\nkleinen Imbiss,\nWaffen... Was man\neben so braucht.","Lulu è in grado di\nmettere nel suo\nfiocco ogni genere\ndi cose: si va dalle\nmerendine alle armi\ndi ogni tipo e forma.","Lulú guarda de\ntodo en su gran\nlazo: chucherías,\narmas... ¡Esta niña\nes una auténtica\ncaja de sorpresas!","Lulú guarda de\ntodo en su gran\nlazo: dulces,\narmas... ¡Esta niña\nes una auténtica\ncaja de sorpresas!","あたまのリボンには\nリュックサックぐらい\nモノがはいる。\nおやつやブキを\nしまっているのだ。"
