index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,38,&,0,32,7,5,7,0,8,6,000000
1,39,',0,105,53,2,3,0,9,6,000000
2,40,(,0,74,9,3,9,1,9,6,000000
3,41,),0,57,27,3,9,0,9,6,000000
4,42,*,0,63,18,5,6,0,8,6,000000
5,43,+,0,52,58,3,5,1,7,6,000000
6,44,",",0,113,47,2,3,0,3,6,000000
7,45,-,0,113,51,4,1,0,5,6,000000
8,46,.,0,75,62,2,1,0,2,6,000000
9,47,/,0,11,36,4,8,0,9,6,000000
10,48,0,0,41,44,4,7,0,8,6,000000
11,49,1,0,98,51,2,7,1,8,6,000000
12,50,2,0,86,0,4,7,0,8,6,000000
13,51,3,0,69,18,4,7,0,8,6,000000
14,52,4,0,39,0,5,7,0,8,6,000000
15,53,5,0,78,9,4,7,0,8,6,000000
16,54,6,0,36,52,4,7,0,8,6,000000
17,55,7,0,63,25,4,7,0,8,6,000000
18,56,8,0,46,42,4,7,0,8,6,000000
19,57,9,0,91,0,4,7,0,8,6,000000
20,58,:,0,11,21,2,6,1,7,6,000000
21,59,;,0,117,33,2,7,1,7,6,000000
22,60,<,0,83,9,4,7,0,8,6,000000
23,61,=,0,31,59,4,3,0,6,6,000000
24,62,>,0,74,19,4,7,0,8,6,000000
25,63,?,0,6,40,4,8,0,8,6,000000
26,64,@,0,19,20,5,7,0,8,6,000000
27,65,A,0,41,52,4,7,0,8,6,000000
28,66,B,0,51,42,4,7,0,8,6,000000
29,67,C,0,56,37,4,7,0,8,6,000000
30,68,D,0,68,26,4,7,0,8,6,000000
31,69,E,0,61,33,4,7,0,8,6,000000
32,70,F,0,46,50,4,7,0,8,6,000000
33,71,G,0,96,0,4,7,0,8,6,000000
34,72,H,0,88,8,4,7,0,8,6,000000
35,73,I,0,126,0,1,7,1,8,6,000000
36,74,J,0,79,17,4,7,0,8,6,000000
37,75,K,0,73,27,4,7,0,8,6,000000
38,76,L,0,51,50,4,7,0,8,6,000000
39,77,M,0,0,42,5,7,0,8,6,000000
40,78,N,0,56,45,4,7,0,8,6,000000
41,79,O,0,101,0,4,7,0,8,6,000000
42,80,P,0,93,8,4,7,0,8,6,000000
43,81,Q,0,84,17,4,7,0,8,6,000000
44,82,R,0,66,34,4,7,0,8,6,000000
45,83,S,0,61,41,4,7,0,8,6,000000
46,84,T,0,79,25,4,7,0,8,6,000000
47,85,U,0,106,0,4,7,0,8,6,000000
48,86,V,0,11,28,5,7,0,8,6,000000
49,87,W,0,26,19,5,7,0,8,6,000000
50,88,X,0,98,8,4,7,0,8,6,000000
51,89,Y,0,45,0,5,7,0,8,6,000000
52,90,Z,0,89,16,4,7,0,8,6,000000
53,91,[,0,85,50,2,9,2,9,6,000000
54,92,\,0,17,28,5,7,0,8,6,000000
55,93,],0,109,29,2,9,0,9,6,000000
56,94,^,0,124,38,3,2,0,9,6,000000
57,95,_,0,108,54,5,1,0,1,6,000000
58,96,`,0,88,50,2,2,0,9,6,000000
59,97,a,0,66,58,4,5,0,6,6,000000
60,98,b,0,71,35,4,7,0,8,6,000000
61,99,c,0,91,47,4,5,0,6,6,000000
62,100,d,0,66,42,4,7,0,8,6,000000
63,101,e,0,114,24,4,5,0,6,6,000000
64,102,f,0,56,53,4,7,0,8,6,000000
65,103,g,0,84,25,4,7,0,6,6,000000
66,104,h,0,61,49,4,7,0,8,6,000000
67,105,i,0,124,30,1,7,2,8,6,000000
68,106,j,0,117,8,3,8,0,8,6,000000
69,107,k,0,94,16,4,7,0,8,6,000000
70,108,l,0,122,33,1,7,2,8,6,000000
71,109,m,0,46,58,5,5,0,6,6,000000
72,110,n,0,96,45,4,5,0,6,6,000000
73,111,o,0,101,40,4,5,0,6,6,000000
74,112,p,0,61,57,4,6,0,6,6,000000
75,113,q,0,109,22,4,6,0,6,6,000000
76,114,r,0,101,52,3,5,0,6,6,000000
77,115,s,0,120,21,4,5,0,6,6,000000
78,116,t,0,111,0,4,7,0,8,6,000000
79,117,u,0,88,53,4,5,0,6,6,000000
80,118,v,0,112,30,4,5,0,6,6,000000
81,119,w,0,99,26,5,5,0,6,6,000000
82,120,x,0,106,39,4,5,0,6,6,000000
83,121,y,0,91,40,4,6,0,6,6,000000
84,122,z,0,93,53,4,5,0,6,6,000000
85,123,{,0,103,8,3,9,1,9,6,000000
86,124,|,0,120,33,1,10,2,9,6,000000
87,125,},0,76,35,3,9,0,9,6,000000
88,126,~,0,56,61,4,2,0,9,6,000000
89,128,,0,19,18,1,1,0,0,6,000000
90,129,,0,61,27,1,1,0,0,6,000000
91,130,,0,122,41,2,3,2,1,6,000000
92,131,,0,0,11,6,9,0,7,6,000000
93,132,,0,36,60,4,3,1,1,6,000000
94,133,,0,90,62,6,1,0,0,6,000000
95,134,,0,6,21,4,10,1,8,6,000000
96,135,,0,27,0,4,10,1,8,6,000000
97,136,,0,116,49,4,1,1,9,6,000000
98,137,,0,14,0,6,9,0,8,6,000000
99,138,,0,0,0,6,10,0,9,6,000000
100,139,,0,53,36,2,4,2,4,6,000000
101,140,,0,14,10,6,7,0,6,6,000000
102,141,,0,61,29,1,1,0,0,6,000000
103,142,,0,61,31,1,1,0,0,6,000000
104,143,,0,107,16,1,1,0,0,6,000000
105,144,,0,85,47,1,1,0,0,6,000000
106,145,,0,125,41,2,2,4,7,6,000000
107,146,,0,109,58,2,2,0,7,6,000000
108,147,,0,84,60,5,2,1,7,6,000000
109,148,,0,90,59,5,2,0,7,6,000000
110,149,,0,126,14,1,1,0,0,6,000000
111,150,,0,104,61,4,1,0,4,6,000000
112,151,,0,97,62,6,1,0,4,6,000000
113,152,,0,120,45,4,1,1,8,6,000000
114,153,,0,0,59,6,4,0,7,6,000000
115,154,,0,89,24,4,7,1,6,6,000000
116,155,,0,113,42,2,4,2,4,6,000000
117,156,,0,32,0,6,6,0,5,6,000000
118,157,,0,78,62,1,1,0,0,6,000000
119,158,,0,126,16,1,1,0,0,6,000000
120,159,,0,7,0,6,10,0,9,6,000000
121,160, ,0,126,18,1,1,0,0,6,000000
122,161,¡,0,109,45,1,8,2,8,6,000000
123,162,¢,0,0,50,4,8,0,8,6,000000
124,163,£,0,51,0,4,8,0,8,6,000000
125,164,¤,0,115,17,4,6,0,7,6,000000
126,165,¥,0,71,43,4,7,0,8,6,000000
127,166,¦,0,111,42,1,10,2,9,6,000000
128,167,§,0,21,10,4,9,2,9,12,000000
129,168,¨,0,96,59,4,2,2,9,12,000000
130,169,©,0,32,15,5,7,0,8,6,000000
131,170,ª,0,101,46,4,5,0,9,6,000000
132,171,«,0,81,41,5,5,0,7,6,000000
133,172,¬,0,101,58,4,2,0,7,6,000000
134,173,­,0,109,56,4,1,0,4,6,000000
135,174,®,0,38,8,5,7,0,8,6,000000
136,175,¯,0,99,16,3,1,1,8,6,000000
137,176,°,0,105,35,3,3,0,9,12,000000
138,177,±,0,109,16,5,5,2,7,12,000000
139,178,²,0,7,58,3,4,1,8,6,000000
140,179,³,0,71,59,3,4,1,8,6,000000
141,180,´,0,116,46,3,2,3,9,12,000000
142,181,µ,0,121,14,4,6,0,6,6,000000
143,182,¶,0,7,11,6,9,1,9,12,000000
144,183,·,0,114,53,2,2,1,5,6,000000
145,184,¸,0,106,57,2,3,1,3,6,000000
146,185,¹,0,117,41,2,4,1,8,6,000000
147,186,º,0,119,27,4,5,0,9,6,000000
148,187,»,0,95,32,5,5,0,7,6,000000
149,188,¼,0,107,8,4,7,0,8,6,000000
150,189,½,0,80,33,4,7,0,8,6,000000
151,190,¾,0,66,50,4,7,0,8,6,000000
152,191,¿,0,116,0,4,7,0,7,6,000000
153,192,À,0,23,28,4,8,0,9,6,000000
154,193,Á,0,44,8,4,8,0,9,6,000000
155,194,Â,0,16,36,4,8,0,9,6,000000
156,195,Ã,0,38,16,4,8,0,9,6,000000
157,196,Ä,0,32,23,4,8,0,9,6,000000
158,197,Å,0,6,49,4,8,0,9,6,000000
159,198,Æ,0,94,24,4,7,0,8,6,000000
160,199,Ç,0,0,32,4,9,0,8,6,000000
161,200,È,0,11,45,4,8,0,9,6,000000
162,201,É,0,56,0,4,8,0,9,6,000000
163,202,Ê,0,49,9,4,8,0,9,6,000000
164,203,Ë,0,21,37,4,8,0,9,6,000000
165,204,Ì,0,81,47,3,8,1,9,6,000000
166,205,Í,0,87,41,3,8,1,9,6,000000
167,206,Î,0,76,53,3,8,1,9,6,000000
168,207,Ï,0,101,32,3,7,1,8,6,000000
169,208,Ð,0,85,33,4,7,0,8,6,000000
170,209,Ñ,0,43,17,4,8,0,9,6,000000
171,210,Ò,0,16,45,4,8,0,9,6,000000
172,211,Ó,0,61,0,4,8,0,9,6,000000
173,212,Ô,0,37,25,4,8,0,9,6,000000
174,213,Õ,0,54,9,4,8,0,9,6,000000
175,214,Ö,0,26,37,4,8,0,9,6,000000
176,215,×,0,121,8,5,5,2,7,12,000000
177,216,Ø,0,31,32,4,8,0,8,6,000000
178,217,Ù,0,11,54,4,8,0,9,6,000000
179,218,Ú,0,66,0,4,8,0,9,6,000000
180,219,Û,0,48,18,4,8,0,9,6,000000
181,220,Ü,0,21,46,4,8,0,9,6,000000
182,221,Ý,0,59,9,4,8,0,9,6,000000
183,222,Þ,0,112,8,4,7,0,8,6,000000
184,223,ß,0,99,18,4,7,0,8,6,000000
185,224,à,0,42,26,4,8,0,9,6,000000
186,225,á,0,16,54,4,8,0,9,6,000000
187,226,â,0,36,34,4,8,0,9,6,000000
188,227,ã,0,71,0,4,8,0,9,6,000000
189,228,ä,0,76,45,4,7,0,8,6,000000
190,229,å,0,53,18,4,8,0,9,6,000000
191,230,æ,0,112,36,4,5,0,6,6,000000
192,231,ç,0,121,0,4,7,0,6,6,000000
193,232,è,0,26,46,4,8,0,9,6,000000
194,233,é,0,31,41,4,8,0,9,6,000000
195,234,ê,0,64,9,4,8,0,9,6,000000
196,235,ë,0,71,51,4,7,0,8,6,000000
197,236,ì,0,28,27,2,8,1,9,6,000000
198,237,í,0,125,21,2,8,2,9,6,000000
199,238,î,0,105,26,3,8,1,9,6,000000
200,239,ï,0,80,56,3,7,1,8,6,000000
201,240,ð,0,47,27,4,8,0,9,6,000000
202,241,ñ,0,21,55,4,8,0,9,6,000000
203,242,ò,0,76,0,4,8,0,9,6,000000
204,243,ó,0,58,18,4,8,0,9,6,000000
205,244,ô,0,41,35,4,8,0,9,6,000000
206,245,õ,0,69,9,4,8,0,9,6,000000
207,246,ö,0,104,18,4,7,0,8,6,000000
208,247,÷,0,46,36,6,5,1,7,12,000000
209,248,ø,0,96,38,4,6,0,7,6,000000
210,249,ù,0,36,43,4,8,0,9,6,000000
211,250,ú,0,52,27,4,8,0,9,6,000000
212,251,û,0,26,55,4,8,0,9,6,000000
213,252,ü,0,90,32,4,7,0,8,6,000000
214,253,ý,0,14,18,4,9,0,9,6,000000
215,254,þ,0,31,50,4,8,0,8,6,000000
216,255,ÿ,0,81,0,4,8,0,8,6,000000
217,0,,0,0,0,0,0,0,0,0,000000
218,0,,0,0,0,0,0,0,0,0,000000
219,0,,0,0,0,0,0,0,0,0,000000
220,0,,0,0,0,0,0,0,0,0,000000
221,0,,0,0,0,0,0,0,0,0,000000
222,0,,0,0,0,0,0,0,0,0,000000
