index,id,en,fr,de,it,es,tr
0,0x00316F88,Elder's Blessing,Pouvoir de l'Ancien,Segen der Ältesten,Il favore degli antichi,Bendición del anciano,Kadimlerin Kutsaması
1,0x004FB19C,Find the second key.,Retrouver la deuxième clef,Finde den zweiten Schlüssel,Trova la seconda chiave,Encuentra la segunda llave,İkinci anahtarı bul.
2,0x0193C8D0,Mind the Gap,Faille qui vaille,"Vorsicht, Stufe!",Attenzione al salto,Cuidado con el hueco,Boşluğa Dikkat
3,0x021082EA,$VALUE of $COMPLETEDVALUE Golden Dragons.,Dragons d'or : $VALUE sur $COMPLETEDVALUE,$VALUE von $COMPLETEDVALUE Goldenen Drachenblumen besorgt,$VALUE di $COMPLETEDVALUE fiori di drago,$VALUE de $COMPLETEDVALUE flores,$VALUE/$COMPLETEDVALUE Altın Ejder çiçeği.
4,0x02F56455,#0xCDC673FF#Vault opened!#PREVIOUS#,#0xCDC673FF#Salle au trésor ouverte !#PREVIOUS#,#0xCDC673FF#Schatzkammer geöffnet!#PREVIOUS#,#0xCDC673FF#Cripta aperta!#PREVIOUS#,#0xCDC673FF#¡Cámara abierta!#PREVIOUS#,#0xCDC673FF#Kasa açıldı!#PREVIOUS#
5,0x034A7946,Defeat the Eldritch Bear,Éliminer l'Ours chimérique,Elbenbären besiegen,Sconfiggi l'orso mistico,Derrota al oso mágico,Tekinsiz Ayı'yı yen
6,0x04BDB1AC,#0xCDC673FF#Returned to Anxious Woman!#PREVIOUS#,#0xCDC673FF#De retour !#PREVIOUS#,#0xCDC673FF#Zur Frau zurückgekehrt!#PREVIOUS#,#0xCDC673FF#Hai fatto ritorno!#PREVIOUS#,#0xCDC673FF#¡Has vuelto con la mujer!#PREVIOUS#,#0xCDC673FF#Endişeli Kadın'a dönüldü!#PREVIOUS#
7,0x04C8AFC7,#0xCDC673FF#$VALUE of $COMPLETEDVALUE projects completed!#PREVIOUS#,#0xCDC673FF#Projets terminés : $VALUE sur $COMPLETEDVALUE !#PREVIOUS#,#0xCDC673FF#$VALUE von $COMPLETEDVALUE Projekten abgeschlossen!#PREVIOUS#,#0xCDC673FF#$VALUE di $COMPLETEDVALUE progetti completati!#PREVIOUS#,#0xCDC673FF#$VALUE de $COMPLETEDVALUE proyectos complet.#PREVIOUS#,#0xCDC673FF#$VALUE/$COMPLETEDVALUE proje tamamlandı!#PREVIOUS#
8,0x0642828E,Defeat Blackfin,Éliminer Lamenoir,Schwarzflosse besiegen,Sconfiggi Pinnanera,Derrota a Aleta Negra,Karayüzgeç’i yen
9,0x0653DDDC,Search the tomb for clues.,Fouiller le tombeau à la recherche d'indices,Suche in dem Grab nach Spuren,Esplora la tomba in cerca di indizi,Busca pistas en la tumba,İpucu bulmak için mezarı ara.
