index,id,en,fr,de,it,es,tr
0,0x0053E157,Bog Spirit,Esprit des marais,Sumpfgeist,Spirito della palude,Espíritu de la ciénaga,Bataklık Ruhu
1,0x008C94C3,Silas the Merchant,Silas le marchand,Silas der Händler,Silas il mercante,Silas el mercader,Tüccar Silas
2,0x00AB4E45,Trapped Goblin,Gobelin captif,Gefangener Goblin,Goblin intrappolato,Goblin atrapado,Tutsak Goblin
3,0x012E62FA,Ickthid Shaman,Shaman poissard,Ickthid-Schamane,Ickthide sciamano,Ickthid chamán,Ickthid Şamanı
4,0x016D6856,Webcrusher,Abatteur d'arantèles,Netzbrecher,Schiantatele,Aplastatelas,Ağkıran
5,0x024EEAAF,Keltas the Enraged,Keltas le forcené,"Keltas, der Erzürnte",Keltas l'infuriato,Keltas el enfurecido,Öfkeli Keltas
6,0x0278111D,Speak to Fironel,S'adresser à Fironelle,Mit Fironel reden,Parla con Fironel,Habla con Fironel.,Fironel ile konuş
7,0x03871D38,Supportive Nobleman,Noble fougueux,Hilfsbereiter Adeliger,Nobiluomo sostenitore,Noble comprensivo,Yardımsever Soylu
8,0x038B59F0,Crystal Vault Door,Porte de cristal,Kristallkavernen-Tür,Porta della cripta di cristallo,Puerta de cámara de cristal,Kristal Mahzen Kapısı
9,0x04A50B5D,Amber Golem,Golem d'ambre,Bernsteingolem,Golem d'ambra,Gólem de ámbar,Kehribar Golemi
10,0x064D117C,Melony Moursey,Mélony Moursey,Melony Moursey,Melony Moursey,Melony Moursey,Melony Moursey
11,0x06772B7C,Skeletal Pirate,Pirate squelettique,Skelettierter Pirat,Pirata scheletrico,Esqueleto pirata,İskelet Korsan
12,0x067D4A9E,Krakenspawn Magus,Mage krakenard,Krakenbrut-Magus,Gran sacerdote dei Krakeniani,Magus krakeniano,Krakenli Magus
13,0x06B55937,Astral Imp,Diablotin astral,Astralkobold,Folletto astrale,Diablillo astral,Astral Şeytancık
14,0x077D1DBC,Ickthid Witchdoctor,Féticheur poissard,Ickthid-Medizinmann,Ickthide stregone,Ickthid doctor brujo,Ickthid Büyücüsü
15,0x0834CF24,Weed-Ridden Ghoul,Goule lichénique,Sumpfghul,Ghoul della vegetazione,Necrófago de la espesura,Ot Basılı Gulyabani
16,0x083C7F67,Anxious Woman,Femme angoissée,Besorgte Frau,Donna ansiosa,Mujer inquieta,Endişeli Kadın
17,0x08538125,Spectral Knight,Chevalier spectral,Spektralritter,Cavaliere spettrale,Caballero espectral,Hayalet Şövalye
18,0x08C98666,Michadele,Michadèle,Michadele,Michadele,Michadele,Michadele
19,0x08DDD6E2,Opinionated Common Man,Citoyen expansif,Selbstherrlicher Mann,Uomo comune caparbio,Hombre obstinado,Dikbaşlı Halktan Adam
