index,key,F,G,I,S,U,TR
0,MID_X022_OP1,"$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|La source de vérité... ? Qu'est-ce donc ?
Une attraction locale ?$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Une légende, Monseigneur. D'après celle-ci,
des ruines abritent une source particulière.$k$pOn dit que ses eaux refléteraient la vraie
nature de celui qui s'y mire...$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Se regarder dans une flaque pour se
trouver soi-même... C'est plutôt saugrenu...$k","$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|...Der Quell der Wahrheit? Was ist das?
Klingt nach einem örtlichen Aberglauben...$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Mehr eine Legende, Hauptmann. Sie handelt
von einer seltsamen Quelle in den Ruinen.$k$pEs heißt, dass die Spiegelung ihres Wassers
jedem sein wahres Ich zeigen kann.$k$pWas auch immer damit gemeint sein mag...$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Wenn ich in eine Pfütze starren muss, um zu
mir zu finden, haben wir ernste Probleme!$k","$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|La fonte della verità? E cosa sarebbe?
Una specie di credenza del posto?$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Più una leggenda. Sembra che le macerie
nei paraggi custodiscano una sorgente.$k$pSi narra che nelle sue acque si rispecchi il
vero io di ogni uomo. Ma è una leggenda...$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Già. Non mi serve una pozza d'acqua
per trovare me stesso.$k","$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|¿La Fuente de la Verdad? ¿Se trata de
alguna superstición local?$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Más bien una leyenda, mi señor. Dícese que
de unas ruinas brota un insólito manantial.$k$pMuchos sostienen que quien se mira en
sus aguas se encuentra a sí mismo...$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Bah, me da igual. Yo no necesito que un
charco me diga quién soy.$k","$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|...Wellspring of Truth? What is that, some
sort of local superstition?$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Closer to a legend, milord. Apparently the
nearby ruins house an unusual spring.$k$pMany believe its waters reflect one's true
self... Whatever that means.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Whatever indeed. I don't need some
glorified puddle to tell me who I am.$k","$t1$Wmクロム|3$Wmフレデリク|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_3|...Gerçeğin Kaynağı mı? Nedir bu, bir
çeşit yerel batıl inanç mı?$k
$Wsフレデリク|$Wa$SvpSE_VOICE_FREDERIK_EVT_15|Efsaneye daha yakın lordum. Yakındaki
harabelerde sıra dışı bir kaynak varmış.$k$pÇoğu kişi buradaki suyun gerçek benliğini
yansıttığına inanıyor... Ne demekse.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒|Ne olursa olsun. Kim olduğumu söylemek
için süslü bir su birikintisine ihtiyacım yok.$k"
1,MID_X022_OP1_2_PCM1,"$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常,|Ma vraie nature...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|Hein ?! Aversa !$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Êtes-vous le vrai... ?
Ou êtes-vous l'illusion... ?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|Qu... Quoi ?$k
$Wsインバース|$WaSuivez-moi si vous souhaitez connaître
la réponse.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Mais qu'est-ce qu...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Tout va bien ?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|Je viens juste de... Je veux dire, je viens
peut-être de voir Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Comment ça, « peut-être » ?!$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|Elle avait l'air un peu... étrange. Elle m'a
dit de la suivre pour trouver la vérité.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Si elle est encore en vie, ce monde n'est
pas à l'abri de son venin.$k$pNous devrions peut-être
tirer tout ceci au clair.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常,|Mein wahres Ich...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$p$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|Ah! Aversa!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Bist du echt? Oder nur eine Illusion?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|W-was?$k
$Wsインバース|$WaWenn du die Antwort erfahren willst,
dann folge mir.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Was zum...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Stimmt etwas nicht?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|Da hinten, gerade eben...
Ich glaube, ich habe Aversa gesehen.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Du glaubst?!?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|Sie war... seltsam. Sie sagte, wenn ich die
Wahrheit wissen wolle, solle ich ihr folgen.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Wenn sie lebt, verteilt sie vielleicht weiter
ihr Gift über das Land...$k$pWir sollten sicherstellen, dass sie keinen
weiteren Schaden anrichten kann.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常,|Il mio vero io...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|Uh? Aversa?$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Sei il tuo io autentico o solo
l'illusione di te stesso?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|C-Cosa?$k
$Wsインバース|$WaSe vuoi conoscere la risposta, seguimi.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Ma che...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Qualcosa non va?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|Credo di aver appena...
Mi è sembrato di avere visto Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Ti è sembrato?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|Ma era... strana. Mi ha detto di seguirla,
se volevo conoscere la verità.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Se è viva, starà spargendo il
suo veleno per questa terra.$k$pMeglio capire cosa sta succedendo.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常,|Encontrarse a uno mismo...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|(...)$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|¿Eh?... ¡Aversa!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|¿Eres la versión real?
¿O eres una ilusión?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|¿Q-qué?$k
$Wsインバース|$WaSi quieres conocer la respuesta, sígueme.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|¿Qué demon...?$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|¿Te ocurre algo?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|Allí, justo ahora...
Creo que he visto a Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|¡¿CREES que la has visto?!$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|Parecía que le pasaba algo... y me dijo que
la siguiera si quería saber la verdad.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Si sigue viva, podría continuar
sembrando el caos por todo el país.$k$pSerá mejor que nos aseguremos...$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常,|My true self...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|Huh?! Aversa?!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Are you the real...?
Or are you the illusion...?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|Wh-what?$k
$Wsインバース|$WaIf you would learn the answer,
give chase.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|What in the...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Something wrong?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|There, just now I...
I may have seen Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|...You MAY have?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|She seemed...odd, somehow. She said I
should give chase to learn the truth.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|If she's alive, she could be spreading
more of her venom across the land.$k$pPerhaps it's best we made certain.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|$E通常|Gerçek benliğim...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_M#_EVT_29|$E苦,汗|Ha?! Aversa'yı mı?$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Sen gerçek
misin...? Yoksa illüzyon musun...?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_5|$E苦,汗|Ne?$k
$Wsインバース|$WaCevabı öğrenmek istiyorsanız,
kovalayın.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常|Ne oldu...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常|Ters giden bir şey mi var?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_10|Orada, şimdi ben...
Aversa'yı görmüş olabilirim.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|...OLABİLİR mi?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_M#_EVT_11|Bir tuhaf görünüyordu. Gerçeği
öğrenmek için peşinden gitmemi söyledi.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒|Eğer hayattaysa zehrinin daha
fazlasını karaya yayıyor olabilir.$k$pBelki de emin olmamız en iyisi.$k"
2,MID_X022_OP1_2_PCM2,,,,,,
3,MID_X022_OP1_2_PCM3,,,,,,
4,MID_X022_OP1_2_PCF1,"$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常,|Ma vraie nature...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|Hein ?! Aversa !$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Êtes-vous la vraie... ?
Ou êtes-vous l'illusion... ?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|Qu... Quoi ?$k
$Wsインバース|$WaSuivez-moi si vous souhaitez connaître
la réponse.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Mais qu'est-ce qu...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Tout va bien ?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|Je viens juste de... Je veux dire, je viens
peut-être de voir Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Comment ça, « peut-être » ?!$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|Elle avait l'air un peu... étrange. Elle m'a
dit de la suivre pour trouver la vérité.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Si elle est encore en vie, ce monde n'est
pas à l'abri de son venin.$k$pNous devrions peut-être
tirer tout ceci au clair.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常,|Mein wahres Ich...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$p$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|Ah! Aversa!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Bist du echt? Oder nur eine Illusion?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|W-was?$k
$Wsインバース|$WaWenn du die Antwort erfahren willst,
dann folge mir.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Was zum...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Stimmt etwas nicht?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|Da hinten, gerade eben...
Ich glaube, ich habe Aversa gesehen.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Du glaubst?!?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|Sie war... seltsam. Sie sagte, wenn ich die
Wahrheit wissen wolle, solle ich ihr folgen.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Wenn sie lebt, verteilt sie vielleicht weiter
ihr Gift über das Land...$k$pWir sollten sicherstellen, dass sie keinen
weiteren Schaden anrichten kann.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常,|Il mio vero io...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|Uh? Aversa?$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Sei il tuo io autentico o solo
l'illusione di te stessa?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|C-Cosa?$k
$Wsインバース|$WaSe vuoi conoscere la risposta, seguimi.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|Ma che...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Qualcosa non va?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|Credo di aver appena...
Mi è sembrato di vedere Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|Ti è sembrato?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|Ma era... strana. Mi ha detto di seguirla,
se volevo conoscere la verità.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Se è viva, starà spargendo il
suo veleno per questa terra.$k$pMeglio capire cosa sta succedendo.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常,|Encontrarse a una misma...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|(...)$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|¿Eh?... ¡Aversa!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|¿Eres la versión real?
¿O eres una ilusión?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|¿Q-qué?$k
$Wsインバース|$WaSi quieres conocer la respuesta, sígueme.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|¿Qué demon...?$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|¿Te ocurre algo?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|Allí, justo ahora...
Creo que he visto a Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|¡¿CREES que la has visto?!$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|Parecía que le pasaba algo... y me dijo que
la siguiera si quería saber la verdad.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|Si sigue viva, podría continuar
sembrando el caos por todo el país.$k$pSerá mejor que nos aseguremos...$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常,|My true self...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常,|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|Huh?! Aversa?!$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Are you the real...?
Or are you the illusion...?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|Wh-what?$k
$Wsインバース|$WaIf you would learn the answer,
give chase.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常,|What in the...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常,|Something wrong?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|There, just now I...
I may have seen Aversa.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|...You MAY have?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|She seemed...odd, somehow. She said I
should give chase to learn the truth.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒,|If she's alive, she could be spreading
more of her venom across the land.$k$pPerhaps it's best we made certain.$k","$t1$Wmusername|3$w0|$Wsusername|$Wa$E通常|Gerçek benliğim...$k
$Wmインバース|7$w0|$Wsインバース|$Wa$E通常|...$k
$Wsusername|$Wa$Wv$SvpSE_VOICE_PLAYER_F#_EVT_29|$E苦,汗|Ha?! Aversa'yı mı?$k
$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_13|Sen gerçek
misin...? Yoksa illüzyon musun...?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_5|$E苦,汗|Ne?$k
$Wsインバース|$WaCevabı öğrenmek istiyorsanız,
kovalayın.$k
$Wsインバース|$Wd$w0|$Wsusername|$Wa$E通常|Ne oldu...$k
$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_24|$E通常|Ters giden bir şey mi var?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_10|Orada, şimdi ben...
Aversa'yı görmüş olabilirim.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|...OLABİLİR mi?$k
$Wsusername|$Wa$SvpSE_VOICE_PLAYER_F#_EVT_11|Bir tuhaf görünüyordu. Gerçeği
öğrenmek için peşinden gitmemi söyledi.$k
$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_12|$E怒|Eğer hayattaysa zehrinin daha
fazlasını karaya yayıyor olabilir.$k$pBelki de emin olmamız en iyisi.$k"
5,MID_X022_OP1_2_PCF2,,,,,,
6,MID_X022_OP1_2_PCF3,,,,,,
7,MID_X022_OP2,"$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常,|Cette source révèle la vérité.$k$pPreux chevalier ou bien bête immonde,
vous le saurez au fond de ces ondes.$k$p$E笑,|Vous y trouverez que la vie est un trésor...
à moins, qui sait, que ce ne soit votre mort.$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常,|Assez de devinettes ! Qui es-tu ?
Je veux la vérité, et maintenant !$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|Qu... ?! Un autre... moi ?!$k","$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常,|Diese Quelle zeigt die Wahrheit.$k$pWenn Zweifel dich plagen, wirf einen Blick
hinein und ertränke sie hier für immer.$k$p$E笑,|Vielleicht findest du neues Leben im Tod.
Oder anders herum... Wer weiß das schon?$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常,|Wer bist du?!? Und antworte nicht in
Rätseln oder... oder mit einer Scherzfrage...$k$pIch will die Wahrheit hören und zwar sofort!$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|W-was? Aber das bin ja... ich?!?$k","$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常,|Nella fonte si riflette la verità.$k$pSe i dubbi ti rincorrono, dai una sbirciata
e affogali una volta per tutte.$k$p$E笑,|Potresti trovare una nuova vita nella morte!
O forse il contrario...$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常,|Basta con gli indovinelli! Chi sei?
Voglio la verità e la voglio ora!$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|C-Cosa? Un altro... me?$k","$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常,|Esta fuente refleja la verdad.$k$pSi la duda te corroe, no tienes más que
asomarte y la verdad saldrá a la luz.$k$p$E笑,|¡Quizá encuentres nueva vida en la muerte!
O justo lo contrario... ¿Quién sabe?$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常,|¡Ya basta de acertijos! ¿Quién eres?
Quiero la verdad y ¡la quiero ahora!$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|¡¿Q-qué?! ¿Otro yo...?$k","$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常,|This spring reflects the truth.$k$pIf doubt hounds you, have a look
and drown that dog forever.$k$p$E笑,|You may just find new life in death!
...Or the other way around, perhaps.$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常,|Enough of your riddles! Who are you?
I want the truth, and I want it now!$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|Wh-what?! Another...me?$k","$t1$Wmインバース|7$w0|$Wsインバース|$Wa$SvpSE_VOICE_INVERSE_EVT_7|$E通常|Bu pınar gerçeği yansıtır.$k$pEğer şüphe sizi rahatsız ediyorsa, bir
bakın ve o köpeği sonsuza kadar boğun.$k$p$E笑|Ölümde yeni bir hayat
bulabilirsin! ...Ya da belki tam tersi.$k
$Wsインバース|$Wd$w0|$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_2|$E通常|Yeter bu bilmeceler! Sen kimsin?
Gerçeği istiyorum ve hemen istiyorum!$k$p$Wmクロム|7$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_49|$E苦,汗|Ne?! Başka biri... ben mi?$k"
8,MID_X022_OP2_2,"$t1$Wmクロム|7$w0|$Wsクロム|$WaJe suis le reflet de ta vraie nature.$k$pAffronte-moi. Quand l'un de nous mourra,
la vérité triomphera.$k","$t1$Wmクロム|7$w0|$Wsクロム|$WaIch bin das Spiegelbild deines wahren Ichs.$k$pStell dich mir! Nur in einem unserer Tode
kommt die Wahrheit ans Licht!$k","$t1$Wmクロム|7$w0|$Wsクロム|$WaIo sono il riflesso del tuo vero io.$k$pAffrontami! E possa la verità trionfare
con la morte di uno di noi...$k","$t1$Wmクロム|7$w0|$Wsクロム|$WaSoy el reflejo de tu auténtico yo...$k$pEnfréntate a mí. ¡Solo el verdadero
prevalecerá!$k","$t1$Wmクロム|7$w0|$Wsクロム|$WaI am the reflection of your true self.$k$pFace me. And in one of our deaths
may the truth prevail.$k","$t1$Wmクロム|7$w0|$Wsクロム|$WaBen senin gerçek benliğinin yansımasıyım.$k$pKarşıma çık. İkimizden biri ölünce
gerçek galip gelsin.$k"
9,MID_X022_OP2_3,"$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,|Eh bien, si je dois le tuer pour arrêter
cette folie, je suis prêt à me battre.$k$p$E苦,汗|Mais l'idée d'un ennemi connaissant toutes
mes techniques ne m'enchante guère...$k","$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,|Wenn der Tod dieses Typen diesen Irrsinn
beendet, dann bin ich dafür.$k$p$E苦,汗|...Auch wenn ein Kampf gegen jemanden,
der mich so gut kennt, heikel sein könnte.$k","$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,|Se far fuori quel tizio può fermare
questa follia, allora sono pronto.$k$p$E苦,汗|Ma non mi entusiasma l'idea di combattere
con qualcuno che conosce ogni mia mossa.$k","$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,|Si tengo que vencer a este tipo para
detener esta locura, lo haré.$k$p$E苦,汗|Sin embargo, no me gusta la idea de luchar
contra alguien que me conoce demasiado...$k","$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒,|If killing this guy stops this madness,
then I'm all for it.$k$p$E苦,汗|...Still, I don't relish the idea of fighting
someone who knows my every move.$k","$t1$Wmクロム|3$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_11|$E怒|Bu adamı öldürmek deliliği bitirecekse,
ben varım.$k$p$E苦,汗|...Yine de her hareketimi bilen biriyle
dövüşme fikrinden hoşlanmıyorum.$k"
