index,key,F,G,I,S,U,TR
0,MID_様子_カラム_前,"Après les combats, je joue à cache-cache...
Chacun ses passe-temps, pas vrai ?","Lustig. Manchmal finde ich DICH nach der
Schlacht nicht. Was machst du dann?","Che strano. A volte dopo una battaglia
non ti vedo più. Che cosa fai?","A veces son los demás quienes desaparecen
tras las batallas y no yo. ¿Qué harán?","It's funny. Sometimes I can't find YOU
after a battle. What are you up to?","Komik... Savaştan sonra bazen SENİ
bulamıyorum. Nerelere gidiyorsun?"
1,MID_様子_カラム_前_敬さん,"Après les combats, je joue à cache-cache...
Chacun ses passe-temps, pas vrai ?","Lustig. Manchmal finde ich EUCH nach
der Schlacht nicht. Was macht Ihr dann?","Che strano. A volte dopo una battaglia
non vi vedo più. Che cosa fate?","A veces son los demás quienes desaparecen
tras las batallas y no yo. ¿Qué harán?","It's funny. Sometimes I can't find YOU
after a battle. What are you up to?","Komik... Savaştan sonra bazen SİZİ
bulamıyorum. Nerelere gidiyorsunuz?"
2,MID_様子_カラム_前_敬様,"Après les combats, je joue à cache-cache...
Chacun ses passe-temps, pas vrai ?","Lustig. Manchmal finde ich EUCH nach
der Schlacht nicht. Was macht Ihr dann?","Che strano. A volte dopo una battaglia
non vi vedo più. Che cosa fate?","A veces son los demás quienes desaparecen
tras las batallas y no yo. ¿Qué harán?","It's funny. Sometimes I can't find YOU
after a battle. What are you up to?","Komik... Savaştan sonra bazen SİZİ
bulamıyorum. Nerelere gidiyorsunuz?"
3,MID_様子_カラム_後,"Euh... Moi, j'aime rester au milieu du camp
à compter les gens qui m'ignorent...","Oh, meist stehe ich mitten im Lager und
zähle, wie viele Leute mich übersehen.","Oh, mi metto al centro dell'accampamento
e conto le persone che non mi notano.","Pues yo me quedo en el campamento
contando las personas que no me ven.","Oh, I'm usually standing in the middle of
camp, counting the people who ignore me.","Genelde kampın ortasında durup
beni görmezden gelenleri sayarım."
4,MID_様子_カラム_後_敬さん,"Euh... Moi, j'aime rester au milieu du camp
à compter les gens qui m'ignorent...","Oh, meist stehe ich mitten im Lager und
zähle, wie viele Leute mich übersehen.","Oh, mi metto al centro dell'accampamento
e conto le persone che non mi notano.","Pues yo me quedo en el campamento
contando las personas que no me ven.","Oh, I'm usually standing in the middle of
camp, counting the people who ignore me.","Genelde kampın ortasında durup
beni görmezden gelenleri sayarım."
5,MID_様子_カラム_後_敬様,"Euh... Moi, j'aime rester au milieu du camp
à compter les gens qui m'ignorent...","Oh, meist stehe ich mitten im Lager und
zähle, wie viele Leute mich übersehen.","Oh, mi metto al centro dell'accampamento
e conto le persone che non mi notano.","Pues yo me quedo en el campamento
contando las personas que no me ven.","Oh, I'm usually standing in the middle of
camp, counting the people who ignore me.","Genelde kampın ortasında durup
beni görmezden gelenleri sayarım."
6,MID_様子_カラム_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
7,MID_様子_カラム_前_親子_子,"Euh... Tout va bien, $Np ?
Tu fais une de ces têtes...","Alles in Ordnung, $Np? Du siehst
aus, als würdest du gleich umkippen...","Stai bene, $Np?
Hai l'aria abbattuta...","¿Te encuentras bien, $Np?
Parece que te vas a desmayar.","Are you all right, $Np?
You look ready to pass out...","İyi misin? $Np?
Bayılmaya hazır görünüyorsun..."
8,MID_様子_カラム_後_親子_子,"Ne t'inquiète pas. Maintenant que tu m'as
remarqué, je me sens déjà mieux.","Keine Sorge. Mir geht es schon besser, da
ich weiß, dass mich jemand beachtet.","Va tutto bene. Mi sento meglio solo a
pensare che qualcuno mi abbia notato.","No te preocupes. Me siento bien solo con
saber que alguien me presta atención.","Don't worry. I feel better just knowing
someone is paying attention.","Merak etme. Birinin ilgilendiğini bilmek
beni daha iyi hissettiriyor."
9,MID_様子_カラム_前_恋人,"Je suis un peu jaloux, $Np.
Tu es si jolie, on ne te perd jamais de vue.","Was ist dein Geheimnis, $Np? Du
bist so schön, dass man dich stets bemerkt.","Beata te, $Np. Sei così bella
che ti si nota anche da lontano.","¿Cuál es tu secreto, $Np? Eres
tan hermosa que no pasas desapercibida.","I wish I knew your secret, $Np.
You're so lovely, I can spot you a mile away.","Sırrını bilmek isterdim, $Np.
Öyle güzelsin ki uzaktan bile seçilirsin."
10,MID_様子_カラム_後_恋人,"Merci. Mais je crois que j'ai surtout de la
chance qu'on ne me voit pas si bien...","Danke schön. Aber ich habe das größere
Glück, denn ich habe dich.","Grazie. Ma sapevo già di essere
fortunato ad averti.","Je... Gracias. Jamás he querido a nadie
tanto como te quiero a ti.","Thank you. But I already know I'm the
luckier one to have you.","Teşekkür ederim. Ama sana sahip olduğum
için daha şanslı olduğumu zaten biliyorum."
