index,key,F,G,I,S,U,TR
0,MID_様子_レンハ_前_通殿,"Le calme après la bataille favorise l'ennui...
Comment vous distrayez-vous ?","Die Ruhe nach dem Kampf trübt den Geist.
Wie sorgt Ihr für einen klaren Kopf?","La quiete dopo la battaglia offusca la
mente. Cosa fai per mantenere la lucidità?","No conviene quedarse ocioso tras las
batallas. Yo suelo entrenar.","The quiet after battle dulls the wits.
How do you keep your mind clear?","Savaş sonrası sessizlik zekayı köreltir.
Zihninizi nasıl açık tutarsınız?"
1,MID_様子_レンハ_前,"Le calme après la bataille favorise l'ennui...
Comment vous distrayez-vous ?","Die Ruhe nach dem Kampf trübt den Geist.
Wie sorgt Ihr für einen klaren Kopf?","La quiete dopo la battaglia offusca la
mente. Cosa fai per mantenere la lucidità?","No conviene quedarse ocioso tras las
batallas. Yo suelo entrenar.","The quiet after battle dulls the wits.
How do you keep your mind clear?","Savaş sonrası sessizlik zekayı köreltir.
Zihninizi nasıl açık tutarsınız?"
2,MID_様子_レンハ_前_特殊,"Le calme après la bataille favorise l'ennui...
Comment te distrais-tu, Say'ri ?","Die Ruhe nach dem Kampf trübt den Geist.
Wie sorgst du für einen klaren Kopf?","La quiete dopo la battaglia offusca la
mente. Cosa fai per mantenere la lucidità?","No conviene quedarse ocioso tras las
batallas. ¿Cómo ocupas tu mente, Say'ri?","The quiet after battle dulls the wits.
How do you keep your mind clear, Say'ri?","Savaş sonrası sessizlik zekayı köreltir.
Zihnini nasıl açık tutuyorsun Say'ri?"
3,MID_様子_レンハ_後_通殿,"Moi, je m'entraîne pour ne pas trop
réfléchir à mes problèmes...","Ich trainiere, um den Kopf frei zu kriegen.
Aber ich sollte wohl der Armee mehr helfen.","Mi alleno per dimenticare i miei problemi,
ma dovrei fare di più per l'esercito.","Pues yo entreno para dejar la mente en
blanco, aunque debería ayudar más al resto.","I train lest I overthink my troubles...but I
ought help out more with army affairs.","Dertlerimi kurcalamamak için idmandayım...
Ama ordu işlerine de yardım etmeliyim."
4,MID_様子_レンハ_後_特殊,"Je passe trop de temps à ruminer mes
problèmes, et pas assez à aider les autres.","Leider bin ich allzu oft mit mir selbst
beschäftigt. Ich sollte mehr helfen.","Spesso temo di restare solo, in balia dei
miei pensieri. Dovrei aiutare di più, invece.","Lo único que hago es quedarme a solas
con mis pensamientos. Debería ayudar más.","I fear I am too often left alone with my
thoughts. I ought help out more instead.","Düşüncelerimle fazla yalnız kalıyorum.
Onun yerine daha çok yardım etmeliyim."
5,MID_様子_レンハ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_レンハ_前_親子_子,"Comment allez-vous, Linfan ? N'en faites
pas trop sur le champ de bataille...","Wie geht es dir, Linfan? Du solltest dich
auf dem Schlachtfeld nicht überanstrengen.","Come va, Linfan? Non dovresti
sfiancarti così in combattimento.","¿Cómo estás, Linfan? Oye, no deberías
esforzarte tanto en el campo de batalla.","How fare ye, Morgan? You must not push
yourself too hard on the battlefield.","Nasılsın Morgan? Savaş alanında
kendinizi çok fazla zorlamamalısınız."
7,MID_様子_レンハ_後_親子_子,"Ne vous inquiétez pas, mon enfant.
Tout ira bien pour moi.","Ruhig, mein Kind. Mir geht es gut.","Sto bene, non c'è nulla di cui preoccuparsi.","Tranquilo, hijo. No te preocupes.","Peace, child. I will be all right.","Barış, çocuğum. İyi olacağım."
8,MID_様子_レンハ_前_恋人,"Vous êtes charmante, $Np...
Je ne laisserai personne dire le contraire.","Du bist reizend, $Np, und lass
keinen Mann etwas anderes sagen.","Sei incantevole, $Np,
nessuno può metterlo in dubbio.","Estás encantadora, $Np, y que
nadie lo ponga en duda jamás.","You are lovely, $Np, and let no
other man who looks upon you question it.","Çok güzelsin, $Np.
Sana bakan hiçbir erkek aksini söylemesin."
9,MID_様子_レンハ_後_恋人,"Vos paroles sont douces à mes oreilles...
Je tiens beaucoup à vous, ma bien-aimée.","Wenn du so für mich empfindest, bin ich
der glücklichste Mann auf der Welt.","Se pensi questo di me, allora sono un
uomo fortunato, perché l'incanto sei tu.","Si eso es lo que piensas, soy de veras
afortunado, amada mía.","If you see me that way, then I am fortunate,
for you are the lovely one to behold.","Beni öyle görüyorsan şanslıyım; asıl
görmeye değer olan sensin."
