index,label,English,French,German,Italian,Spanish,Turkish
0,Title_00,Ninja,Ninja,Ninja,Nìngia,Ninja,Ninja
1,Title_01,Hermit Crab,Bernard-l'hermite,Schneckenrennen,Paguro,Cangrejo ermitaño,Keşiş Yengeci
2,Title_02,Hat,Chapeau,Der Hut,Cappello,Sombrero,Şapka
3,Title_03,True Love,Vrai amour,Entführung der Braut,Vero amore,Amor verdadero,Gerçek Aşk
4,Title_04,Falling,Chute,Der tiefe Fall,Caduta libera,Caída libre,Düşüş
5,Title_05,{TAG_1}Seaweed,Algues,Tief see Tang,Alghe,Alga,{TAG_1}Deniz Yosunu
6,Title_06,Muscles,Muscles,Sportlich sportlich!,Muscoli,Músculos,Kaslar
7,Title_07,Sea Monster,Monstre marin,Das Tief see Ungeheuer,Mostri marini,Monstru o marino,Deniz Canavarı
8,Title_08,Hide and Seek,Cache-cache,Das Versteckspiel,Nascondìno,Escondite,Saklambaç
9,Title_09,Royalty,Noblesse,Siebenerrunde,Aristocratzìa,Realeza,Asalet
10,Title_10,Sneeze,Éternuement,Gesundheit!!,Starnuto,Estornudo,Hapşırık
11,Title_11,Red String,Fil rouge,Den Faden gefunden!,Filo rosso,Hilo rojo,Kırmızı İp
12,Title_13,Ritual,Rituel,Das Ritu ahl,Rituale,Ritual,Ritüel
13,Title_14,Giant,Géant,Die Augen eines Riesen,Gigante,Gigante,Dev
14,Title_15,Factory Visit,Visite d'usine,In der Farben-Fabrik,Visita alla fabbrica,Visita a la fábrica,Fabrika Gezisi
15,Title_16,Rustly Hair,Cheveux en pagaille,Schüttel-Schopf,Chioma fluente,Pelo alborotado,Dağınık Saçlar
16,Title_17,{TAG_1}Transform,Transformation,Superhelden-Saga,Trasformazione,Transformación,{TAG_1}Dönüşüm
17,Title_18,Mirror,Miroir,Der Fremde im Spiegel,Specchio,Espejo,Ayna
18,Title_19,Rucksack,Sac à dos,Der Waldlauf,Zainetto,Mochila,Sırt Çantası
19,Title_20,Drive,Promenade en voiture,Gespräche im Auto,Guida,Coche,Araba Gezisi
20,Title_21,Stick Figure,Bonhomme allumette,Das Strichmännchen,Omino stilizzato,Figura de palo,Çöp Adam
21,Title_22,Door,Porte,Am seidenen Faden,Porta,Puerta,Kapı
22,Title_23,Hiding,Cachette,Versteckspieler,Nascondiglio,Como ratones,Saklanma
23,Title_24,Table,Table,Im Kreis laufen,Tavolo,Mesa,Masa
24,Title_25,Trap,Piège,In der Falle!,Caduta,Trampa,Tuzak
25,Title_26,Unbelievable,Pas croyable,Unglaubliche Geschichten,Incredibile,¡Qué me dices!,İnanılmaz
