index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,38,&,0,22,26,1,1,0,11,8,000000
1,39,',0,0,136,8,7,0,9,8,000000
2,40,(,0,26,0,8,13,0,10,8,000000
3,41,),0,35,0,8,13,0,10,8,000000
4,42,*,0,0,52,8,12,0,9,8,000000
5,43,+,0,94,24,8,9,0,6,8,000000
6,44,",",0,81,57,8,5,0,2,8,000000
7,45,-,0,112,22,8,7,0,4,8,000000
8,46,.,0,49,90,8,5,0,2,8,000000
9,47,/,0,53,0,8,12,0,9,8,000000
10,48,0,0,22,28,8,12,0,9,8,000000
11,49,1,0,27,54,8,11,0,8,8,000000
12,50,2,0,44,14,8,12,0,9,8,000000
13,51,3,0,31,28,8,12,0,9,8,000000
14,52,4,0,71,13,8,11,0,8,8,000000
15,53,5,0,18,67,8,11,0,8,8,000000
16,54,6,0,9,51,8,12,0,9,8,000000
17,55,7,0,58,26,8,11,0,8,8,000000
18,56,8,0,62,0,8,12,0,9,8,000000
19,57,9,0,18,41,8,12,0,9,8,000000
20,58,:,0,107,12,8,9,0,6,8,000000
21,59,;,0,81,37,8,9,0,6,8,000000
22,60,<,0,18,103,8,9,0,6,8,000000
23,61,=,0,54,81,8,8,0,5,8,000000
24,62,>,0,45,76,8,9,0,6,8,000000
25,63,?,0,0,65,8,12,0,9,8,000000
26,64,@,0,53,13,8,12,0,9,8,000000
27,65,A,0,9,77,8,11,0,8,8,000000
28,66,B,0,45,40,8,11,0,8,8,000000
29,67,C,0,40,27,8,12,0,9,8,000000
30,68,D,0,89,0,8,11,0,8,8,000000
31,69,E,0,36,54,8,11,0,8,8,000000
32,70,F,0,0,90,8,11,0,8,8,000000
33,71,G,0,27,41,8,12,0,9,8,000000
34,72,H,0,80,12,8,11,0,8,8,000000
35,73,I,0,27,66,8,11,0,8,8,000000
36,74,J,0,67,26,8,11,0,8,8,000000
37,75,K,0,54,40,8,11,0,8,8,000000
38,76,L,0,18,79,8,11,0,8,8,000000
39,77,M,0,45,52,8,11,0,8,8,000000
40,78,N,0,9,89,8,11,0,8,8,000000
41,79,O,0,71,0,8,12,0,9,8,000000
42,80,P,0,98,0,8,11,0,8,8,000000
43,81,Q,0,18,54,8,12,0,9,8,000000
44,82,R,0,89,12,8,11,0,8,8,000000
45,83,S,0,9,64,8,12,0,9,8,000000
46,84,T,0,36,66,8,11,0,8,8,000000
47,85,U,0,0,102,8,11,0,8,8,000000
48,86,V,0,76,25,8,11,0,8,8,000000
49,87,W,0,63,38,8,11,0,8,8,000000
50,88,X,0,27,78,8,11,0,8,8,000000
51,89,Y,0,54,52,8,11,0,8,8,000000
