index,label,English,French,German,Italian,Spanish,Turkish
0,hd_normal_00,I'd like a new hat.,J'ai envie d'un nouveau chapeau.,Ich brauche einen neuen Hut.,Vorrei un cappello nuovo...,Me gustaría ponerme un sombrero nuevo.,Yeni bir şapka istiyorum.
1,hd_index_00,I'd like {TAG_1} {TAG_2}{TAG_3}{TAG_4}.,"J'aimerais bien avoir
{TAG_1}{TAG_2}{TAG_3}{TAG_4}.",Ich möchte {TAG_1} {TAG_2}{TAG_3}{TAG_4}!,"Mi piacerebbe avere
{TAG_1}{TAG_2}{TAG_3}{TAG_4}.",Quiero {TAG_1} {TAG_2}{TAG_3}{TAG_4}.,{TAG_1}{TAG_2}{TAG_3}{TAG_4} istiyorum.
2,hd_warm_00,I could use a warm hat.,J'ai besoin d'un chapeau chaud.,"Ich könnte einen warmen
Hut gebrauchen.","Un cappello imbottito
potrebbe tornarmi utile.","Me gustaría ponerme un sombrero
que abrigue bien.",Sıcak tutan bir şapka iyi olurdu.
3,hd_showy_00,I'd like a flashy hat.,J'ai envie d'un chapeau voyant.,"Ich brauche einen neuen Hut. Einen
richtig schön schrillen!",Mi piacerebbe un cappello vistoso.,"Me gustaría ponerme
un sombrero llamativo.",Gösterişli bir şapka istiyorum.
4,hd_quiet_00,I'm after a plain-looking hat.,Je voudrais un chapeau tout simple.,"Ich möchte einen neuen Hut.
Einen möglichst schlichten...",Vorrei un cappello semplice.,"Me apetece ponerme
un sombrero sencillo.",Sade görünümlü bir şapka arıyorum.
5,hd_formal_00,I need a formal hat.,"J'ai besoin d'un chapeau à mettre
pour les grandes occasions.",Ich brauche einen formellen Hut.,"Un cappello formale farebbe
al caso mio.",Necesito un sombrero formal.,Resmî bir şapkaya ihtiyacım var.
6,hd_casual_00,I'd like a casual-looking hat.,"J'ai envie d'un chapeau qui fasse
décontracté.","Ich möchte einen lässigen Hut, den ich
in meiner Freizeit tragen kann!",Vorrei un cappello dal look casual!,"Me gustaría ponerme
un sombrero informal.",Günlük bir şapka istiyorum.
7,hd_cute_00,I've got to have a cute hat.,J'aimerais bien un chapeau mignon.,"Ich möchte gerne einen schönen,
neuen, niedlichen Hut.",Vorrei un cappello carino!,Necesito un sombrero bonito.,Sevimli bir şapka istiyorum.
8,hd_cool_00,I want a cool hat.,J'ai envie d'un chapeau classe.,"Ich hätte gerne einen
richtig coolen Hut...","Mi piacerebbe un cappello
trendy...",Quiero un sombrero estiloso.,Havalı bir şapka istiyorum.
9,hd_frumpy_00,I'd like something ugly on my head.,J'ai envie d'un chapeau ringard.,"Ich hätte gerne einen Hut. Darf auch
ruhig ein richtig uncooler sein.","Mi piacerebbe avere un cappello
fuori moda!","Me gustaría ponerme
un sombrero hortera.","Kafama şöyle zevksiz
bir şey takmak istiyorum."
10,hd_eccentric_00,I'd like something unique for my head.,J'aimerais bien un chapeau excentrique.,"Ich hätte gern einen Hut. Am liebsten
einen richtig schön exzentrischen!","La mia testa merita un cappello
mai visto prima!",Necesito un sombrero original.,Kafama özgün bir şey istiyorum.
11,hd_safe_00,"I'd like to try on a hat that's plain
and safe.",J'ai besoin d'un chapeau passe-partout.,"Ich hätte gern einen Hut. Irgendein
Basic-Teil, das zu allem passt.","Voglio un cappello che non dia
troppo nell'occhio...","Me gustaría ponerme un sombrero
simple, pero modernillo.",Sade ve risksiz bir şapka denemek istiyorum.
12,hd_sports_00,I need a hat I can use for sports.,"J'ai besoin d'un chapeau que je pourrai
utiliser quand je fais du sport.","Ich will einen neuen, sportlichen Hut.","Mi serve un cappello da indossare
mentre faccio sport...","Me gustaría ponerme un sombrero
para hacer deporte.","Spor yaparken kullanabileceğim
bir şapka istiyorum."
13,hd_ge_normal_00,I want something to wear on my head.,"J'aimerais juste un truc à porter
sur la tête.","Ich brauche etwas Neues für meinen
Kopf. Einen Hut oder so.",Vorrei un copricapo...,"Me gustaría ponerme algo que me
cubra la cabeza.",Kafama takacak bir şey istiyorum.
14,hd_ge_cute_00,I need something cute for my head.,"J'ai envie d'un truc mignon à porter
sur la tête.","Ich wünsche mir einen neuen Hut.
Einen richtig schönen, niedlichen Hut!","Mi serve un cappello o qualcosa
di carino per la mia testa...","Necesito algo bonito para ponerme
en la cabeza.",Kafama sevimli bir şey istiyorum.
15,hd_ge_eccentric_00,"I'm after something strange to put
on my head.","J'aimerais bien quelque chose
d'excentrique à porter sur la tête.","Ich möchte einen Hut. Ich nähme auch
einen von der merkwürdigen Sorte!","Voglio qualcosa di strano
da mettermi in testa!","Me gustaría ponerme algo excéntrico
en la cabeza.",Kafama takacak tuhaf bir şey arıyorum.
16,hd_ac_normal_00,I need some kind of hair accessory.,"J'ai besoin d'un accessoire pour
cheveux.","Ich bräuchte ein neues
Haar-Accessoire!","Mi serve un accessorio
per i capelli...","Me gustaría ponerme
un accesorio para el pelo.",Bir saç aksesuarına ihtiyacım var.
17,hd_ac_cute_00,I want a cute hair accessory.,"J'aimerais bien un accessoire pour
cheveux qui soit mignon.","Ich hätte so gerne ein richtig niedliches,
neues Haar-Accessoire...","Voglio un accessorio carino
per i capelli...","Me gustaría ponerme un accesorio
bonito para el pelo.",Sevimli bir saç aksesuarı istiyorum.
