index,label,English,French,German,Italian,Spanish,Turkish
0,re_friend_00,"I want to be friends
with {TAG_1}{TAG_2}{TAG_3}.","J'aimerais bien devenir ami{TAG_1}
avec {TAG_2}{TAG_3}{TAG_4}.","Ich wäre so gern mit
{TAG_1}{TAG_2} {TAG_3}befreundet...","Voglio fare amicizia
con {TAG_1}{TAG_2}{TAG_3}.","Me gustaría ser amig{TAG_1}
de {TAG_2}{TAG_3}{TAG_4}.",{TAG_1}{TAG_2}{TAG_3} ile arkadaş olmak istiyorum.
1,re_friend_01,"What should I do to get along
well with {TAG_1}?","De quelle manière devrais-je lui parler
pour devenir son ami{TAG_1} ?","Weißt du, wie ich mich am besten
geben soll, wenn ich mit {TAG_1} rede?","Cosa dovrei dire per andare
d'accordo con {TAG_1}?",¿Qué puedo hacer para caerle bien?,{TAG_1} ile iyi anlaşmak için ne yapmalıyım?
2,re_friend_02,"What should I talk about
to get along with {TAG_1}?","Quel genre de sujets devrais-je aborder
pour devenir son ami{TAG_1} ?","Ich würde mich so gern mit {TAG_1}
unterhalten! Nur worüber?","Cosa dovrei dire per rompere
il ghiaccio con {TAG_1}?",¿De qué puedo hablar para caerle bien?,{TAG_1} ile iyi anlaşmak için ne konuşmalıyım?
3,re_friend_03,"Thanks for the advice! I'll go and
talk to {TAG_1}.","Merci pour vos conseils ! Je vais aller
lui parler de ce pas !","Danke für den Tipp! Ich gehe sofort
los und rede mit {TAG_1}!","Grazie del consiglio! Vado subito
a parlar{TAG_1}.","¡Gracias por ayudarme!
Voy a hablar con {TAG_1}.",Tavsiye için sağ ol! Gidip {TAG_1} ile konuşacağım.
4,re_friend_04,"We're friends now, thanks to you!","Merci beaucoup ! Grâce à vous,
j'ai pu devenir son ami{TAG_1} !","Dank dir konnten wir uns miteinander
anfreunden! Vielen Dank!","Abbiamo fatto amicizia!
Grazie dell'aiuto!","¡Muchas gracias! Si no fuera por ti,
no podría ser su amig{TAG_1}.",Sayende artık arkadaşız!
5,re_friend_05,We're not quite friends yet...,"Je n'ai pas pu devenir son ami{TAG_1}
pour le moment...","Richtig Freundschaft geschlossen
haben wir leider nicht...","Forse è un po' troppo presto
per cercare di fare amicizia...","De momento no me he podido hacer
{TAG_1}...",Henüz tam arkadaş olamadık...
6,re_friend_sel_00,I'll introduce you{TAG_1}Not right now,Je m'en occupe !{TAG_1}Pas maintenant...,Ich stelle dich vor!{TAG_1}Keine Zeit.,Ci penso io{TAG_1}Non adesso,Presentar{TAG_1}Ahora no,Sizi tanıştırayım{TAG_1}Şimdi olmaz
7,re_friend_sel_01,Be flattering{TAG_1}Try to listen{TAG_2}Keep it brief{TAG_3}Be polite,Complimente-l{TAG_1}{TAG_2}Écoute-l{TAG_3}{TAG_4}Ne parle pas trop{TAG_5}Sois poli{TAG_6},Bewundernd{TAG_1}Aufmerksam{TAG_2}Zuverlässig{TAG_3}Höflich,Elogia{TAG_1}{TAG_2}Ascolta{TAG_3}{TAG_4}Sii breve{TAG_5}Sii gentile,Hacer cumplidos{TAG_1}Escuchar{TAG_2}No hablar mucho{TAG_3}Ser cortés,İltifat et{TAG_1}Dinlemeye çalış{TAG_2}Kısa tut{TAG_3}Kibar ol
8,re_friend_sel_02,Something funny{TAG_1}Gossip{TAG_2}Deep thoughts{TAG_3}Something serious,Marrants{TAG_1}Légers{TAG_2}Intellectuels{TAG_3}Sérieux,Lustiges{TAG_1}Gerüchteküche{TAG_2}Intellektuelles{TAG_3}Ernsthaftes,Barzelletta{TAG_1}Pettegolezzi{TAG_2}Pensieri profondi{TAG_3}Discorso serio,De algo divertido{TAG_1}De algún cotilleo{TAG_2}De algo intelectual{TAG_3}De algo serio,Komik bir şey{TAG_1}Dedikodu{TAG_2}Derin konular{TAG_3}Ciddi bir şey
10,re_friend_wanted_00,"I heard that {TAG_1}{TAG_2}
{TAG_3}wants to be friends.","{TAG_1}{TAG_2}{TAG_3} m'a dit qu'{TAG_4}
voulait être mon ami{TAG_5}.","Ich habe gehört, dass {TAG_1}{TAG_2}{TAG_3}
mit mir befreundet sein will!","Ho saputo che {TAG_1}{TAG_2}
{TAG_3}vuole fare amicizia con me.","Creo que {TAG_1}{TAG_2}
{TAG_3}quiere ser {TAG_4}.",{TAG_1}{TAG_2} {TAG_3}arkadaş olmak istiyormuş diye duydum.
11,re_friend_wanted_y_00,I should go and find out.,Je vais aller lui parler.,"Vielleicht sollte ich einmal
mit {TAG_1} reden.",Allora andrò a vedere...,"Vale, voy a hablar con {TAG_1}.",Gidip bir bakmalıyım.
12,re_friend_wanted_y_s_00,"We became friends because we
really hit it off.","On s'entend vraiment bien.
Je veux bien être son ami{TAG_1}.","Wir haben uns wunderbar verstanden
und sind jetzt miteinander befreundet!","È stata una chiacchierata piacevole.
Abbiamo fatto subito amicizia!","Hemos hecho muy buenas migas,
así que me he hecho {TAG_1}.",Çok iyi anlaştığımız için arkadaş olduk.
13,re_friend_wanted_y_f_00,"We didn't really click so we didn't
become friends this time.","On ne s'entend pas très bien. Je ne
deviendrai pas son ami{TAG_1} cette fois-ci.","Irgendwie haben wir uns nicht so recht
miteinander anfreunden können.","Non abbiamo molte cose in comune...
Per questa volta lasciamo perdere.","Parece que no tenemos mucho en común.
Hoy no me he podido hacer {TAG_1}.","Pek kaynaşamadık, o yüzden
bu sefer arkadaş olamadık."
14,re_friend_wanted_n_00,Really? I see.,Ah bon ? Je vois...,Wirklich? Na gut.,"Non importa.
Sarà per un'altra volta.","¿Tú crees? Bueno, igual tienes razón.",Gerçekten mi? Anladım.
15,re_friend_wanted_sel_00,Sounds great!{TAG_1}Don't do it!,Pourquoi pas ?{TAG_1}Mieux vaut éviter,Wie schön!{TAG_1}Bloß nicht...,Per me va bene{TAG_1}Meglio di no,¡Qué bien!{TAG_1}Mejor no...,Harika fikir!{TAG_1}Yapma!
17,re_friend_cupid_00,"I'd like to introduce {TAG_1}{TAG_2}
{TAG_3}to somebody...{TAG_4}How about {TAG_5}{TAG_6}{TAG_7}?","J'aimerais présenter quelqu'un
à {TAG_1}{TAG_2}{TAG_3}...{TAG_4}Que pensez-vous
d{TAG_5}{TAG_6}{TAG_7}{TAG_8} ?","Ich will {TAG_1}{TAG_2}{TAG_3} mit
jemandem bekannt machen.{TAG_4}Was meinst du? Sollte ich {TAG_5}
{TAG_6}{TAG_7} {TAG_8}vorstellen?","Vorrei presentare {TAG_1}{TAG_2}
{TAG_3}a qualcuno...{TAG_4}Che ne pensi di {TAG_5}{TAG_6}{TAG_7}?","Me gustaría que {TAG_1}{TAG_2}
{TAG_3}conociese a alguien nuevo.{TAG_4}¿Y si le presento a {TAG_5}{TAG_6}{TAG_7}?",{TAG_1}{TAG_2} {TAG_3}birisiyle tanıştırmak istiyorum...{TAG_4}{TAG_5}{TAG_6}{TAG_7} nasıl?
