index,codepoint,char,page,x,y,width,height,byte10,byte11,byte12,tail_hex
0,38,&,0,38,43,1,1,0,21,14,000000
1,39,',0,105,123,14,12,0,17,14,000000
2,40,(,0,46,0,14,22,0,18,14,000000
3,41,),0,61,0,14,22,0,18,14,000000
4,42,*,0,0,132,14,20,0,16,14,000000
5,43,+,0,196,0,14,16,0,12,14,000000
6,44,",",0,84,175,14,8,0,4,14,000000
7,45,-,0,84,165,14,9,0,8,14,000000
8,46,.,0,220,40,14,7,0,4,14,000000
9,47,/,0,0,88,14,21,0,17,14,000000
10,48,0,0,91,0,14,21,0,17,14,000000
11,49,1,0,45,90,14,20,0,16,14,000000
12,50,2,0,38,46,14,21,0,17,14,000000
13,51,3,0,76,23,14,21,0,17,14,000000
14,52,4,0,136,0,14,20,0,16,14,000000
15,53,5,0,30,112,14,20,0,16,14,000000
16,54,6,0,53,46,14,21,0,17,14,000000
17,55,7,0,121,22,14,20,0,16,14,000000
18,56,8,0,15,87,14,21,0,17,14,000000
19,57,9,0,106,0,14,21,0,17,14,000000
20,58,:,0,75,147,14,15,0,11,14,000000
21,59,;,0,120,103,14,15,0,11,14,000000
22,60,<,0,45,153,14,16,0,12,14,000000
23,61,=,0,226,0,14,14,0,10,14,000000
24,62,>,0,90,108,14,16,0,12,14,000000
25,63,?,0,30,68,14,21,0,17,14,000000
26,64,@,0,0,110,14,21,0,17,14,000000
27,65,A,0,75,67,14,20,0,16,14,000000
28,66,B,0,98,44,14,20,0,16,14,000000
29,67,C,0,91,22,14,21,0,17,14,000000
30,68,D,0,15,131,14,20,0,16,14,000000
31,69,E,0,60,89,14,20,0,16,14,000000
32,70,F,0,151,0,14,20,0,16,14,000000
33,71,G,0,45,68,14,21,0,17,14,000000
34,72,H,0,0,153,14,20,0,16,14,000000
35,73,I,0,45,111,14,20,0,16,14,000000
36,74,J,0,136,21,14,20,0,16,14,000000
37,75,K,0,90,66,14,20,0,16,14,000000
38,76,L,0,113,44,14,20,0,16,14,000000
39,77,M,0,30,133,14,20,0,16,14,000000
40,78,N,0,75,88,14,20,0,16,14,000000
41,79,O,0,68,45,14,21,0,17,14,000000
42,80,P,0,166,0,14,20,0,16,14,000000
43,81,Q,0,30,90,14,21,0,17,14,000000
44,82,R,0,15,152,14,20,0,16,14,000000
45,83,S,0,121,0,14,21,0,17,14,000000
46,84,T,0,60,110,14,20,0,16,14,000000
47,85,U,0,105,65,14,20,0,16,14,000000
48,86,V,0,151,21,14,20,0,16,14,000000
49,87,W,0,128,43,14,20,0,16,14,000000
50,88,X,0,0,174,14,20,0,16,14,000000
51,89,Y,0,45,132,14,20,0,16,14,000000
52,90,Z,0,90,87,14,20,0,16,14,000000
53,91,[,0,23,41,14,22,0,18,14,000000
54,92,\,0,15,109,14,21,0,17,14,000000
55,93,],0,0,65,14,22,0,18,14,000000
56,94,^,0,0,195,14,18,0,16,14,000000
57,95,_,0,61,200,14,3,0,255,14,000000
58,96,`,0,257,0,14,9,0,17,14,000000
59,97,a,0,135,64,14,16,0,12,14,000000
60,98,b,0,181,0,14,20,0,16,14,000000
61,99,c,0,158,42,14,16,0,12,14,000000
62,100,d,0,30,154,14,20,0,16,14,000000
63,101,e,0,181,21,14,16,0,12,14,000000
64,102,f,0,75,109,14,20,0,16,14,000000
65,103,g,0,30,175,14,16,0,12,14,000000
66,104,h,0,120,65,14,20,0,16,14,000000
67,105,i,0,143,42,14,20,0,16,14,000000
68,106,j,0,166,21,14,20,0,16,14,000000
69,107,k,0,15,173,14,20,0,16,14,000000
70,108,l,0,60,131,14,20,0,16,14,000000
71,109,m,0,75,130,14,16,0,12,14,000000
72,110,n,0,120,86,14,16,0,12,14,000000
73,111,o,0,15,194,14,16,0,12,14,000000
74,112,p,0,105,106,14,16,0,12,14,000000
75,113,q,0,211,0,14,16,0,12,14,000000
76,114,r,0,60,152,14,16,0,12,14,000000
77,115,s,0,196,17,14,16,0,12,14,000000
78,116,t,0,105,86,14,19,0,15,14,000000
79,117,u,0,0,214,14,16,0,12,14,000000
80,118,v,0,150,63,14,16,0,12,14,000000
81,119,w,0,45,170,14,16,0,12,14,000000
82,120,x,0,90,125,14,16,0,12,14,000000
83,121,y,0,173,42,14,16,0,12,14,000000
84,122,z,0,135,81,14,16,0,12,14,000000
85,123,{,0,46,23,14,22,0,18,14,000000
