file,label,index,English,French,German,Spanish,Italian,Dutch,Turkish,Notes,ObservedMaxLines,ObservedMaxLineChars,ObservedMinTotalChars,ObservedMaxTotalChars
hundred_02_graphic.msbt,mgh_cmn_30,0,Round,manche,Runde,Ronda,turno,ronde,Tur,,1,6,5,6
hundred_02_graphic.msbt,mgm002_rd,1,Round,manche,Runde,Ronda,turno,ronde,Tur,,1,6,5,6
hundred_NFC_msg.msbt,qst_nfc_othrs,0,"You received coins
from [n0]!",[n0] vous a offert des pièces !,"Du hast Münzen von
[n0] erhalten!",¡[n0] te ha dado monedas!,"Hai ottenuto delle monete
da [n0]!","Je hebt munten gekregen van
[n0]!","[n0]’dan
jeton aldın!",,2,31,25,34
hundred_NFC_msg.msbt,nfc_sys_11,1,"An infrared communication error
occurred. Please restart the system
and try again. If the problem persists,
please visit support.nintendo.com.","Une erreur de communication
infrarouge est survenue. Éteignez
la console, puis réessayez.
Si le problème persiste, visitez
le site : support.nintendo.com","Fehler bei der Infrarotverbindung.
Bitte schalte das System aus und
wieder ein und versuche es dann
erneut.
Wenn das Problem bestehen bleibt,
besuche bitte support.nintendo.com.","Error de comunicación por infrarrojos.
Apaga la consola y vuelve
a intentarlo.
Si el problema no se soluciona,
visita support.nintendo.com.","Si è verificato un errore durante la
comunicazione a infrarossi. Riavvia
la console e riprova.
Se il problema persiste, visita il sito
support.nintendo.com","Er is een fout opgetreden bij de
infraroodcommunicatie. Zet je
systeem uit en weer aan en
probeer het opnieuw.
Kijk op support.nintendo.com als
dit probleem zich blijft voordoen.","Kızılötesi iletişim hatası oluştu.
Cihazı yeniden başlatıp tekrar dene.
Sorun sürerse support.nintendo.com
adresini ziyaret et.",,6,39,139,178
hundred_NFC_msg.msbt,nfc_sys_12,2,"This amiibo is not supported.
Remove it from the NFC area.","Cet amiibo n'est pas compatible.
Retirez-le de la zone NFC.","Dieses amiibo wird nicht unterstützt.
Bitte entferne es vom NFC-Feld.","Este amiibo no es compatible.
Retíralo del área NFC.","Questo amiibo non è compatibile.
Rimuovilo dall'area NFC.","Deze amiibo wordt niet ondersteund.
Verwijder de amiibo van de NFC-sensor.","Bu amiibo desteklenmiyor.
NFC alanından kaldır.",,2,38,52,74
hundred_NFC_msg.msbt,nfc_sys_13,3,"This is not an amiibo.
Remove it from the NFC area.","Cet objet n'est pas un amiibo.
Retirez-le de la zone NFC.","Dieses Objekt ist kein amiibo.
Bitte entferne es vom NFC-Feld.","Este objeto no es un amiibo.
Retíralo del área NFC.","Questo non è un amiibo.
Rimuovilo dall'area NFC.","Dit is geen amiibo.
Verwijder het van de NFC-sensor.","Bu bir amiibo değil.
NFC alanından kaldır.",,2,32,48,62
hundred_NFC_msg.msbt,nfc_sys_14,4,"This amiibo is not supported in this mode.
Remove it from the NFC area.","Cet amiibo n'est pas compatible avec ce mode.
Retirez-le de la zone NFC.","Dieses amiibo wird in diesem Modus nicht
unterstützt.
Bitte entferne es vom NFC-Feld.","Este amiibo no es compatible con este
modo de juego. Retíralo del área NFC.","Questo amiibo non è compatibile con
questa modalità. Rimuovilo dall'area NFC.","Deze amiibo wordt niet ondersteund
in deze spelstand.
Verwijder de amiibo van de NFC-sensor.","Bu amiibo bu modda desteklenmiyor.
NFC alanından kaldır.",,3,45,71,92
hundred_NFC_msg.msbt,nfc_sys_15,5,"This amiibo has been tapped already.
You can use it again after one day.","Vous avez déjà scanné cet amiibo
aujourd'hui. Vous ne pouvez le
scanner qu'une fois par jour.","Dieses amiibo wurde bereits eingelesen.
Du kannst es nach Ablauf eines Tages erneut
verwenden.","Este amiibo ya se ha escaneado. Tienes
que esperar un día para volver a utilizarlo.","Hai già usato questo amiibo.
Potrai usarlo nuovamente fra un giorno.","Deze amiibo is al gebruikt.
Je kunt de amiibo na een dag
opnieuw gebruiken.","Bu amiibo zaten okutuldu.
Bir gün sonra yeniden kullanabilirsin.",,3,44,68,94
hundred_NFC_msg.msbt,nfc_sys_16,6,You already have this amiibo minigame pack.,"Vous avez déjà le pack de
mini-jeux de cet amiibo.","Das Minispiel-Paket dieses amiibo hast du
bereits erhalten.","Ya tienes la caja de minijuegos
de este amiibo.",Hai già questo pacchetto minigiochi amiibo.,Je hebt dit amiibo-minigame-pakket al.,Bu amiibo mini oyun paketine zaten sahipsin.,,2,43,38,59
hundred_NFC_msg.msbt,nfc_sys_11b,7,"Failed to communicate with the NFC
reader/writer. Please align the NFC
reader/writer to the infrared
transceiver of the system.","La communication avec le lecteur/
enregistreur NFC a échoué.
Assurez-vous que les ports
infrarouges du lecteur/enregistreur
NFC et de la console sont bien
alignés.","Verbindung zum NFC-Lese-/Schreib-
gerät fehlgeschlagen.
Bitte platziere es so, dass es auf
den Infrarot-Sende-Empfänger deines
Systems zeigt.","No se ha podido establecer la
comunicación con el lector/grabador
de NFC para Nintendo 3DS.
Colócalo frente al transceptor
de infrarrojos de la consola.","Impossibile comunicare con il
lettore/scrittore NFC. Posiziona
il lettore/scrittore NFC di fronte al
modulo a infrarossi della console.","Er is een communicatiefout met de
NFC-lezer/-schrijver opgetreden.
Zorg dat de infraroodontvanger op
die van je systeem is gericht.","NFC okuyucu/yazıcıyla iletişim kurulamadı.
Okuyucu/yazıcıyı cihazın kızılötesi
alıcı-vericisiyle hizala.",,6,37,127,163
hundred_NFC_msg.msbt,qst_nfc_ktbo,8,"You received coins
from Koopa Troopa!",Koopa vous a offert des pièces !,"Du hast Münzen von
Koopa erhalten!",¡Koopa te ha dado monedas!,Hai ottenuto delle monete da Koopa!,"Je hebt munten gekregen van
Koopa Troopa!","Koopa Troopa’dan
jeton aldın!",,2,35,26,41
hundred_NFC_msg.msbt,nfc_mn_00,9,"Get your Goomba and Koopa Troopa
amiibo figures ready to tap!","Préparez-vous à scanner vos
amiibo Goomba et Koopa !","Halte dein Gumba- oder Koopa-amiibo
zum Einlesen bereit!","¡Ten listos tus amiibo de Koopa y Goomba
para escanear!","Assicurati che i tuoi amiibo di Goomba
e di Koopa siano pronti a essere usati!","Houd je Goomba- en Koopa Troopa-amiibo
klaar om te gebruiken!","Goomba ve Koopa Troopa
amiibo figürlerini hazırla!",,2,40,52,78
hundred_NFC_msg.msbt,nfc_cancel,10,[bb] Cancel,[bb] Quitter,[bb] Abbrechen,[bb] Cancelar,[bb] Annulla,[bb] Terug,[bb] İptal,,1,14,10,14
