built /mnt/data/bloodstained_tr_v4_aligned/luma/titles/00040000001D3C00/romfs/GraphicText00.osbctr size 16281
patched nodes 79
(15, 'BİR TUŞA BAS', 14, 10, 0, 128.0, 96.0, 8.0)
(16, 'BAŞLA', 9, 5, 0, 80.0, 40.0, 8.0)
(17, 'PATRON', 8, 6, 0, 72.0, 48.0, 8.0)
(18, 'AYARLAR', 7, 7, 0, 56.0, 56.0, 8.0)
(22, 'TİTREŞİM', 9, 8, 0, 72.0, 64.0, 8.0)
(23, 'HD TİTRE', 8, 7, 0, 72.0, 64.0, 8.0)
(24, 'DİL', 8, 3, 0, 64.0, 24.0, 8.0)
(25, 'KIYAFET DEĞİŞ', 13, 12, 0, 112.0, 104.0, 8.0)
(26, 'DOSYA SEÇ', 10, 8, 0, 88.0, 72.0, 8.0)
(27, 'DURAK', 5, 5, 0, 40.0, 40.0, 8.0)
(28, 'AYIN LANETİ', 14, 10, 0, 136.0, 88.0, 8.0)
(29, 'OYUN SONU', 8, 8, 0, 72.0, 72.0, 8.0)
(34, 'CAN', 4, 3, 0, 32.0, 24.0, 8.0)
(35, 'HAK', 5, 3, 0, 40.0, 24.0, 8.0)
(36, 'PUAN', 5, 4, 0, 40.0, 32.0, 8.0)
(37, 'SİLAH', 6, 5, 0, 48.0, 40.0, 8.0)
(38, 'KOPYA', 4, 5, 0, 32.0, 32.0, 6.0)
(39, 'SİL', 6, 3, 0, 48.0, 24.0, 8.0)
(40, 'BÖLÜM', 5, 5, 0, 40.0, 40.0, 8.0)
(41, 'NORMAL', 6, 6, 0, 48.0, 48.0, 8.0)
(42, 'KÂBUS', 9, 5, 0, 72.0, 40.0, 8.0)
(43, 'NİHAİ', 8, 5, 0, 64.0, 40.0, 8.0)
(44, 'MOD', 4, 3, 0, 32.0, 24.0, 8.0)
(45, 'RAHAT', 6, 5, 0, 48.0, 40.0, 8.0)
(46, 'USTA', 7, 4, 0, 56.0, 32.0, 8.0)
(47, 'STİL', 5, 4, 0, 40.0, 32.0, 8.0)
(48, 'SÜRE', 4, 4, 0, 32.0, 32.0, 8.0)
(49, 'BOŞ', 6, 3, 0, 56.0, 24.0, 8.0)
(50, 'SON', 3, 3, 0, 24.0, 24.0, 8.0)
(51, 'ÇIKIŞ', 8, 5, 0, 72.0, 40.0, 8.0)
(52, 'DEVAM', 8, 5, 0, 64.0, 40.0, 8.0)
(53, 'STİL DEĞİŞ', 11, 9, 0, 96.0, 80.0, 8.0)
(54, 'YÖN', 4, 3, 0, 32.0, 24.0, 8.0)
(55, 'SALDIR', 6, 6, 0, 48.0, 48.0, 8.0)
(56, 'ALT SİLAH', 9, 8, 0, 80.0, 72.0, 8.0)
(57, 'ATLA', 4, 4, 0, 32.0, 32.0, 8.0)
(58, 'KOŞ', 4, 3, 0, 32.0, 24.0, 8.0)
(59, 'SAĞ KARAKTER', 20, 11, 0, 176.0, 96.0, 8.0)
(60, 'SOL KARAKTER', 19, 11, 0, 168.0, 96.0, 8.0)
(61, 'ALT SİLAH KOMUTU', 16, 14, 0, 144.0, 128.0, 8.0)
(62, 'KOŞ KOMUTU', 11, 9, 0, 96.0, 80.0, 8.0)
(64, 'SALDIR', 6, 6, 3, 48.0, 48.0, 8.0)
(65, 'ATLA', 4, 4, 3, 32.0, 32.0, 8.0)
(66, 'RENK 1', 6, 5, 0, 56.0, 48.0, 8.0)
(67, 'RENK 2', 6, 5, 0, 56.0, 48.0, 8.0)
(68, 'RENK 3', 6, 5, 0, 56.0, 48.0, 8.0)
(69, 'EVET', 3, 4, 0, 24.0, 24.5, 5.5)
(70, 'HAYIR', 2, 5, 0, 16.0, 30.0, 5.5)
(71, 'AÇIK', 2, 4, 0, 16.0, 24.5, 5.5)
(72, 'KAPALI', 3, 6, 0, 24.0, 35.5, 5.5)
(73, 'JAPONCA', 8, 7, 0, 64.0, 56.0, 8.0)
(74, 'TÜRKÇE', 7, 6, 0, 56.0, 48.0, 8.0)
(101, 'TUŞ AYARI', 12, 8, 0, 104.0, 72.0, 8.0)
(75, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(76, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(77, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(78, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(79, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(80, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(81, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(82, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(83, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(84, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(85, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(86, 'YÜKLENİYOR', 10, 10, 1, 88.0, 80.0, 8.0)
(87, 'HAZIR', 6, 5, 1, 48.0, 40.0, 8.0)
(88, 'KAYDEDİYOR', 9, 10, 1, 80.0, 80.0, 8.0)
(89, 'KAYDEDİYOR', 9, 10, 1, 80.0, 80.0, 8.0)
(90, 'KAYDEDİYOR', 9, 10, 1, 80.0, 80.0, 8.0)
