"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Boss_Bowling","<MSBT:0001:0008:020010000000FFFFFFFF> Topu yuvarla","<MSBT:0001:0008:020010000000FFFFFFFF> Roll ball","<MSBT:0001:0008:020010000000FFFFFFFF> Roll ball","<MSBT:0001:0008:020010000000FFFFFFFF> Faire rouler","<MSBT:0001:0008:020010000000FFFFFFFF> Faire rouler","<MSBT:0001:0008:020010000000FFFFFFFF> Kugel rollen","<MSBT:0001:0008:020010000000FFFFFFFF> Lancia la palla","<MSBT:0001:0008:020010000000FFFFFFFF> Lanzar la bola","<MSBT:0001:0008:020010000000FFFFFFFF> Lanzar la bola","<MSBT:0001:0008:020010000000FFFFFFFF> ボールをころがす"
"Boss_Boxing","<MSBT:0001:0008:0B0010000000FFFFFFFF> Sıyrıl\n<MSBT:0001:0008:000010000000FFFFFFFF> Yumruk","<MSBT:0001:0008:0B0010000000FFFFFFFF> Dodge\n<MSBT:0001:0008:000010000000FFFFFFFF> Punch","<MSBT:0001:0008:0B0010000000FFFFFFFF> Dodge\n<MSBT:0001:0008:000010000000FFFFFFFF> Punch","<MSBT:0001:0008:0B0010000000FFFFFFFF> Esquiver\n<MSBT:0001:0008:000010000000FFFFFFFF> Frapper","<MSBT:0001:0008:0B0010000000FFFFFFFF> Esquiver\n<MSBT:0001:0008:000010000000FFFFFFFF> Frapper","<MSBT:0001:0008:0B0010000000FFFFFFFF> Ausweichen\n<MSBT:0001:0008:000010000000FFFFFFFF> Schlagen","<MSBT:0001:0008:0B0010000000FFFFFFFF> Schiva\n<MSBT:0001:0008:000010000000FFFFFFFF> Pugno","<MSBT:0001:0008:0B0010000000FFFFFFFF> Esquivar\n<MSBT:0001:0008:000010000000FFFFFFFF> Dar un puñetazo","<MSBT:0001:0008:0B0010000000FFFFFFFF> Esquivar\n<MSBT:0001:0008:000010000000FFFFFFFF> Dar un puñetazo","<MSBT:0001:0008:0B0010000000FFFFFFFF> よける\n<MSBT:0001:0008:000010000000FFFFFFFF> パンチ"
"Boss_Cook","<MSBT:0001:0008:020010000000FFFFFFFF> Malzemeleri yerleştir","<MSBT:0001:0008:020010000000FFFFFFFF> Arrange toppings","<MSBT:0001:0008:020010000000FFFFFFFF> Arrange toppings","<MSBT:0001:0008:020010000000FFFFFFFF> Arranger la décoration","<MSBT:0001:0008:020010000000FFFFFFFF> Arranger la décoration","<MSBT:0001:0008:020010000000FFFFFFFF> Garnierung auftragen","<MSBT:0001:0008:020010000000FFFFFFFF> Disponi gli ingredienti","<MSBT:0001:0008:020010000000FFFFFFFF> Colocar","<MSBT:0001:0008:020010000000FFFFFFFF> Colocar","<MSBT:0001:0008:020010000000FFFFFFFF> もりつける／ケチャップをかける"
"Boss_Dancing","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Dans et","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Dance","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Dance","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Danser","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Danser","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Tanzen","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Balla","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Bailar","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> Bailar","<MSBT:0001:0008:050010000000FFFFFFFF><MSBT:0001:0008:000010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:010010000000FFFFFFFF><MSBT:0001:0000:00004040><MSBT:0001:0008:020010000000FFFFFFFF><MSBT:0001:0008:030010000000FFFFFFFF> おどる"
"Boss_Drive","<MSBT:0001:0008:010010000000FFFFFFFF> Tekeri çevir","<MSBT:0001:0008:010010000000FFFFFFFF> Turn wheel","<MSBT:0001:0008:010010000000FFFFFFFF> Turn wheel","<MSBT:0001:0008:010010000000FFFFFFFF> Tourner le volant","<MSBT:0001:0008:010010000000FFFFFFFF> Tourner le volant","<MSBT:0001:0008:010010000000FFFFFFFF> Lenken","<MSBT:0001:0008:010010000000FFFFFFFF> Sterza","<MSBT:0001:0008:010010000000FFFFFFFF> Girar el volante","<MSBT:0001:0008:010010000000FFFFFFFF> Girar el volante","<MSBT:0001:0008:010010000000FFFFFFFF> ハンドルをまわす"
"Boss_Find","<MSBT:0001:0008:020010000000FFFFFFFF> Ekranı değiştir / Seç","<MSBT:0001:0008:020010000000FFFFFFFF> Switch screens / Select","<MSBT:0001:0008:020010000000FFFFFFFF> Switch screens / Select","<MSBT:0001:0008:020010000000FFFFFFFF> Choisir/valider","<MSBT:0001:0008:020010000000FFFFFFFF> Choisir/valider","<MSBT:0001:0008:020010000000FFFFFFFF> Bildschirm wechseln / Wählen","<MSBT:0001:0008:020010000000FFFFFFFF> Cambia schermo/Scegli","<MSBT:0001:0008:020010000000FFFFFFFF> Cambiar de pantalla / Elegir","<MSBT:0001:0008:020010000000FFFFFFFF> Cambiar de pantalla / Elegir","<MSBT:0001:0008:020010000000FFFFFFFF> がめんをきりかえる／えらぶ"
"Boss_HanaShu","<MSBT:0001:0008:050010000000FFFFFFFF> Hareket\n<MSBT:0001:0008:000010000000FFFFFFFF> Ateş Et","<MSBT:0001:0008:050010000000FFFFFFFF> Move\n<MSBT:0001:0008:000010000000FFFFFFFF> Shoot","<MSBT:0001:0008:050010000000FFFFFFFF> Move\n<MSBT:0001:0008:000010000000FFFFFFFF> Shoot","<MSBT:0001:0008:050010000000FFFFFFFF> Bouger\n<MSBT:0001:0008:000010000000FFFFFFFF> Tirer","<MSBT:0001:0008:050010000000FFFFFFFF> Bouger\n<MSBT:0001:0008:000010000000FFFFFFFF> Tirer","<MSBT:0001:0008:050010000000FFFFFFFF> Steuern\n<MSBT:0001:0008:000010000000FFFFFFFF> Schießen","<MSBT:0001:0008:050010000000FFFFFFFF> Muovi\n<MSBT:0001:0008:000010000000FFFFFFFF> Spara","<MSBT:0001:0008:050010000000FFFFFFFF> Mover\n<MSBT:0001:0008:000010000000FFFFFFFF> Disparar","<MSBT:0001:0008:050010000000FFFFFFFF> Mover\n<MSBT:0001:0008:000010000000FFFFFFFF> Disparar","<MSBT:0001:0008:050010000000FFFFFFFF> いどう\n<MSBT:0001:0008:000010000000FFFFFFFF> こうげき"
"Boss_Homer","<MSBT:0001:0008:000010000000FFFFFFFF> Salla","<MSBT:0001:0008:000010000000FFFFFFFF> Swing","<MSBT:0001:0008:000010000000FFFFFFFF> Swing","<MSBT:0001:0008:000010000000FFFFFFFF> Frapper","<MSBT:0001:0008:000010000000FFFFFFFF> Frapper","<MSBT:0001:0008:000010000000FFFFFFFF> Schlagen","<MSBT:0001:0008:000010000000FFFFFFFF> Colpisci","<MSBT:0001:0008:000010000000FFFFFFFF> Golpear","<MSBT:0001:0008:000010000000FFFFFFFF> Golpear","<MSBT:0001:0008:000010000000FFFFFFFF> うつ"
"Boss_Landing","<MSBT:0001:0008:020010000000FFFFFFFF> Balonları patlat / Kuşları kov","<MSBT:0001:0008:020010000000FFFFFFFF> Pop balloons / Shoo birds","<MSBT:0001:0008:020010000000FFFFFFFF> Pop balloons / Shoo birds","<MSBT:0001:0008:020010000000FFFFFFFF> Éclater ballons\n<MSBT:0001:0008:0C0010000000FFFFFFFF> Repousser oiseaux","<MSBT:0001:0008:020010000000FFFFFFFF> Éclater ballons\n<MSBT:0001:0008:0C0010000000FFFFFFFF> Repousser oiseaux","<MSBT:0001:0008:020010000000FFFFFFFF> Ballons platzen lassen / Vögel\nverscheuchen","<MSBT:0001:0008:020010000000FFFFFFFF> Scoppia palloncini/Caccia ucc.","<MSBT:0001:0008:020010000000FFFFFFFF> Explotar globo / Asustar pájaro","<MSBT:0001:0008:020010000000FFFFFFFF> Explotar globo / Asustar pájaro","<MSBT:0001:0008:020010000000FFFFFFFF> ふうせんをわる／トリをやっつける"
"Boss_Nail","<MSBT:0001:0008:000010000000FFFFFFFF> Vur","<MSBT:0001:0008:000010000000FFFFFFFF> Pound","<MSBT:0001:0008:000010000000FFFFFFFF> Pound","<MSBT:0001:0008:000010000000FFFFFFFF> Enfoncer","<MSBT:0001:0008:000010000000FFFFFFFF> Enfoncer","<MSBT:0001:0008:000010000000FFFFFFFF> Einschlagen","<MSBT:0001:0008:000010000000FFFFFFFF> Colpisci","<MSBT:0001:0008:000010000000FFFFFFFF> Clavar","<MSBT:0001:0008:000010000000FFFFFFFF> Clavar","<MSBT:0001:0008:000010000000FFFFFFFF> うつ"
