"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Petit_none","Bilinmiyor","???","???","???","???","???","???","(?)","(?)","？？？？？"
"Boss_Bowling","Başarmak için topu yuvarlayıp bütün lobutları devirmelisin. Zorlanıyorsan hiç dert etme! İşi bitirmek için dört topun var.","To succeed you must get the ball rolling and knock down all the pins. If you're having trouble, do not be concerned! You have four balls to get the job done.","To succeed you must get the ball rolling and knock down all the pins. If you're having trouble, do not be concerned! You have four balls to get the job done.","Fais rouler la boule et renverse toutes les quilles. Pas de panique, tu as droit à quatre essais pour y arriver.","Fais rouler la boule et renverse toutes les quilles. Pas de panique, tu as droit à quatre essais pour y arriver.","Bring die Kugel ins Rollen und hau alle Pins um! Klappt's nicht auf Anhieb? Kein Stress! Dir stehen vier Kugeln zur Verfügung!","Lancia la palla e butta giù tutti i birilli. Se ti sembra difficile, non ti agitare! Hai ben 4 tiri a tua disposizione.","Echa a rodar la bola y derriba todos los bolos. No te preocupes si te cuesta cogerle el tranquillo: ¡tienes hasta cuatro intentos!","Echa a rodar la bola y derriba todos los bolos. No te preocupes si no te sale bien a la primera: ¡tienes hasta cuatro intentos!","ボールを ころがして ピンを ぜんぶ たおすんだ！　４きゅう あるから、おちついて いこうぜ！"
"Boss_Boxing","Önce rakibinin saldırılarından sağa ya da sola kaçman, sonra da birkaç yumruk savurman gerekiyor dostum! Bu tiplerden biri parlamaya başlarsa özel vuruşuna karşı tetikte olman gerektiğini anlarsın.","First you gotta dodge your opponent's attacks left or right, and then you gotta throw some punches, yo! If one of those dudes starts to flash, that's when you gotta start lookin' out for his special blow.","First you gotta dodge your opponent's attacks left or right, and then you gotta throw some punches, yo! If one of those dudes starts to flash, that's when you gotta start lookin' out for his special blow.","D'abord, esquive les coups de l'adversaire vers la gauche ou la droite. Ensuite, riposte avec un bon direct ! Si ton adversaire se met à briller, gare à son coup spécial !","D'abord, esquive les coups de l'adversaire vers la gauche ou la droite. Ensuite, riposte avec un bon direct! Si ton adversaire se met à briller, gare à son coup spécial!","Yo! Erst mal musste ganz geschmeidig nach links oder rechts den Angriffen deines Gegners ausweichen und dann selbst zuschlagen! Aber Achtung, wenn dein Gegner blinkt, musste echt aufpassen! Dann kommt 'ne Spezialtechnik!","Prima schiva i colpi dell'avversario, a destra o a sinistra, e poi sferra un bel cazzotto, yo! Quando l'avversario lampeggia, si sta preparando per un colpo speciale.","Primero esquiva el puñetazo del rival moviéndote a un lado y luego ¡zasca!: derechazo al canto. Cuando veas parpadear al rival, significa que está preparando un ataque de no te menees.","Primero esquiva el puñetazo del rival moviéndote a un lado y luego ¡pum!: derechazo. Cuando veas parpadear al rival, significa que está preparando un ataque especial.","こうげきを さゆうに よけつつ、パンチを くりだそう！　あいてが ひかったら ひっさつパンチが くるゼ！　あましずく トレーニングの せいかを みせつけYO！"
"Boss_Cook","Üst malzemeleri, örnek yemeği rehber alarak gerçek bir profesyonel gibi yerleştir! Son dokunuş olarak ketçap sıkmayı da unutma! ...Bir saniye, ne?!","Arrange the toppings like a true pro, using the sample food as your guide! And don't forget to finish things off with a squeeze of ketchup! ...Wait. What?!","Arrange the toppings like a true pro, using the sample food as your guide! And don't forget to finish things off with a squeeze of ketchup! ...Wait. What?!","Arrange la décoration comme indiqué sur l'exemple, et n'oublie pas le ketchup à la fin !","Arrange la décoration comme indiqué sur l'exemple, et n'oublie pas le ketchup à la fin!","Mach es wie die Profis und arrangier die Deko wie bei der köstlichen Vorlage! Und vergiss nicht, das kulinarische Kunstwerk mit etwas Ketchup zu vollenden!","Disponi i condimenti secondo le regole dell'alta cucina, usando l'immagine come esempio. E non dimenticare di guarnire il tutto con una bella spruzzata di ketchup!","¡Fíjate en el ejemplo y decora la tarta como un repostero profesional! Y no te olvides de darle el toque final con un chorretón de ketchup.","¡Fíjate en el ejemplo y decora el pastel como un repostero profesional! Y no te olvides de darle el toque final con un chorro de cátsup.","おてほんを みながら、りょうりを きれいに もりつけてね！　さいごは ケチャップで しあげだよ！"
"Boss_Dancing","Dans zamanı! Dansçıların hareketlerine bak ve aynısını yap. Tüm girişleri kullanacaksın: Bas Bas, Çevir, Dokun, Üfle... hepsi! Ritmi kaçırma!","Time to dance! Watch the dancers' movements, and then do the same thing. You're gonna use all the inputs: Mash, Twist, Touch, Blow...all of 'em! Stick to the beat!","Time to dance! Watch the dancers' movements, and then do the same thing. You're gonna use all the inputs: Mash, Twist, Touch, Blow...all of 'em! Stick to the beat!","C'est parti pour le show ! Observe les mouvements des danseurs et reproduis-les ! Tu vas devoir utiliser tous les types de commandes : boutons, gyro, tactile, souffle... TOUS, j'ai dit ! T'as intérêt à suivre le rythme !","C'est parti pour le spectacle! Observe les mouvements des danseurs et reproduis-les! Tu vas devoir utiliser tous les types de commandes : boutons, gyro, tactile, souffle... TOUS, j'ai dit! T'as intérêt à suivre le rythme!","Zeit für ein Tänzchen! Sieh den Bewegungen der Tänzer zu und mach mit! Dazu brauchst du alle Eingabemethoden: Knöpfe, Gyro, Touch, Pusten... einfach alle! Nicht schlappmachen, mittanzen!","E adesso... si aprono le danze! Osserva i movimenti dei ballerini e fai come loro. Userai tutti i tipi di comandi: pulsanti, rotazione, tocco, soffio! Cerca sempre di tenere il tempo!","¡Hora de darle salero al cuerpo! Copia los movimientos de los otros bailarines. Utilizarás todos los controles: botones, giro, táctil, micrófono... ¡Sigue el ritmo!","¡Hora de menear el cuerpo! Copia los movimientos de los otros bailarines. Utilizarás todos los controles: botones, giro, táctil, micrófono... ¡Sigue el ritmo!","レッツ、ダーンス ターイム！　ダンサーズの うごきを みて、おどれ！　ピコピコ、ぐるぐる、タッチ、フーフー、ぜーんぶの そうさを つかうぜ！　ちゃーんと オンガクに ノってくれよ！"
"Boss_Drive","Yolda kalmam için düzgün sür. Bir araba daha karşılayamam!","Steer smoothly so I stay on the road. I can't afford another car!","Steer smoothly so I stay on the road. I can't afford another car!","Une conduite souple et une attention exemplaire sont primordiales pour rester sur la route. Bah quoi ? On plaisante pas avec la sécurité routière !","Une conduite souple et une attention exemplaire sont primordiales pour rester sur la route. Bah quoi? On plaisante pas avec la sécurité routière!","Schön vorsichtig lenken, damit du auf der Straße bleibst! Geht doch nix über einen defensiven Fahrstil!","Usa lo sterzo attentamente in modo da restare sulla strada. Sono un autista molto più cauto di quanto pensi!","¡Gira el volante con cuidado para no salirte de la carretera! Soy un conductor bastante atento, que conste. ","¡Gira el volante con cuidado para no salirte de la carretera! Soy un conductor bastante atento, que conste. ","なめらかな ハンドリングで コースアウトしないように はしりきれ！　オレさま、うんてんは いがいに「しんちょうは」なのだ！"
"Boss_Find","Hayır! Bir hırsız, çok sevdiğin eşyalarından birini çaldı. Lütfen resimdeki ipuçlarını kullanıp bu bilmeceyi... 40 saniye içinde çöz.","Oh no! A thief has stolen one of your beloved belongings. Please use the clues in the picture to solve this conundrum...in 40 seconds.","Oh no! A thief has stolen one of your beloved belongings. Please use the clues in the picture to solve this conundrum...in 40 seconds.","Au voleur ! Utilise les images comme autant d'indices pour démasquer le coupable en moins de 40 secondes !","Au voleur! Utilise les images comme autant d'indices pour démasquer le coupable en moins de 40 secondes!","Och nö! Ein fieser Dieb hat dich bestohlen! Nutze die Hinweise auf diesen Fotos und löse den Fall... In 40 Sekunden!!!","Oh, no! Qualcuno ti ha rubato qualcosa. Trova il colpevole usando gli indizi che vedi nell'immagine... entro 40 secondi.","¡Ahí va! Un ladrón ha robado una de tus posesiones más preciadas. Utiliza las pistas de la imagen para recuperarla... ¡en menos de 40 segundos!","¡Ay, no! Un ladrón se robó una de tus posesiones más preciadas. Utiliza las pistas de la imagen para recuperarla... ¡en menos de 40 segundos!","ノコしてオイタ だいじナものガ ぬすマレテ しまいマシタ！　しゃしんヲ てがかりニ、どろぼーサンを みつけダシテ くだサイ。 セイゲンじかんハ ４０びょうデス！"
"Boss_HanaShu","""Aşırı derecede akan, dev bir burun benzeri varlık galaksiler arası barışı bir kez daha tehdit ediyor! İnsanlığın kaderi, Handroid V'nin soğuk ve cansız pençelerinde!"" Yuh! Haberler hep bu kadar mı korkutucu? El füzeleriyle göz damlaları bu şeyi alt eder gibi geliyor. Muhtemelen zayıf noktası burun delikleridir.","""An extremely sniffly, giant nose-like entity is threatening intergalactic peace yet again! Humanity's fate lies in the cold, lifeless grip of Handroid V!"" Yikes! Is the news always this scary? I wonder if usin' hand missiles and eye drops would defeat this thing. Chances are his nostrils are his weak point.","""An extremely sniffly, giant nose-like entity is threatening intergalactic peace yet again! Humanity's fate lies in the cold, lifeless grip of Handroid V!"" Yikes! Is the news always this scary? I wonder if usin' hand missiles and eye drops would defeat this thing. Chances are his nostrils are his weak point.","Une gigantesque entité renifleuse en forme de nez menace (encore !) la paix intergalactique ! Le destin de l'humanité repose à présent entre les mains froides et chromées de Handroid V ! Utilise les mains-missiles et les gouttes pour les yeux pour vaincre ce terrible ennemi ! (Conseil : vise les trous de nez !)","« Un immense objet reniflant non identifié menace (encore!) la paix intergalactique! Le destin de l'humanité repose à présent entre les mains froides et chromées de Handroid V! » Elles sont toujours aussi inquiétantes les nouvelles? Je me demande si les mains-missiles et les gouttes pour les yeux pourront vaincre ce terrible ennemi! On dirait bien que ses trous de nez sont son point faible!","„Ein interstellarer Megafiesling bedroht den Frieden der Galaxis! Die Zukunft der Menschheit liegt in den kalten Händen des Handroiden V!"" Heize dem Feind mit Augentropfen und Handraketen ein! Tipp: Ziel auf die Nasenlöcher!","""Un'enorme entità a forma di naso minaccia ancora una volta la pace galattica! Il destino dell'umanità giace nelle gelide e robotiche mani di Manodroid V!"" Usa le testate manali e le bombe al collirio per sconfiggere il nemico. Consiglio: le narici sono il suo punto debole!","¡Un ser con forma de horrible nariz gigante amenaza la paz intergaláctica de nuevo! El destino de toda la humanidad recae en los metálicos y fríos hombros de Hurgatrón 3000. Pista: Aprovecha las gotas para los ojos y apunta bien con los puños para metérselos en la nariz.","¡Un ser horrible con forma de nariz gigante amenaza la paz intergaláctica de nuevo! El destino de toda la humanidad recae en los metálicos y fríos hombros de Hurgatrón 3000. Consejo: Aprovecha las gotas para los ojos y apunta bien con los puños para metérselos en la nariz.","「きょだいせいめいたい ハナベーダーの しんりゃくによって、うちゅうの へいわは おびやかされていた。 じんるいは さいしゅうロボ ハンドロイドVに そのめいうんを たくすのであった」　…ハンドミサイルや めぐすりを うまく つかって、ハナベーダーを たおしてや！　ハンドミサイルは ゆびさきが はなのあなに はいったとき、ほんまの チカラを はっきしまっせ！"
"Boss_Homer","Bir savur ve Ultra Machine'in sana attığı topları vur. O yavaş topa dikkat et!   <MSBT:0000:0003:010046E600FF>Ultra Machine, evde kullanım için tasarlanmış ve elektronik olarak top atan bir beyzbol makinesiydi.<MSBT:0000:0003:FF00000000FF>","Take a swing, and hit the balls the Ultra Machine tosses your way. Be sure to watch out for that changeup!   <MSBT:0000:0003:010046E600FF>The Ultra Machine was a batting machine for home use that electronically fired table tennis balls. It was released in Japan in 1968.<MSBT:0000:0003:FF00000000FF>","Take a swing, and hit the balls the Ultra Machine tosses your way. Be sure to watch out for that changeup!   <MSBT:0000:0003:010046E600FF>The Ultra Machine was a batting machine for home use that electronically fired table tennis balls. It was released in Japan in 1968.<MSBT:0000:0003:FF00000000FF>","Frappe la balle que t'envoie l'Ultra Machine. Attention aux changements de vitesse ! <MSBT:0000:0003:010046E600FF>1968 : lanceur de balles automatique à usage domestique, lançant des balles de tennis de table (Japon uniquement)<MSBT:0000:0003:FF00000000FF>","Frappe la balle que t'envoie l'Ultra Machine. Attention aux changements de vitesse! <MSBT:0000:0003:010046E600FF>1968 : Lanceur de balles automatique à usage domestique, lançant des balles de tennis de table. (Japon uniquement)<MSBT:0000:0003:FF00000000FF>","Hol zum Schlag aus und triff die Bälle, die die „Ultra Machine"" dir zuwirft! Achte auf die Richtungswechsel! <MSBT:0000:0003:010046E600FF>1968: Wurfmaschine für zu Hause, die automatisch Tischtennisbälle schoss. (Erschien nur in Japan!)<MSBT:0000:0003:FF00000000FF>","Prendi la mazza e colpisci le palle scagliate dall'Ultra Machine. Occhio ai tiri lenti! <MSBT:0000:0003:010046E600FF>Macchina lanciapalline per uso casalingo (1968, solo mercato giapponese)<MSBT:0000:0003:FF00000000FF>","Sujeta bien el bate y golpea las bolas que te lanza la Ultra Machine. Ojo, que a veces cambia de trayectoria. <MSBT:0000:0003:010046E600FF>Máquina de uso doméstico que lanzaba bolas de tenis de mesa (1968; solo disponible en Japón).<MSBT:0000:0003:FF00000000FF>","Sujeta bien el bate y golpea las bolas que te lanza la Ultra Machine. Ojo, que a veces cambia de trayectoria. <MSBT:0000:0003:010046E600FF>Máquina de uso doméstico que lanzaba bolas de tenis de mesa (1968; solo disponible en Japón).<MSBT:0000:0003:FF00000000FF>","ウルトラマシンが なげるボールを うちかえしてね！　へんかきゅうは タイミングに きをつけて！　バットに あたれば オーケーだから、まずは ふってみましょ！　　<MSBT:0000:0003:010046E600FF>1968ねん：でんどうで ちいさな ボールを はっしゃする、かていよう バッティングマシン。<MSBT:0000:0003:FF00000000FF>"
"Boss_Landing","Eyvah. Hava hiç iyi görünmüyor. Belki şu buluta iniş yapmalıyım... Balonlarımı benim için patlatır mısın? Bir de uçan kuşlara dokunup yolumdan çekilmelerini sağla.","Uh-oh. Weather's not looking good. Maybe I should land on that cloud there... Pop my balloons for me, will ya? And tap any birds that fly by to get 'em out of my way.","Uh-oh. Weather's not looking good. Maybe I should land on that cloud there... Pop my balloons for me, will ya? And tap any birds that fly by to get 'em out of my way.","Il est sympa, ce voyage en ballon, mais le temps commence à craindre, alors je crois que je vais me poser sur ce nuage, là... Fais exploser les ballons au bon moment pour que j'atterrisse sur le nuage ! Et si un oiseau fait des siennes, touche-le avec ton stylet !","Il est sympa, ce voyage en ballon, mais le temps commence à craindre, alors je crois que je vais me poser sur ce nuage, là... Fais exploser les ballons au bon moment pour que j'atterrisse sur le nuage! Et si un oiseau fait des siennes, touche-le avec ton stylet!","Fliegen ist großartig! Aber jetzt kommt mieses Wetter, also sollte ich wohl auf der Wolke da zwischenlanden... Lass die Ballons im richtigen Moment zerplatzen, sodass ich auf der Wolke runterkomme! Tippe fliegende Störenfriede an, um sie zu vertreiben!","Ok, ci siamo divertiti, ma il tempo sta volgendo al brutto. Quasi quasi atterrerei su una nuvola... Fai scoppiare i palloncini al momento giusto e fammi cadere su quelle nuvole. Per liberarci degli uccelli che ci danno fastidio, basta toccarli!"," ¡Qué viaje en globo tan divertido! Pero parece que el tiempo se va a estropear, así que será mejor dejarlo por hoy. Explota los globos en el momento justo para que aterrice suavemente en la nube. Toca a los pájaros que pasan de vez en cuando para evitar una desgracia.","¡Qué viaje en globo tan divertido! Pero parece que el tiempo se va poner feo, así que será mejor dejarlo por hoy. Explota los globos en el momento justo para que aterrice suavemente en la nube. Toca a los pájaros que pasan de vez en cuando para evitar una desgracia.","ふうせんトリップは たのしいぜ！　しかし てんきが わるくなってきたから、あそこの くもに ちゃくちするか…。 タイミングよく ふうせんを わって、オレさまを くものうえに おとしてくれ！　じゃまな トリは タッチで やっつけろ！"
