"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"name_01","Wario","Wario","Wario","Wario","Wario","Wario","Wario","Wario","Wario","ワリオ"
"name_02","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","Wario Deluxe","ワリオデラックス"
"name_03","Lulu","Lulu","Lulu","Lulu","Lulu","Lulu","Lulu","Lulú","Lulú","ルールー"
"name_04","Jimmy T","Jimmy T","Jimmy T","Jimmy T","Jimmy T","Jimmy T","Jimmy T","Jimmy T","Jimmy T","ジミー T."
"name_05","Jimmy","Jimmy","Jimmy","Jimmy","Jimmy","Jimmy","Jimmy","Jimmy","Jimmy","ジミー"
"name_06","Mona","Mona","Mona","Mona","Mona","Mona","Mona","Mona","Mona","モナ"
"name_07","Dribble","Dribble","Dribble","Dribble","Dribble","Dribble","Dribble","Dribble","Dribble","ドリブル"
"name_08","Spitz","Spitz","Spitz","Spitz","Spitz","Spitz","Spitz","Spitz","Spitz","スピッツ"
"name_09","5-Volt","5-Volt","5-Volt","5-Volt","5-Volt","5-Volt","5-Volt","5-Volt","5-Volt","ファイブワット"
"name_10","Ashley","Ashley","Ashley","Ashley","Ashley","Ashley","Ashley","Ashley","Ashley","アシュリー"
"name_11","Red","Red","Red","Red","Red","Red","Red","Red","Red","レッド"
"name_12","Doktor Crygor","Dr. Crygor","Dr. Crygor","Dr Crygor","Dr Crygor","Dr. Crygor","Dr. Crygor","Dr. Crygor","Dr. Crygor","Dr.クライゴア"
"name_13","18-Volt","18-Volt","18-Volt","18-Volt","18-Volt","18-Volt","18-Volt","18-Volt","18-Volt","エイティーンボルト"
"name_14","Penny","Penny","Penny","Penny","Penny","Penny","Penny","Penny","Penny","ペニー"
"name_15","Kat","Kat","Kat","Kat","Kat","Kat","Kat","Kat","Kat","カット"
"name_16","Ana","Ana","Ana","Ana","Ana","Ana","Ana","Ana","Ana","アナ"
