"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"system_004","SpotPass açık.","SpotPass is on.","SpotPass is on.","SpotPass est activé.","SpotPass est activé.","SpotPass ist aktiviert.","La funzione SpotPass è attiva.","SpotPass está activado.","SpotPass está activado.","いつのまにつうしんを\n「する」に せっていしました。"
"system_005","SpotPass kapalı.","SpotPass is off.","SpotPass is off.","SpotPass est désactivé.","SpotPass est désactivé.","SpotPass ist deaktiviert.","La funzione SpotPass è disattivata.","SpotPass está desactivado.","SpotPass está desactivado.","いつのまにつうしんを\n「しない」に せっていしました。"
"system_006","Bu kayıt verisini silmek istiyor musun?","Do you want to delete this save data?","Do you want to delete this save data?","Effacer les données de ce joueur ?","Effacer les données de ce joueur?","Möchtest du die Daten dieses Spielers\nlöschen?","Vuoi cancellare i dati di questo utente?","¿Quieres borrar los datos de guardado\nde este jugador?","¿Quieres borrar los datos de guardado\nde este jugador?","このプレイヤーの\nデータを けす？"
"system_007","Emin misin? Kayıt verileri\ngeri getirilemez.","Are you sure? Save data\ncannot be recovered.","Are you sure? Save data\ncannot be recovered.","Les données effacées ne pourront pas\nêtre récupérées. Confirmer l'effacement ?","Les données effacées ne pourront pas\nêtre récupérées. Effacer?","Bist du dir sicher? Einmal gelöschte Daten\nkönnen nicht wiederhergestellt werden.","Confermi? I dati cancellati non potranno\nessere recuperati.","¿Seguro? No podrás recuperar\nlos datos borrados.","No podrás recuperar los datos\nborrados. ¿Quieres continuar?","もどせなくなるけど\nホントに けす？"
"system_008","Kayıt verileri silindi.","Save data deleted.","Save data deleted.","Les données du joueur ont été effacées.","Les données du joueur ont été effacées.","Die Speicherdaten wurden gelöscht.","I dati dell'utente sono stati cancellati.","Se han borrado los datos de guardado\ndel jugador.","Se han borrado los datos de guardado\ndel jugador.","プレイヤーデータを\nけしました…。"
"system_009","<MSBT:0000:0003:010000FF00FF>Dizin<MSBT:0000:0003:FF00000000FF> açıldı!","<MSBT:0000:0003:010000FF00FF>Index<MSBT:0000:0003:FF00000000FF> unlocked!","<MSBT:0000:0003:010000FF00FF>Index<MSBT:0000:0003:FF00000000FF> unlocked!","Le menu <MSBT:0000:0003:010000FF00FF>Index<MSBT:0000:0003:FF00000000FF> est débloqué !","Le menu <MSBT:0000:0003:010000FF00FF>Index<MSBT:0000:0003:FF00000000FF> est déverrouillé!","<MSBT:0000:0003:010000FF00FF>Lexikon <MSBT:0000:0003:FF00000000FF>freigeschaltet!","Hai sbloccato l'<MSBT:0000:0003:010000FF00FF>indice<MSBT:0000:0003:FF00000000FF>!","¡Has desbloqueado el <MSBT:0000:0003:010000FF00FF>índice<MSBT:0000:0003:FF00000000FF>!","¡Desbloqueaste el <MSBT:0000:0003:010000FF00FF>índice<MSBT:0000:0003:FF00000000FF>!","<MSBT:0000:0003:010000FF00FF>ずかん <MSBT:0000:0003:FF00000000FF>が\nオープンした！"
"system_010","<MSBT:0000:0003:010000FF00FF>Görevler<MSBT:0000:0003:FF00000000FF> açıldı!","<MSBT:0000:0003:010000FF00FF>Missions<MSBT:0000:0003:FF00000000FF> unlocked!","<MSBT:0000:0003:010000FF00FF>Missions<MSBT:0000:0003:FF00000000FF> unlocked!","Le menu <MSBT:0000:0003:010000FF00FF>Missions<MSBT:0000:0003:FF00000000FF> est débloqué !","Le menu <MSBT:0000:0003:010000FF00FF>Missions<MSBT:0000:0003:FF00000000FF> est déverrouillé!","<MSBT:0000:0003:010000FF00FF>Missionen<MSBT:0000:0003:FF00000000FF> freigeschaltet!","Hai sbloccato le <MSBT:0000:0003:010000FF00FF>missioni<MSBT:0000:0003:FF00000000FF>!","¡Has desbloqueado las <MSBT:0000:0003:010000FF00FF>misiones<MSBT:0000:0003:FF00000000FF>!","¡Desbloqueaste las <MSBT:0000:0003:010000FF00FF>misiones<MSBT:0000:0003:FF00000000FF>!","<MSBT:0000:0003:010000FF00FF>ミッション <MSBT:0000:0003:FF00000000FF>が\nオープンした！"
"system_011","<MSBT:0000:0003:010000FF00FF>Oyun Salonu<MSBT:0000:0003:FF00000000FF> açıldı!","<MSBT:0000:0003:010000FF00FF>Arcade<MSBT:0000:0003:FF00000000FF> unlocked!","<MSBT:0000:0003:010000FF00FF>Arcade<MSBT:0000:0003:FF00000000FF> unlocked!","Le menu <MSBT:0000:0003:010000FF00FF>Souvenirs<MSBT:0000:0003:FF00000000FF> est débloqué !","Le menu <MSBT:0000:0003:010000FF00FF>Souvenirs<MSBT:0000:0003:FF00000000FF> est déverrouillé!","<MSBT:0000:0003:010000FF00FF>Souvenirs <MSBT:0000:0003:FF00000000FF>freigeschaltet!","Hai sbloccato la sezione <MSBT:0000:0003:010000FF00FF>Premi<MSBT:0000:0003:FF00000000FF>!","¡Has desbloqueado el <MSBT:0000:0003:010000FF00FF>dispensabolas<MSBT:0000:0003:FF00000000FF>!","¡Desbloqueaste el <MSBT:0000:0003:010000FF00FF>arcade<MSBT:0000:0003:FF00000000FF>!","<MSBT:0000:0003:010000FF00FF>ガチャコロン <MSBT:0000:0003:FF00000000FF>が\nオープンした！"
"system_012","<MSBT:0000:0003:010000FF00FF>Meydan Okumalar<MSBT:0000:0003:FF00000000FF> açıldı!","<MSBT:0000:0003:010000FF00FF>Challenges<MSBT:0000:0003:FF00000000FF> unlocked!","<MSBT:0000:0003:010000FF00FF>Challenges<MSBT:0000:0003:FF00000000FF> unlocked!","Le menu <MSBT:0000:0003:010000FF00FF>Défis<MSBT:0000:0003:FF00000000FF> est débloqué !","Le menu <MSBT:0000:0003:010000FF00FF>Défis<MSBT:0000:0003:FF00000000FF> est déverrouillé!","<MSBT:0000:0003:010000FF00FF>Aufgaben <MSBT:0000:0003:FF00000000FF>freigeschaltet!","Hai sbloccato la modalità <MSBT:0000:0003:010000FF00FF>sfida<MSBT:0000:0003:FF00000000FF>!","¡Has desbloqueado los <MSBT:0000:0003:010000FF00FF>desafíos<MSBT:0000:0003:FF00000000FF>!","¡Desbloqueaste los <MSBT:0000:0003:010000FF00FF>desafíos<MSBT:0000:0003:FF00000000FF>!","<MSBT:0000:0003:010000FF00FF>チャレンジ <MSBT:0000:0003:FF00000000FF>が\nオープンした！"
"system_013","Tüm hatıraları topladın!\n<MSBT:0000:0003:010000FF00FF>Wario Kartı<MSBT:0000:0003:FF00000000FF> artık <MSBT:0000:0003:010000FF00FF>Oyun Salonu<MSBT:0000:0003:FF00000000FF>nda oynanabilir!","You collected all the souvenirs!\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> is now available in the <MSBT:0000:0003:010000FF00FF>Arcade<MSBT:0000:0003:FF00000000FF>!","You collected all the souvenirs!\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> is now available in the <MSBT:0000:0003:010000FF00FF>Arcade<MSBT:0000:0003:FF00000000FF>!","Tu as obtenu tous les souvenirs !\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> est maintenant disponible\ndans le menu <MSBT:0000:0003:010000FF00FF>Souvenirs<MSBT:0000:0003:FF00000000FF> !","Tu as obtenu tous les souvenirs!\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> est maintenant disponible\ndans le menu <MSBT:0000:0003:010000FF00FF>Souvenirs<MSBT:0000:0003:FF00000000FF>!","Du hast alle Schätze gesammelt!\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> ist nun in <MSBT:0000:0003:010000FF00FF>Souvenirs<MSBT:0000:0003:FF00000000FF> verfügbar!","Hai ottenuto tutti i premi!\n<MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF> è ora disponibile\nnella sezione <MSBT:0000:0003:010000FF00FF>Premi<MSBT:0000:0003:FF00000000FF>!","¡Has conseguido todos los juguetes!\nAhora podrás jugar a <MSBT:0000:0003:010000FF00FF>Wario Kard\n<MSBT:0000:0003:FF00000000FF>en el <MSBT:0000:0003:010000FF00FF>dispensabolas<MSBT:0000:0003:FF00000000FF>!","¡Conseguiste todos los juguetes!\n¡Ahora podrás jugar a <MSBT:0000:0003:010000FF00FF>Wario Kard<MSBT:0000:0003:FF00000000FF>\nen el <MSBT:0000:0003:010000FF00FF>arcade<MSBT:0000:0003:FF00000000FF>!","けいひんをコンプリートした！\n<MSBT:0000:0003:010000FF00FF>『ワリオカード』<MSBT:0000:0003:FF00000000FF>が\n<MSBT:0000:0003:010000FF00FF>ガチャコロン <MSBT:0000:0003:FF00000000FF>のなかに\nオープンした！"
