file,index,label,TR_Turkish
Arena.msbt,0,TitleStartBtn,Başla
Arena.msbt,1,TitleRankingBtn,Sıralama
Arena.msbt,2,TitleExitBtn,Geri
Arena.msbt,3,LoseRetryBtn,Yeniden Dene
Arena.msbt,4,LoseEndBtn,Çık
Arena.msbt,5,LoseMessage,⟦MSBT:0E000000020002004B00⟧Bir dahaki sefere başaracaksın...⟦MSBT:0E000000020002006400⟧
Arena.msbt,6,LoseMessage2,⟦MSBT:0E000000020002004B00⟧Şampiyon olmak kolay değil.⟦MSBT:0E000000020002006400⟧
Arena.msbt,7,LoseMessage3,⟦MSBT:0E000000020002004700⟧Şampiyon olmaya çok yaklaştın!⟦MSBT:0E000000020002006400⟧
Arena.msbt,8,LoseMessage4,⟦MSBT:0E000000020002004600⟧Gerçek şampiyon olmak kolay değil.⟦MSBT:0E000000020002006400⟧
Arena.msbt,9,LoseMessage5,⟦MSBT:0E000000020002003E00⟧Gerçek şampiyon olmaya çok yaklaştın!⟦MSBT:0E000000020002006400⟧
Arena.msbt,10,RankingText,Sıralamalar
Arena.msbt,11,RankingEndBtn,Geri
Arena.msbt,12,RankingRivalTime,StreetPass
Arena.msbt,13,RankingRivalName,Rakip
Arena.msbt,14,RankingLoMainText,"⟦MSBT:0E000000020002005A00⟧En iyi ⟦MSBT:0E00000003000400FF693CFF⟧sürelerini⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile paylaş!⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧Rakiplerinin sürelerini geç,⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF693CFF⟧Şampiyon⟦MSBT:0E00000003000400000000FF⟧ ol!⟦MSBT:0E000000020002006400⟧"
Arena.msbt,15,RankingLoMainText2,"⟦MSBT:0E000000020002005700⟧⟦MSBT:0E00000003000400E73C24FF⟧En iyi sürelerini⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400E73C24FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ile paylaş!
Rakiplerinin sürelerini geç ve
⟦MSBT:0E00000003000400E73C24FF⟧Gerçek Şampiyon⟦MSBT:0E00000003000400000000FF⟧ ol!⟦MSBT:0E000000020002006400⟧"
Arena.msbt,16,CommonRoundText,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ kaldı⟦MSBT:0E000000020002006400⟧
Arena.msbt,17,CommonClearIcon,⟦MSBT:0E000000020002004400⟧Tamam⟦MSBT:0E000000020002006400⟧
Arena.msbt,18,MainNextText,⟦MSBT:0E000000020002005500⟧Sonraki⟦MSBT:0E000000020002006400⟧
Arena.msbt,19,MainRestText,Kalan
Arena.msbt,20,RankingRoundText,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧ kaldı⟦MSBT:0E000000020002006400⟧
Arena.msbt,21,TimeSepMinSec,:
Arena.msbt,22,TimeSepSecMsec,","
Arena.msbt,23,TimeBeforeStartMin,--
Arena.msbt,24,TimeBeforeStartSec,--
Arena.msbt,25,TimeBeforeStartMsec,--
Arena.msbt,26,TimeHiddenMin,??
Arena.msbt,27,TimeHiddenSec,??
Arena.msbt,28,TimeHiddenMsec,??
CheckSaveData.msbt,0,CreateFile,"⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧
oluşturuluyor.
Lütfen bekleyin."
CheckSaveData.msbt,1,CreateFileSuccess,⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ oluşturuldu.
CheckSaveData.msbt,2,RecreateFile,"⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturuluyor.
Lütfen bekleyin."
CheckSaveData.msbt,3,RepairData,"⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozuldu.
Yeni veri oluşturuluyor.
Lütfen bekleyin..."
CheckSaveData.msbt,4,ErrorOccured,Bir ⟦MSBT:0E00000003000400FF4600FF⟧hata ⟦MSBT:0E00000003000400000000FF⟧oluştu.
CheckSaveData.msbt,5,IsExecFormat,"⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturulsun mu?"
