file,index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
Arena.msbt,0,TitleStartBtn,Start,Commencer,Start,Inizia,Comenzar,시작,Başla
Arena.msbt,1,TitleRankingBtn,Ranking,Classement,Rangliste,Podio,Clasificación,랭킹,Sıralama
Arena.msbt,2,TitleExitBtn,Back,⟦MSBT:0E000000020002005500⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004600⟧Indietro⟦MSBT:0E000000020002006400⟧,Atrás,뒤로,Geri
Arena.msbt,3,LoseRetryBtn,Retry,Réessayer,⟦MSBT:0E000000020002006000⟧Neuer Versuch⟦MSBT:0E000000020002006400⟧,Riprova,Reintentar,다시 한 번,Yeniden Dene
Arena.msbt,4,LoseEndBtn,Quit,Quitter,Beenden,Esci,Salir,마치기,Çık
Arena.msbt,5,LoseMessage,⟦MSBT:0E000000020002004B00⟧You'll get 'em next time...⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Vous allez y arriver...⟦MSBT:0E000000020002006400⟧,Nächstes Mal klappt's...,"Prova ancora, ce la farai!",⟦MSBT:0E000000020002006100⟧No te rindas y vencerás...⟦MSBT:0E000000020002006400⟧,다음에 더 분발해요…,⟦MSBT:0E000000020002004B00⟧Bir dahaki sefere başaracaksın...⟦MSBT:0E000000020002006400⟧
Arena.msbt,6,LoseMessage2,⟦MSBT:0E000000020002004B00⟧Becoming a champion isn't easy.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧C'est dur d'être un champion.⟦MSBT:0E000000020002006400⟧,Siegen ist nicht einfach.,⟦MSBT:0E000000020002004B00⟧Diventare campioni non è facile!⟦MSBT:0E000000020002006400⟧,Lograr la victoria cuesta.,격투왕의 길은 멀도다…,⟦MSBT:0E000000020002004B00⟧Şampiyon olmak kolay değil.⟦MSBT:0E000000020002006400⟧
Arena.msbt,7,LoseMessage3,⟦MSBT:0E000000020002004700⟧You're so close to being a champion!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Encore un petit effort !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Du bist fast am Ziel!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧La vetta del podio è vicina!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005C00⟧¡Pronto lograrás la victoria!⟦MSBT:0E000000020002006400⟧,격투왕이 멀지 않았다!,⟦MSBT:0E000000020002004700⟧Şampiyon olmaya çok yaklaştın!⟦MSBT:0E000000020002006400⟧
Arena.msbt,8,LoseMessage4,⟦MSBT:0E000000020002004600⟧Becoming a true champion isn't easy.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dur dur d'être l'ultime champion.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Der Beste zu sein ist nicht einfach.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004600⟧Diventare veri campioni non è facile!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Lograr la victoria absoluta cuesta.⟦MSBT:0E000000020002006400⟧,마스터 격투왕의 길은 멀도다…,⟦MSBT:0E000000020002004600⟧Gerçek şampiyon olmak kolay değil.⟦MSBT:0E000000020002006400⟧
Arena.msbt,9,LoseMessage5,⟦MSBT:0E000000020002003E00⟧You're so close to being a true champion!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Encore un petit effort !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Du bist fast am Ziel der Ziele!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧La vetta del podio è vicina!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004500⟧¡Pronto lograrás la victoria absoluta!⟦MSBT:0E000000020002006400⟧,격투왕 마스터가 멀지 않았다!,⟦MSBT:0E000000020002003E00⟧Gerçek şampiyon olmaya çok yaklaştın!⟦MSBT:0E000000020002006400⟧
