Dosya,Eksik_TR,Glyph_Sayisi,Format
EU_du/font.bffnt,çÇğĞıİöÖşŞüÜ,97,0xb
EU_du/font_btl.bffnt,çÇğĞıİöÖşŞüÜ,82,0xb
EU_du/font_l.bffnt,çÇğĞıİöÖşŞüÜ,73,0xb
EU_du/font_sys.bffnt,çÇğĞıİöÖşŞüÜ,85,0xb
EU_du/font_sys_btl.bffnt,çÇğĞıİöÖşŞüÜ,82,0xb
EU_en/font.bffnt,çÇğĞıİöÖşŞüÜ,89,0xb
EU_en/font_btl.bffnt,çÇğĞıİöÖşŞüÜ,78,0xb
EU_en/font_l.bffnt,çÇğĞıİöÖşŞüÜ,71,0xb
EU_en/font_sys.bffnt,çÇğĞıİöÖşŞüÜ,82,0xb
EU_en/font_sys_btl.bffnt,çÇğĞıİöÖşŞüÜ,80,0xb
EU_fr/font.bffnt,ğĞıİöÖşŞÜ,109,0xb
EU_fr/font_btl.bffnt,ğĞıİöÖşŞüÜ,99,0xb
EU_fr/font_l.bffnt,ğĞıİöÖşŞüÜ,87,0xb
EU_fr/font_sys.bffnt,ÇğĞıİöÖşŞüÜ,103,0xb
EU_fr/font_sys_btl.bffnt,ÇğĞıİöÖşŞüÜ,93,0xb
EU_ge/font.bffnt,çÇğĞıİşŞ,94,0xb
EU_ge/font_btl.bffnt,çÇğĞıİÖşŞÜ,87,0xb
EU_ge/font_l.bffnt,çÇğĞıİşŞ,77,0xb
EU_ge/font_sys.bffnt,çÇğĞıİÖşŞ,96,0xb
EU_ge/font_sys_btl.bffnt,çÇğĞıİÖşŞ,90,0xb
EU_it/font.bffnt,çÇğĞıİöÖşŞüÜ,98,0xb
EU_it/font_btl.bffnt,çÇğĞıİöÖşŞüÜ,88,0xb
EU_it/font_l.bffnt,çÇğĞıİöÖşŞüÜ,78,0xb
EU_it/font_sys.bffnt,çÇğĞıİöÖşŞüÜ,92,0xb
EU_it/font_sys_btl.bffnt,çÇğĞıİöÖşŞüÜ,89,0xb
EU_sp/font.bffnt,çÇğĞıİöÖşŞÜ,100,0xb
EU_sp/font_btl.bffnt,çÇğĞıİöÖşŞüÜ,84,0xb
EU_sp/font_l.bffnt,çÇğĞıİöÖşŞüÜ,83,0xb
EU_sp/font_sys.bffnt,çÇğĞıİöÖşŞüÜ,96,0xb
EU_sp/font_sys_btl.bffnt,çÇğĞıİöÖşŞüÜ,92,0xb
font_ruby.bffnt,çÇğĞıİöÖşŞüÜ,228,0xb
gaizi.bffnt,çÇğĞıİöÖşŞüÜ,129,0xb
