target_language,target_rbin_indices,target_rbin_hashes,target_message_indices,ctd_name,ctd_file_id,message_id,layout_index,wait_frames,source_fr,source_en,source_de,match_status,target_variant_count,translation
en,2,0x0171D7A4,0,cteh000.ctd,0x14000000,0x14050000,0,0,,,,matched_fr_en_de,1,
en,2,0x0171D7A4,1,cteh000.ctd,0x14000000,0x140A0000,1,0,,,,matched_fr_en_de,1,
en,2,0x0171D7A4,2,cteh000.ctd,0x14000000,0x140F0000,2,0,,,,matched_fr_en_de,1,
en,2,0x0171D7A4,3,cteh000.ctd,0x14000000,0x140F0001,2,0,"Retour à la carte du monde ?
    Plus tard.
    D'accord.","Return to the World Map?
    Not now.
    Okay.","Zur Weltkarte zurückkehren?
    Jetzt nicht.
    Okay.",matched_fr_en_de,1,"Dünya Haritası'na dönmek istiyor musun?
    Şimdi değil.
    Tamam."
en,2,0x0171D7A4,4,cteh000.ctd,0x14000000,0x140F0100,3,0,"Prendre platef. ?
    Plus tard.
    D'accord.","Take the lift?
    Not now.
    Okay.","Lift benutzen?
    Jetzt nicht.
    Okay.",matched_fr_en_de,1,"Asansöre binmek istiyor musun?
    Şimdi değil.
    Tamam."
en,2,0x0171D7A4,5,cteh000.ctd,0x14000000,0x140F0200,4,0,"Prendre platef. ?
    Plus tard.
    D'accord.","Take the lift?
    Not now.
    Okay.","Lift benutzen?
    Jetzt nicht.
    Okay.",matched_fr_en_de,1,"Asansöre binmek istiyor musun?
    Şimdi değil.
    Tamam."
en,9,0x09B72EEA,0,ctmg000.ctd,0x36000000,0x36000000,0,0,Gagne $d pts récomp. avt l'objectif !,Rack up $d prize points before you reach the goal!,Sammle bis zum Ziel $d Preispunkte!,matched_fr_en_de,1,Hedefe ulaşmadan önce $d ödül puanı topla!
en,9,0x09B72EEA,1,ctmg000.ctd,0x36000000,0x36000001,0,0,Terrasse $d ennemis avt l'objectif !,Defeat $d enemies before you reach the goal!,Besiege bis zum Ziel $d Feinde!,matched_fr_en_de,1,Hedefe ulaşmadan önce $d düşmanı yen!
en,9,0x09B72EEA,2,ctmg000.ctd,0x36000000,0x36000002,0,0,Éclate $d ballons avt l'objectif !,Pop $d balloons before you reach the goal!,Bringe bis zum Ziel $d Ballons zum Platzen!,matched_fr_en_de,1,Hedefe ulaşmadan önce $d balonu patlat!
en,9,0x09B72EEA,3,ctmg000.ctd,0x36000000,0x36000003,0,0,Terrasse $S !,Defeat $S!,Besiege $S!,matched_fr_en_de,1,$S düşmanını yen!
en,9,0x09B72EEA,4,ctmg000.ctd,0x36000000,0x36000004,0,0,Touche $d Sora !,Tag $d Soras!,Berühre $d Soras!,matched_fr_en_de,1,$d Sora'ya dokun!
en,9,0x09B72EEA,5,ctmg000.ctd,0x36000000,0x36000005,0,0,Gagne $d pt récomp. avt l'objectif !,Grab one prize point before you reach the goal!,Sammle bis zum Ziel 1 Preispunkt!,matched_fr_en_de,1,Hedefe ulaşmadan önce bir ödül puanı topla!
en,9,0x09B72EEA,6,ctmg000.ctd,0x36000000,0x36000006,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,7,ctmg000.ctd,0x36000000,0x36000007,0,0,,,,matched_fr_en_de,1,
en,9,0x09B72EEA,8,ctmg000.ctd,0x36000000,0x36000008,0,0,Gagne $d pts récomp. avt fin chrono !,Rack up $d prize points before time runs out!,Sammle innerh. d. Zeit $d Bonuspunkte!,matched_fr_en_de,1,Süre dolmadan $d ödül puanı topla!
en,9,0x09B72EEA,9,ctmg000.ctd,0x36000000,0x36000009,0,0,Terrasse $d ennemis avt fin chrono !,Defeat $d enemies before time runs out!,"Besiege $d Feinde , bevor die Zeit
abläuft!",matched_fr_en_de,1,Süre dolmadan $d düşmanı yen!
en,9,0x09B72EEA,10,ctmg000.ctd,0x36000000,0x3600000A,0,0,Éclate $d ballons avt fin chrono !,Pop $d balloons before time runs out!,Berühre b. z. Abl. d. Zeit $d Ballons!,matched_fr_en_de,1,Süre dolmadan $d balonu patlat!
en,9,0x09B72EEA,11,ctmg000.ctd,0x36000000,0x3600000B,0,0,Terrasse $S ennemis avt fin chrono !,Defeat $S before time runs out!,"Besiege $S, bevor die Zeit abläuft!",matched_fr_en_de,1,Süre dolmadan $S düşmanını yen!
en,9,0x09B72EEA,12,ctmg000.ctd,0x36000000,0x3600000C,0,0,Remplace Sora $d avt fin chrono !,Tag $d Soras before time runs out!,"Wechsle d Soras, bevor die Zeit abläuft!",matched_fr_en_de,1,Süre dolmadan $d Sora'ya dokun!
