index,id,en,fr,de,it,es,tr
0,0x00997431,"I don't know your reasons for helping our city like you have, but I'm grateful nonetheless!","Je ne sais pas pourquoi vous aidez notre ville, mais je vous suis reconnaissante !","Ich kenne nicht Eure Beweggründe, warum Ihr unserer Stadt geholfen habt, wie Ihr es getan habt, aber ich bin nichtsdestotrotz dankbar dafür!","Non conosco le ragioni che ti hanno spinto ad aiutare la nostra città, ma te ne sono grata ugualmente!","Desconozco los motivos que te han empujado a ayudar a nuestra ciudad, pero no obstante, ¡te lo agradezco!",Şehrimize neden böyle yardım ettiğini bilmiyorum ama yine de sana minnettarım!
1,0x00997432,"Please, help the royal family however you can. All of Nexus is counting on you!","Je vous en prie, offrez vos services à la famille royale. Nexus compte sur vous!","Bitte, helft der königlichen Familie wie immer es Euch möglich ist. Ganz Nexus zählt auf Euch!",Aiuta la famiglia reale in ogni modo possibile. Tutta Nexus conta su di te!,"Por favor, ayuda a la familia real como puedas. ¡Todo Nexus cuenta contigo!",Lütfen kraliyet ailesine elinden geldiğince yardım et. Tüm Nexus sana güveniyor!
2,0x00C577FB,MAIN QUESTS,PRINCIPAL,"HAUPT-
QUESTS",PRINCIPALI,"MISIONES
PRINCI-
PALES",ANA GÖREVLER
3,0x00E4B269,of Skill,d'habileté,des Talents,dell'abilità,de habilidad,Beceri
4,0x00E4B26A,of Poise,d'assurance,der Gelassenheit,della padronanza,de aplomo,Sükûnet
5,0x00E4B26B,of Cunning,de ruse,der Klugheit,dell'astuzia,de astucia,Kurnazlık
6,0x00E4B26C,of Savvy,de vivacité,des Durchblicks,della furbizia,de inteligencia,Pratiklik
7,0x00E4B26D,of Talent,de talent,des Talents,del talento,de talento,Yetenek
8,0x00E4B26E,of Balance,d'équilibre,der Balance,dell'equilibrio,de equilibrio,Denge
9,0x00E4B26F,of Presence,de présence,der Präsenz,della presenza,de presencia,Heybet
10,0x00E4B270,of Nerve,de sang-froid,der Nerven,della saldezza,de nervio,Soğukkanlılık
11,0x00E4B271,of Grace,de grâce,der Anmut,della grazia,de gracia,Zarafet
12,0x00ECD724,5s and 6s - Power the Crystal,GameStage_PartTwo_5n6 not localized.,GameStage_PartTwo_5n6 not localized.,GameStage_PartTwo_5n6 not localized.,GameStage_PartTwo_5n6 not localized.,5 ve 6 - Kristali Güçlendir
13,0x01048960,Corrupt data or data in an invalid format was found. This data has been formatted.,Données corrompues ou données dans un format invalide. Ces données ont été formatées.,Es wurden fehlerhafte Daten oder Daten in einem ungültigen Format gefunden. Diese Daten wurden formatiert.,Sono stati rilevati dei dati danneggiati o in formato non valido. Questi dati sono stati cancellati.,Se han encontrado datos dañados o datos con un formato no válido. Estos datos se han formateado.,Bozuk veya geçersiz biçimde veri bulundu. Bu veriler biçimlendirildi.
